locale,key,lineno,text
en,MODEL_ASE_VLABEL,1.0,Average Squared Error
en,MODEL_CCUT_VLABEL,1.0,Classification Cutoff
en,MODEL_CODEDEPENDENCY_ERROR,1.0,Unable to determine the code variable dependencies.
en,MODEL_CORRECTRATE_VLABEL,1.0,Overall Precision Rate
en,MODEL_CRCUT_VLABEL,1.0,CR Cutoff
en,MODEL_CRDEPTH_VLABEL,1.0,CR Sample Depth
en,MODEL_CREATEINTERMEDIATEFILE_ERROR,1.0,Intermediate file creation failed.
en,MODEL_CR_VLABEL,1.0,Maximum Classification Rate (CR)
en,MODEL_CUMEVENTCOUNT_VLABEL,1.0,Cumulative Event Count
en,MODEL_CUMLIFT_VLABEL,1.0,Cumulative Lift
en,MODEL_CUMNOBS_VLABEL,1.0,Cumulative Number of Observations
en,MODEL_CUMNONEVENTCOUNT_VLABEL,1.0,Cumulative Nonevent Count
en,MODEL_CUMPCTEVENT_VLABEL,1.0,Cumulative Percentage of Events
en,MODEL_CUMPCTNONEVENT_VLABEL,1.0,Cumulative Percentage of Nonevents
en,MODEL_CUMPREDCOUNT_VLABEL,1.0,Cumulative Predicted Count
en,MODEL_CVP_VLABEL,1.0,Coefficient Variation of Prediction
en,MODEL_C_EVENT_PCT_VLABEL,1.0,Cumulative Percentage of Events
en,MODEL_C_GAIN_VLABEL,1.0,Cumulative Gain
en,MODEL_C_LIFT_VLABEL,1.0,Cumulative Lift
en,MODEL_DATAROLE_VLABEL,1.0,Data Role
en,MODEL_DEPENDENCYDATAERROR_ERROR,1.0,Unable to open dependency data.
en,MODEL_DEPTH_C_EVENT_PCT_VLABEL,1.0,Cumulative Percentage of Events (%s)
en,MODEL_DEPTH_C_GAIN_VLABEL,1.0,Cumulative Gain (%s)
en,MODEL_DEPTH_C_LIFT_VLABEL,1.0,Cumulative Lift (%s)
en,MODEL_DEPTH_GAIN_VLABEL,1.0,Gain (%s)
en,MODEL_DEPTH_LIFT_VLABEL,1.0,Lift (%s)
en,MODEL_DEPTH_TCEVENTPCT_VLABEL,1.0,Train: Cumulative Percentage of Events (%s)
en,MODEL_DEPTH_TCGAIN_VLABEL,1.0,Train: Cumulative Gain (%s)
en,MODEL_DEPTH_TCLIFT_VLABEL,1.0,Train: Cumulative Lift (%s)
en,MODEL_DEPTH_TGAIN_VLABEL,1.0,Train: Gain (%s)
en,MODEL_DEPTH_TLIFT_VLABEL,1.0,Train: Lift (%s)
en,MODEL_DEPTH_VCEVENTPCT_VLABEL,1.0,Valid: Cumulative Percentage of Events (%s)
en,MODEL_DEPTH_VCGAIN_VLABEL,1.0,Valid: Cumulative Gain (%s)
en,MODEL_DEPTH_VCLIFT_VLABEL,1.0,Valid: Cumulative Lift (%s)
en,MODEL_DEPTH_VGAIN_VLABEL,1.0,Valid: Gain (%s)
en,MODEL_DEPTH_VLABEL,1.0,Depth
en,MODEL_DEPTH_VLIFT_VLABEL,1.0,Valid: Lift (%s)
en,MODEL_DIV_VLABEL,1.0,Divisor for ASE
en,MODEL_ERRORRATE_VLABEL,1.0,Error Rate
en,MODEL_EVENTCOUNT_VLABEL,1.0,Event Count
en,MODEL_EVENTMISS_VLABEL,1.0,Event with Predicted Missing
en,MODEL_EVENTRATE_VLABEL,1.0,Event Precision Rate
en,MODEL_EVENTTOCOUNT_NOTE,1.0,Event %s will be counted.
en,MODEL_FREQVARNOTFOUND_ERROR,1.0,Frequency variable %s not found in the data.
en,MODEL_GAIN_VLABEL,1.0,Gain
en,MODEL_INCONSISTENTITEMSTORE_ERROR,1.0,Itemstore is not consistent. Some class variable (s) are not found in the VariableInfo table.
en,MODEL_INPUTVARIABLEXML_ERROR,1.0,Writing input variable xml failed.
en,MODEL_INVALIDNUMBINS_ERROR,1.0,"Invalid number of bins, must be number be greater or equal to 2."
