locale,key,lineno,text
en,AVERAGE_PLURAL,1.0,Averages
en,AVERAGE_SINGULAR,1.0,Average
en,COMMON_ERRMSG_PROC_ERROR,1.0,%1z (%#1s) Errors occurred in procedures while invoking this macro.  Please refer to the LOG for details.
en,CUSTOMERIDLABEL,1.0,Customer Identifier
en,CUSTOMER_ID_VARIABLE_NOT_FOUND,1.0,%1z (%#1s) Required customer identifier variable is not specified.
en,CUSTOMER_INPUT_NOT_SPECIFIED,1.0,"%1z (%#1s) The Most Recent Purchase Date, or the Number of Purchases, or the Total Amount of Purchases variables for Customer Data mode are not correctly specified.  They must be numeric variables."
en,DIST_TITLE_TOTPURCHASEAMT_BY_RF,1.0,Distribution of %#1s of Transaction Amounts by Recency Score and Frequency Score
en,FREQUENCY_FMT_LF,1.0,%#1s Least Frequent
en,FREQUENCY_FMT_MF,1.0,%#1s Most Frequent
en,FREQUENCY_GROUPS_FORMED_WARNING,1.0,%3z (%#1s) Actual number of Frequency groups formed (= %#2s) is less than the specified number (= %#3s).
en,FREQUENCY_GROUP_INT_NOT_BETWEEN_1_AND_10,1.0,%1z (%#1s) Specified number of Frequency group is not an integer between 1 and 9 inclusively.
en,FREQUENCY_LABEL,1.0,Frequency Score
en,FREQUENCY_SCORE_LABEL,1.0,"Frequency Score (%#1s=Least Frequent, %#2s=Most Frequent)"
en,INPUT_DATASET_NOT_FOUND,1.0,%1z (%#1s) Required input dataset not found.
en,INPUT_DATASET_NOT_SPECIFIED,1.0,%1z (%#1s) Required input dataset not specified.
en,MACRO_HAS_BEEN_PROCESSED,1.0,%3z Macro %s has been processed.
en,MAXIMUM_PLURAL,1.0,Maximums
en,MAXIMUM_SINGULAR,1.0,Maximum
en,MEDIAN_PLURAL,1.0,Medians
en,MEDIAN_SINGULAR,1.0,Median
en,MONETARY_FMT_HA,1.0,%#1s Highest Amount
en,MONETARY_FMT_LA,1.0,%#1s Lowest Amount
en,MONETARY_GROUPS_FORMED_WARNING,1.0,%3z (%#1s) Actual number of Monetary groups formed (= %#2s) is less than the specified number (= %#3s).
en,MONETARY_GROUP_INT_NOT_BETWEEN_1_AND_10,1.0,%1z (%#1s) Specified number of Monetary group is not an integer between 1 and 9 inclusively.
en,MONETARY_LABEL,1.0,Monetary Score
en,MONETARY_SCORE_LABEL,1.0,"Monetary Score (%#1s=Lowest Amount, %#2s=Highest Amount)"
en,MONETIZATIONMAPFOOTNOTE,1.0,Color represents Medians of %#1s within %#2s by %#3s Cell
en,MOSTRECENTDATELABEL,1.0,Date of Most Recent Transaction
en,NO_COMPLETE_NONMISSING_REC,1.0,"%1z (%#1s) No customer has a complete non-missing record of %#2s, %#3s, and %#4s."
en,NPURCHASELABEL,1.0,Number of Transactions
