MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
50.0,IN_DATA_SET_ALREADY_EXISTS,1.0,E,Data set %1$ already exists.,SASHELP.FSP.OK.SLIST
56.0,DI_MBCONVERT,1.0,N,"The current Metabase requires conversion to Repository.  If you choose to cancel the conversion, the repository will be unavailable.  Press OK to continue, or Cancel to stop conversion.",SASHELP.FSP.OC.SLIST
58.0,IN_BROWSEMODE,1.0,N,%lIn browse mode.,SASHELP.FSP.OK.SLIST
59.0,DI_DUP_ATTR,1.0,E,%lDuplicate attribute name specified.,SASHELP.FSP.OK.SLIST
60.0,DI_NO_SELECTION_TO_DELETE,1.0,N,"%lNo selections made, nothing to delete.",SASHELP.FSP.OK.SLIST
61.0,IN_AT_BOTTOM,1.0,N,%lAt bottom.,SASHELP.FSP.OK.SLIST
62.0,IN_AT_TOP,1.0,N,%lAt top.,SASHELP.FSP.OK.SLIST
63.0,IN_ATTR_DICT_EMPTY,1.0,N,%lThe attribute dictionary is empty.,SASHELP.FSP.OK.SLIST
64.0,IN_NO_HIERARCHY_DESC,1.0,E,%lA hierarchy description must be entered.,SASHELP.FSP.OK.SLIST
65.0,IN_SELECT_HIERARCHY,1.0,N,%lNo Hierarchy selected.,SASHELP.FSP.OK.SLIST
67.0,IO_COPY_FAILED,1.0,E,%lThe copy was unsuccessful.,SASHELP.FSP.OK.SLIST
68.0,IO_COPY_OK,1.0,N,%lCopy completed successfully.,SASHELP.FSP.OK.SLIST
69.0,IO_REPLACE_COL_DB,1.0,W,%lColumns database already exists and will be replaced. Do you    want to proceed with the copy?,SASHELP.FSP.OC.SLIST
71.0,IN_CANCELED,1.0,N,%lCancel command accepted.,SASHELP.FSP.OK.SLIST
74.0,DI_MB_EXISTS,1.0,E,%lRepository %1$ already exists. Specify another name or Cancel to quit.,SASHELP.FSP.OK.SLIST
75.0,IN_MB_EMPTY,1.0,N,%lRepository is empty. Select Add to register new tables.,SASHELP.FSP.OK.SLIST
76.0,DI_NO_DELETE_ATTRIBUTE,1.0,W,%lDefault attribute %1$ cannot be deleted.,SASHELP.FSP.OK.SLIST
77.0,IN_NO_TABLE_TO_VIEW,1.0,N,"%lNo table selected, nothing to view.",SASHELP.FSP.OK.SLIST
78.0,IO_TABLE_NOT_EXIST,1.0,E,%l %1$ either does not exist or is damaged%N,SASHELP.FSP.OK.SLIST
78.0,IO_TABLE_NOT_EXIST,2.0,E,and cannot be opened.,SASHELP.FSP.OK.SLIST
79.0,DI_ATTR_NOT_FOUND,1.0,W,%lAttribute %1$ not found in attribute dictionary.,SASHELP.FSP.OK.SLIST
80.0,IN_NO_METABASES,1.0,N,%lNo metabases exist in this library.,SASHELP.FSP.OK.SLIST
81.0,IN_TABLE_EMPTY,1.0,N,%lTable is empty. Press Add to register columns.,SASHELP.FSP.OK.SLIST
82.0,IO_NO_ACCESS,1.0,E,%lYou do not have authorization to access %1$.,SASHELP.FSP.OK.SLIST
83.0,IO_CANNOT_OPEN_AD,1.0,E,%lThe current attribute dictionary cannot be opened.,SASHELP.FSP.OK.SLIST
84.0,DI_NO_NUMERIC_VAR,1.0,E,%lTable %1$ does not have any numeric variables. The CSFDS attribute cannot be assigned.,SASHELP.FSP.OK.SLIST
85.0,DI_INVALID_LISTID_GET_ATTR,1.0,E,%lInvalid return list id for _GET_ATTRIBUTES_.,SASHELP.FSP.OK.SLIST
86.0,IO_CANNOT_OPEN_MB,1.0,E,%lUnable to open repository %1$.,SASHELP.FSP.OK.SLIST
87.0,DI_INVALID_LISTID_GET_CONT,1.0,E,%lInvalid return list id for _GET_CONTENTS_.,SASHELP.FSP.OK.SLIST
88.0,IO_MB_NOT_OPEN,1.0,E,%lRepository not open.,SASHELP.FSP.OK.SLIST
89.0,IN_NO_MB_NAME,1.0,E,%lRepository name not specified.,SASHELP.FSP.OK.SLIST
90.0,DI_REG_EXISTS,1.0,E,%lRegistration %1$ already exists.,SASHELP.FSP.OK.SLIST
91.0,DI_NO_AUTOASSIGN_METHOD,1.0,W,%lAutomatic assign method %1$ does not currently exist for attribute %2$.,SASHELP.FSP.OK.SLIST
92.0,DI_NO_INTERASSIGN_METHOD,1.0,W,%lInteractive assign method %1$ does not currently exist for attribute %2$.,SASHELP.FSP.OK.SLIST
93.0,DI_NO_CREATE_METHOD,1.0,W,%lCreate method %1$ does not currently exist for attribute %2$.,SASHELP.FSP.OK.SLIST
94.0,DI_NO_DEASSIGN_METHOD,1.0,W,%lDe-assign method %1$ does not currently exist for attribute %2$.,SASHELP.FSP.OK.SLIST
95.0,IN_NAME_DESC_REQUIRED,1.0,E,%lA name and description are required.,SASHELP.FSP.OK.SLIST
96.0,DI_CANNOT_ADD_MLINDEX,1.0,E,%lRepository _ADD_MLINDEX_ENTRY %1$,SASHELP.FSP.OK.SLIST
97.0,IN_NO_METALIB_IN_PATH,1.0,E,%lA metalib index does not exist in the specified path.,SASHELP.FSP.OK.SLIST
98.0,DI_ENTRY_EXISTS,1.0,E,%lEntry %1$ already exists.,SASHELP.FSP.OK.SLIST
99.0,IN_NAME_TYPE_REQUIRED,1.0,E,%lA name and type are required.,SASHELP.FSP.OK.SLIST
100.0,IO_CANNOT_READ_ENTRY,1.0,E,%lEntry %1$ does not exist or could not be read.,SASHELP.FSP.OK.SLIST
101.0,DI_CANNOT_GET_MLINDEX_INFO,1.0,E,%lMetabase _GET_MLINDEX_INFO_ %1$,SASHELP.FSP.OK.SLIST
102.0,DI_CANNOT_GET_MLINDEX_LIST,1.0,E,%lRepository _GET_MLINDEX_LIST_ %1$,SASHELP.FSP.OK.SLIST
103.0,IO_NO_MB,1.0,E,%lRepository library does not exist.,SASHELP.FSP.OK.SLIST
104.0,DI_INVALID_LABEL,1.0,E,%lAn invalid label name has been specified.,SASHELP.FSP.OK.SLIST
109.0,IN_MB_PROLOG_CHECKBOX_LABEL,1.0,O,Auto register output table,SASHELP.FSP.OK.SLIST
111.0,IN_MB_EPILOG_CHECKBOX_LABEL,1.0,O,Remove output table registration,SASHELP.FSP.OK.SLIST
112.0,IN_MB_PROLOG_WINDOW_NAME,1.0,O,Table Prolog Program,SASHELP.FSP.OK.SLIST
113.0,IN_MB_EPILOG_WINDOW_NAME,1.0,O,Table Epilog Program,SASHELP.FSP.OK.SLIST
118.0,IO_DELETE_OK,1.0,N,%lDelete completed successfully.,SASHELP.FSP.OK.SLIST
170.0,DI_REPLACE_TABLE,1.0,W,%lTable %$ already exists.%NDo you want to replace the existing table?,SASHELP.FSP.YN.SLIST
181.0,IO_NAME_INVALID,1.0,E,"%lA valid name must be given. Names can be up to eight characters long. The first character must be a letter or underscore. Blanks or special characters (for example, $,@,#) are not allowed.",SASHELP.FSP.OK.SLIST
188.0,IO_MLINDEX_NOT_CREATED,1.0,E,%LMetalib index file could not be successfully created.,SASHELP.FSP.OK.SLIST
197.0,IO_CANNOT_CREATE_MLINDEX,1.0,E,%L Unable to create metalib index data set.,SASHELP.FSP.OK.SLIST
202.0,IN_CONFIRM_DELETE,1.0,Q,Are you sure you wish to delete:%n%1$?,SASHELP.FSP.OC.SLIST
202.0,IN_CONFIRM_DELETE,2.0,Q,%n%n,SASHELP.FSP.OC.SLIST
202.0,IN_CONFIRM_DELETE,3.0,Q,"Use OK to delete, Cancel to quit.",SASHELP.FSP.OC.SLIST
204.0,IO_REPLACE_METABASE,1.0,W,%l Repository %1$ already exists in %N %2$ %N,SASHELP.FSP.YN.SLIST
204.0,IO_REPLACE_METABASE,2.0,W,Do you want to replace the existing repository?,SASHELP.FSP.YN.SLIST
207.0,DI_SELECT_TYPE,1.0,E,%l You must select the %1$ to copy.,SASHELP.FSP.OK.SLIST
208.0,DI_SPECIFY_PATH_FROM,1.0,E,%lYou must specify the path to copy from.,SASHELP.FSP.OK.SLIST
210.0,DI_SPECIFY_NEWNAME,1.0,N,"%l To copy the selected %1$ in the same path,",SASHELP.FSP.OK.SLIST
210.0,DI_SPECIFY_NEWNAME,2.0,N,enter a different name for the duplicate %1$.,SASHELP.FSP.OK.SLIST
213.0,IN_SELECT_OR_CAN,1.0,N,%L Select a path and database to copy to or select,SASHELP.FSP.OK.SLIST
213.0,IN_SELECT_OR_CAN,2.0,N,Cancel.,SASHELP.FSP.OK.SLIST
214.0,DI_REPLACE_REG,1.0,W,%L %1$ already exists in %N %2$ %N Do you want to replace the existing registration?,SASHELP.FSP.YN.SLIST
215.0,IN_SPECIFY_PATH_TO,1.0,E,%L You must specify the path to copy to.,SASHELP.FSP.OK.SLIST
235.0,IN_NEW_MB_WNAME,1.0,O,Create a New Metabase,SASHELP.FSP.OK.SLIST
237.0,IN_RENAME_MB_WNAME,1.0,O,Rename Metabase,SASHELP.FSP.OK.SLIST
238.0,IN_RENAME_MBR_WNAME,1.0,O,Rename Registration,SASHELP.FSP.OK.SLIST
239.0,IN_NEW_SA_WNAME,1.0,O,Create a New Application Database,SASHELP.FSP.OK.SLIST
240.0,IN_NEW_OD_WNAME,1.0,O,Create a New Object Database,SASHELP.FSP.OK.SLIST
246.0,IN_INVALID_SAS_NAME,1.0,E,%lInvalid SAS name.,SASHELP.FSP.OK.SLIST
247.0,IN_HIER_NOT_FOUND,1.0,E,"Hierarachy: '%$', not found in the specified repository.",SASHELP.FSP.OK.SLIST
250.0,IN_NAME_REQUIRED,1.0,E,%LA value for Name is required.,SASHELP.FSP.OK.SLIST
262.0,IN_ATTR_DICT_ALREADY_EXISTS,1.0,E,%lAttribute dictionary '%$' already exists.,SASHELP.FSP.OK.SLIST
265.0,IN_NO_ATTRDICTS,1.0,N,%lNo attribute dictionaries exist in this library.,SASHELP.FSP.OK.SLIST
