MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
1.0,IO_CAN_NOT_OPEN,1.0,E,%lData set: %1$ could not be opened.,SASHELP.FSP.OC.SLIST
17.0,IN_VERIFY_DELETE,1.0,Q,Are you sure you want to delete %$?,SASHELP.FSP.YN.SLIST
19.0,IO_DS_NOT_EXIST,1.0,E,%lData set %1$ does not exist,SASHELP.FSP.OK.SLIST
21.0,DI_ALL_REQUIRED,1.0,E,%lAll fields are required. Please enter information into each field.,SASHELP.FSP.OK.SLIST
98.0,DI_ENTRY_EXISTS,1.0,E,%lEntry %1$ already exists.,SASHELP.FSP.OK.SLIST
100.0,IO_CANNOT_READ_ENTRY,1.0,E,%lEntry %1$ does not exist or could not be read.,SASHELP.FSP.OK.SLIST
114.0,IO_INVALID_FORMAT,1.0,E,%lInvalid format specified.,SASHELP.FSP.OK.SLIST
118.0,IO_DELETE_OK,1.0,N,%lDelete completed successfully.,SASHELP.FSP.OK.SLIST
167.0,IN_THING_DOES_NOT_EXIST,1.0,E,%1$ does not exist.,SASHELP.FSP.OK.SLIST
202.0,IN_CONFIRM_DELETE,1.0,Q,Are you sure you wish to delete:%n%1$?,SASHELP.FSP.OC.SLIST
202.0,IN_CONFIRM_DELETE,2.0,Q,%n%n,SASHELP.FSP.OC.SLIST
202.0,IN_CONFIRM_DELETE,3.0,Q,"Use OK to delete, Cancel to quit.",SASHELP.FSP.OC.SLIST
241.0,IO_SCLMSG_LOADCLASS_FAILED,1.0,E,%lCould not perform loadclass function on SASHELP.FSP.DSMSG.CLASS,SASHELP.FSP.OK.SLIST
242.0,IO_SCLMSG_NEW_FAILED,1.0,E,%lCould not generate new instance of SCLMSG.,SASHELP.FSP.OK.SLIST
243.0,IO_SCLMSG_DOES_NOT_EXIST,1.0,E,%lSCL message object SCLMSG does not exist.,SASHELP.FSP.OK.SLIST
244.0,IO_SCLMSG_FORMAT_MSG_FAILED,1.0,E,%l_FORMAT_MSG_ failed on data set SASHELP.AFMSG.  Parameters passed were:,SASHELP.FSP.OK.SLIST
246.0,IN_INVALID_SAS_NAME,1.0,E,%lInvalid SAS name.,SASHELP.FSP.OK.SLIST
250.0,IN_NAME_REQUIRED,1.0,E,%LA value for Name is required.,SASHELP.FSP.OK.SLIST
253.0,IN_GLABEL_NONE_ALL,1.0,N,Initial Value is NONE justified with unlimited rows.,SASHELP.FSP.OK.SLIST
254.0,IN_GLABEL_CENTER_ALL,1.0,N,Initial Value is center justified with unlimited rows.,SASHELP.FSP.OK.SLIST
255.0,IN_GLABEL_LEFT_ALL,1.0,N,Initial Value is left justified with unlimited rows.,SASHELP.FSP.OK.SLIST
256.0,IN_GLABEL_RIGHT_ALL,1.0,N,Initial Value is right justified with unlimited rows.,SASHELP.FSP.OK.SLIST
257.0,IN_GLABEL_NONE_SOME,1.0,N,Initial Value is none justified and limited to %1# rows.,SASHELP.FSP.OK.SLIST
258.0,IN_GLABEL_CENTER_SOME,1.0,N,Initial Value is center justified and limited to %1# rows.,SASHELP.FSP.OK.SLIST
259.0,IN_GLABEL_LEFT_SOME,1.0,N,Initial value is left justified and limited to %1# rows.,SASHELP.FSP.OK.SLIST
260.0,IN_GLABEL_RIGHT_SOME,1.0,N,Initial Value is right justified and limited to %1# rows.,SASHELP.FSP.OK.SLIST
289.0,IO_DATASET_EXISTS,1.0,Q,Data set %1$ already exists.,SASHELP.FSP.OC.SLIST
289.0,IO_DATASET_EXISTS,2.0,Q,.,SASHELP.FSP.OC.SLIST
295.0,IN_EQUATION_COMPLETE,1.0,N,Equation is complete. Press Define.,SASHELP.FSP.OK.SLIST
296.0,IN_NEEDS_MORE_DATA,1.0,E,Calculation requires more data. Please choose a column.,SASHELP.FSP.OK.SLIST
298.0,IN_DESC_MUST_BE_UNIQUE,1.0,E,Description must be unique.,SASHELP.FSP.OK.SLIST
326.0,IO_INVALID_PATH,1.0,E,%LPath is invalid.,SASHELP.FSP.OK.SLIST
359.0,IO_DESC_REQUIRED,1.0,E,%LA description is required. Specify one or Cancel to quit.,SASHELP.FSP.OK.SLIST
396.0,IO_FILE_DOES_NOT_EXIST,1.0,E,%lThe file %1$ does not exist.,SASHELP.FSP.OK.SLIST
409.0,CL_CALCULATIONS_LIST,1.0,L,"Difference of two values, Sum of two or more values, Ratio of two values, Percent, Mean of two or more values, Minimum of two or more values, Maximum of two or more values, Concatenation, Upcase,",
409.0,CL_CALCULATIONS_LIST,2.0,L,"Reverse, Trim",
456.0,IO_INVALID_DATASET_NAME,1.0,E,%lInvalid dataset name ' %1$ '.   Please use a valid SAS name.,SASHELP.FSP.OK.SLIST
458.0,DI_ENTRY_NOTEXIST_WARN,1.0,W,"%lThe entry, %1$, does not exist.",SASHELP.FSP.OK.SLIST
489.0,IO_NAMEXISTS,1.0,E,%LColumn name already exists,SASHELP.FSP.OK.SLIST
490.0,DI_INVALID_FONT,1.0,E,%lInvalid font.  Please reenter.,SASHELP.FSP.OK.SLIST
492.0,IO_INVALID_ENTRY_TYPE,1.0,E,%lInvalid catalog entry type.  Please reenter.,SASHELP.FSP.OK.SLIST
493.0,DI_INCMPLETE_ENTRY_NAME,1.0,E,%lIncomplete catalog entry name.,SASHELP.FSP.OK.SLIST
494.0,IN_DATAFORM_ENTRY_MISSING,1.0,Q,Data Form Entry is missing.,SASHELP.FSP.OC.SLIST
494.0,IN_DATAFORM_ENTRY_MISSING,2.0,Q,Customizations will not be saved.,SASHELP.FSP.OC.SLIST
494.0,IN_DATAFORM_ENTRY_MISSING,3.0,Q,Push OK to continue or CANCEL to return to,SASHELP.FSP.OC.SLIST
494.0,IN_DATAFORM_ENTRY_MISSING,4.0,Q,the attribute screen.,SASHELP.FSP.OC.SLIST
495.0,IO_INVALID_CATALOG_ENTRY,1.0,E,%lInvalid catalog entry name.  Please use only valid SAS names.,SASHELP.FSP.OK.SLIST
496.0,IO_INVALID_INFORMAT,1.0,E,%lInvalid informat specified.,SASHELP.FSP.OK.SLIST
497.0,DI_INVALID_COLOR,1.0,E,%lInvalid color specified.,SASHELP.FSP.OK.SLIST
498.0,IO_NO_FILES_IN_DIRECTORY,1.0,E,%lNo files were found in the directory.,SASHELP.FSP.OK.SLIST
499.0,IO_NO_FILEREFS,1.0,E,%lNo filerefs assigned.,SASHELP.FSP.OK.SLIST
500.0,DI_ENTRY_TYPE_NOT_ALLOWED,1.0,E,%lThe entry type specified is not allowed.,SASHELP.FSP.OK.SLIST
501.0,DI_INVALID_FILEREF_NAME,1.0,E,%lInvalid fileref name %1$.  Please use a valid SAS name.,SASHELP.FSP.OK.SLIST
502.0,IO_FILEREF_NOT_ASSIGNED,1.0,E,%lThe fileref %1$ is not assigned.,SASHELP.FSP.OK.SLIST
503.0,DI_INCOMPLETE_ENTRY_NAME,1.0,E,%lIncomplete catalog entry name.,SASHELP.FSP.OK.SLIST
504.0,IO_INVALID_FORMAT_INFORMAT,1.0,E,%lInvalid format and informat specified,SASHELP.FSP.OK.SLIST
505.0,IN_INVALID_DATAFORM_ENTRY,1.0,E,%lInvalid Dataform Entry,SASHELP.FSP.OK.SLIST
506.0,IN_INVALID_AUTOSAVE_VALUE,1.0,E,%lInvalid Autosave Value. Value must be greater,SASHELP.FSP.OK.SLIST
506.0,IN_INVALID_AUTOSAVE_VALUE,2.0,E,than zero.,SASHELP.FSP.OK.SLIST
507.0,IN_NO_USER_ATTRIBUTE_ENTRY,1.0,E,%lNo user attribute entry specified.,SASHELP.FSP.OK.SLIST
508.0,IN_UATTR_NOT_EXIST,1.0,E,%lUser attribute program %1$ does not exist.,SASHELP.FSP.OK.SLIST
512.0,IO_INVALID_LENGTH,1.0,E,%lInvalid column length specified,SASHELP.FSP.OK.SLIST
513.0,IO_READ_ONLY_SITUATION,1.0,W,%lThis will produce a READ-ONLY situation.,SASHELP.FSP.OK.SLIST
514.0,IO_INVALID_VARIABLE,1.0,E,%lThe variable %1$ does not exist.,SASHELP.FSP.OK.SLIST
531.0,IN_NONCOMPUTED_COLUMN,1.0,W,New non-computed column in dataform entry. These,SASHELP.FSP.OK.SLIST
531.0,IN_NONCOMPUTED_COLUMN,2.0,W,columns will replace existing columns if OK is,SASHELP.FSP.OK.SLIST
