units_1,units_2,units_3,units_4,units_5,units_6,units_7,units_8,units_9,units_10,units_11,units_12,units_13,units_14,units_15,units_16,units_17,units_18,units_19,units_20,units_21,units_22,units_23,units_24,cycle
1.0,14.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,33.0,20.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,14.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,32.0,20.0,1.0,8.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0
0.0,19.0,0.0,3.0,6.0,1.0,1.0,7.0,1.0,42.0,27.0,1.0,10.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0
1.0,22.0,1.0,7.0,4.0,1.0,5.0,7.0,1.0,51.0,32.0,5.0,12.0,1.0,1.0,9.0,5.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0
1.0,33.0,1.0,6.0,4.0,3.0,5.0,5.0,1.0,80.0,49.0,5.0,19.0,1.0,1.0,9.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
1.0,28.0,1.0,7.0,8.0,3.0,5.0,6.0,3.0,63.0,41.0,5.0,15.0,1.0,1.0,9.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
1.0,30.0,1.0,10.0,22.0,10.0,8.0,7.0,5.0,70.0,44.0,8.0,16.0,1.0,1.0,12.0,8.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
2.0,32.0,2.0,13.0,30.0,10.0,10.0,11.0,12.0,74.0,47.0,10.0,18.0,2.0,1.0,16.0,10.0,14.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0
5.0,23.0,4.0,6.0,30.0,10.0,5.0,9.0,12.0,53.0,33.0,5.0,12.0,5.0,1.0,9.0,5.0,8.0,5.0,5.0,5.0,3.0,5.0,5.0,9.0
7.0,27.0,7.0,9.0,22.0,14.0,7.0,11.0,12.0,61.0,36.0,7.0,14.0,7.0,1.0,11.0,7.0,11.0,8.0,8.0,8.0,6.0,7.0,8.0,10.0
14.0,27.0,14.0,13.0,38.0,19.0,10.0,7.0,15.0,61.0,37.0,10.0,14.0,14.0,1.0,14.0,10.0,14.0,12.0,12.0,12.0,9.0,14.0,12.0,11.0
14.0,38.0,14.0,14.0,44.0,10.0,11.0,9.0,20.0,86.0,54.0,11.0,20.0,14.0,1.0,16.0,11.0,14.0,22.0,22.0,22.0,16.0,14.0,22.0,12.0
14.0,27.0,14.0,16.0,42.0,13.0,13.0,12.0,11.0,61.0,39.0,13.0,14.0,14.0,1.0,19.0,13.0,18.0,22.0,22.0,22.0,16.0,14.0,22.0,13.0
20.0,28.0,19.0,10.0,40.0,16.0,9.0,12.0,14.0,66.0,41.0,9.0,16.0,20.0,1.0,13.0,9.0,12.0,23.0,23.0,23.0,18.0,20.0,23.0,14.0
27.0,16.0,27.0,10.0,60.0,19.0,8.0,11.0,20.0,39.0,23.0,8.0,9.0,27.0,4.0,12.0,8.0,11.0,30.0,30.0,30.0,22.0,27.0,30.0,15.0
14.0,24.0,14.0,14.0,136.0,21.0,11.0,4.0,21.0,56.0,33.0,11.0,12.0,14.0,3.0,16.0,11.0,14.0,42.0,42.0,42.0,31.0,14.0,42.0,16.0
18.0,23.0,18.0,16.0,206.0,14.0,14.0,3.0,25.0,54.0,33.0,14.0,12.0,18.0,2.0,20.0,14.0,18.0,22.0,22.0,22.0,16.0,18.0,22.0,17.0
24.0,28.0,23.0,25.0,398.0,14.0,20.0,6.0,16.0,65.0,40.0,20.0,16.0,24.0,4.0,29.0,20.0,28.0,28.0,28.0,28.0,21.0,24.0,28.0,18.0
27.0,18.0,27.0,20.0,380.0,19.0,16.0,5.0,16.0,40.0,25.0,16.0,10.0,27.0,3.0,25.0,16.0,21.0,39.0,39.0,39.0,28.0,27.0,39.0,19.0
32.0,19.0,30.0,21.0,406.0,22.0,18.0,3.0,20.0,42.0,27.0,18.0,10.0,32.0,3.0,27.0,18.0,24.0,43.0,43.0,43.0,32.0,32.0,43.0,20.0
20.0,21.0,20.0,22.0,504.0,33.0,19.0,7.0,27.0,49.0,31.0,19.0,12.0,20.0,2.0,28.0,19.0,27.0,49.0,49.0,49.0,37.0,20.0,49.0,21.0
20.0,20.0,20.0,16.0,682.0,28.0,14.0,7.0,41.0,48.0,30.0,14.0,12.0,20.0,2.0,20.0,14.0,18.0,33.0,33.0,33.0,25.0,20.0,33.0,22.0
27.0,13.0,27.0,19.0,374.0,30.0,14.0,8.0,32.0,29.0,19.0,14.0,6.0,27.0,3.0,21.0,14.0,20.0,32.0,32.0,32.0,23.0,27.0,32.0,23.0
32.0,20.0,32.0,19.0,489.0,32.0,14.0,7.0,33.0,47.0,28.0,14.0,11.0,32.0,3.0,21.0,14.0,20.0,42.0,42.0,42.0,32.0,32.0,42.0,24.0
49.0,16.0,49.0,27.0,628.0,23.0,21.0,13.0,36.0,35.0,21.0,21.0,8.0,49.0,4.0,32.0,21.0,30.0,51.0,51.0,51.0,40.0,49.0,51.0,25.0
41.0,27.0,41.0,19.0,791.0,27.0,15.0,14.0,27.0,62.0,39.0,15.0,14.0,41.0,1.0,22.0,15.0,20.0,80.0,80.0,80.0,61.0,41.0,80.0,26.0
44.0,33.0,44.0,20.0,898.0,27.0,16.0,16.0,29.0,77.0,48.0,16.0,18.0,44.0,1.0,25.0,16.0,21.0,63.0,63.0,63.0,48.0,44.0,63.0,27.0
47.0,21.0,46.0,13.0,439.0,38.0,10.0,21.0,30.0,51.0,32.0,10.0,12.0,47.0,2.0,14.0,10.0,14.0,70.0,70.0,70.0,51.0,47.0,70.0,28.0
33.0,32.0,33.0,18.0,515.0,27.0,14.0,22.0,43.0,75.0,47.0,14.0,18.0,33.0,2.0,20.0,14.0,20.0,74.0,74.0,74.0,54.0,33.0,74.0,29.0
36.0,33.0,36.0,16.0,450.0,28.0,14.0,17.0,30.0,76.0,48.0,14.0,18.0,36.0,3.0,20.0,14.0,18.0,53.0,53.0,53.0,40.0,36.0,53.0,30.0
37.0,33.0,37.0,20.0,726.0,16.0,16.0,14.0,32.0,78.0,48.0,16.0,19.0,37.0,3.0,24.0,16.0,21.0,61.0,61.0,61.0,45.0,37.0,61.0,31.0
54.0,48.0,53.0,13.0,1069.0,24.0,10.0,17.0,19.0,109.0,68.0,10.0,27.0,54.0,3.0,14.0,10.0,14.0,61.0,61.0,61.0,45.0,54.0,61.0,32.0
