ID,X,Y,Z,Status,Watershed,BurrowCount,Elevation,Aspect,Slope,Dew,PercentRock,PercentShrub,Burrow
448.0,128324.6641,1031421.0,531.75,1.0,5.0,,,,,,,,1.0
679.0,128344.2344,1031391.625,530.79,0.0,5.0,,,,,,,,1.0
680.0,128344.7734,1031391.313,530.86,1.0,5.0,,,,,,,,1.0
683.0,128343.0938,1031402.813,531.24,0.0,5.0,,,,,,,,1.0
686.0,128343.8438,1031415.25,532.11,-1.0,5.0,,,,,,,,1.0
687.0,128342.3438,1031416.125,532.02,1.0,5.0,,,,,,,,1.0
688.0,128341.7188,1031412.375,531.73,0.0,5.0,,,,,,,,1.0
689.0,128335.3828,1031424.375,532.14,1.0,5.0,,,,,,,,1.0
690.0,128337.6016,1031425.813,532.26,0.0,5.0,,,,,,,,1.0
691.0,128337.8359,1031426.75,532.18,0.0,5.0,,,,,,,,1.0
692.0,128336.8594,1031429.188,532.2,0.0,5.0,,,,,,,,1.0
693.0,128326.9297,1031424.938,531.98,0.0,5.0,,,,,,,,1.0
694.0,128329.5313,1031428.813,532.12,0.0,5.0,,,,,,,,1.0
695.0,128330.3594,1031422.875,531.9,0.0,5.0,,,,,,,,1.0
696.0,128330.2422,1031425.438,532.02,0.0,5.0,,,,,,,,1.0
697.0,128327.2188,1031420.0,531.67,1.0,5.0,,,,,,,,1.0
698.0,128326.5703,1031423.563,531.91,1.0,5.0,,,,,,,,1.0
699.0,128323.4141,1031423.938,531.93,0.0,5.0,,,,,,,,1.0
700.0,128323.1094,1031425.438,532.01,0.0,5.0,,,,,,,,1.0
701.0,128322.6016,1031426.875,532.12,0.0,5.0,,,,,,,,1.0
702.0,128321.0156,1031427.875,532.2,0.0,5.0,,,,,,,,1.0
703.0,128320.9141,1031428.25,532.21,0.0,5.0,,,,,,,,1.0
704.0,128319.0156,1031428.5,532.26,0.0,5.0,,,,,,,,1.0
705.0,128321.3906,1031422.0,531.88,0.0,5.0,,,,,,,,1.0
706.0,128319.4922,1031422.5,531.97,1.0,5.0,,,,,,,,1.0
707.0,128319.8203,1031420.0,531.8,1.0,5.0,,,,,,,,1.0
708.0,128322.2734,1031419.563,531.69,0.0,5.0,,,,,,,,1.0
709.0,128321.2188,1031417.875,531.58,0.0,5.0,,,,,,,,1.0
710.0,128321.9531,1031415.0,531.35,1.0,5.0,,,,,,,,1.0
711.0,128322.1406,1031415.125,531.35,0.0,5.0,,,,,,,,1.0
712.0,128325.7813,1031417.25,531.46,1.0,5.0,,,,,,,,1.0
713.0,128321.0156,1031414.688,531.35,0.0,5.0,,,,,,,,1.0
714.0,128320.6016,1031414.563,531.36,0.0,5.0,,,,,,,,1.0
715.0,128320.7031,1031414.063,531.31,0.0,5.0,,,,,,,,1.0
716.0,128320.4688,1031414.0,531.32,0.0,5.0,,,,,,,,1.0
717.0,128320.2891,1031414.25,531.34,1.0,5.0,,,,,,,,1.0
718.0,128316.3203,1031425.25,532.32,0.0,5.0,,,,,,,,1.0
719.0,128322.3594,1031408.813,530.76,0.0,5.0,,,,,,,,1.0
720.0,128323.9688,1031409.25,530.7,0.0,5.0,,,,,,,,1.0
721.0,128323.8359,1031408.375,530.65,1.0,5.0,,,,,,,,1.0
722.0,128323.1953,1031407.688,530.58,-1.0,5.0,,,,,,,,1.0
723.0,128322.3594,1031407.0,530.6,-1.0,5.0,,,,,,,,1.0
724.0,128325.2344,1031403.5,530.11,1.0,5.0,,,,,,,,1.0
725.0,128325.8125,1031399.688,529.72,0.0,5.0,,,,,,,,1.0
726.0,128325.6484,1031398.438,529.57,1.0,5.0,,,,,,,,1.0
727.0,128324.8828,1031397.063,529.47,1.0,5.0,,,,,,,,1.0
728.0,128326.6406,1031392.375,528.93,0.0,5.0,,,,,,,,1.0
729.0,128325.5703,1031391.875,528.88,1.0,5.0,,,,,,,,1.0
730.0,128326.7109,1031390.25,528.73,1.0,5.0,,,,,,,,1.0
731.0,128324.8828,1031389.438,528.64,1.0,5.0,,,,,,,,1.0
732.0,128324.8828,1031391.125,528.84,0.0,5.0,,,,,,,,1.0
733.0,128327.2344,1031389.688,528.67,1.0,5.0,,,,,,,,1.0
734.0,128327.6328,1031389.688,528.7,0.0,5.0,,,,,,,,1.0
