DATE,PAN,PAN17,PAN18,PANF,PANM
1980-01-01,227757.0,172456.0,138358.0,116869.0,110888.0
1981-01-01,230138.0,175017.0,140618.0,118074.0,112064.0
1982-01-01,232520.0,177346.0,142740.0,119275.0,113245.0
1983-01-01,234799.0,179480.0,144591.0,120414.0,114385.0
1984-01-01,237001.0,181514.0,146257.0,121507.0,115494.0
1985-01-01,239279.0,183583.0,147759.0,122631.0,116648.0
1986-01-01,241625.0,185766.0,149149.0,123795.0,117830.0
1987-01-01,243942.0,187988.0,150542.0,124945.0,118997.0
1988-01-01,246307.0,189867.0,152113.0,126118.0,120189.0
1989-01-01,248762.0,191570.0,153695.0,127317.0,121445.0
