MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
14.0,IN_SEL_NOT_AVAIL,1.0,N,The selection %1$ is not available.,SASHELP.FSP.OK.SLIST
24.0,IN_NOT_AVAILABLE,1.0,N,This option is not yet available.,SASHELP.FSP.OK.SLIST
32.0,IO_DICT_CANNOT_OPEN_STUDY,1.0,E,Unable to open the study. There are problems with the dictionary.,SASHELP.FSP.OK.SLIST
82.0,IO_NO_ACCESS,1.0,E,%lYou do not have authorization to access %1$.,SASHELP.FSP.OK.SLIST
148.0,IO_PLEASE_ENTER_A_VALID,1.0,E,Please enter a valid %1$.,SASHELP.FSP.OK.SLIST
219.0,IN_PROJECT_ALREADY_OPEN,1.0,N,%1$ is already open.,SASHELP.FSP.OK.SLIST
227.0,IN_NO_PAT_SELECTED,1.0,E,Select at least one patient.,SASHELP.FSP.OK.SLIST
273.0,IN_NO_HELP,1.0,W,No help is available.,SASHELP.FSP.OK.SLIST
300.0,IN_TE_OK_MSG,1.0,W,%1$%N%2$%N%3$,SASHELP.FSP.OK.SLIST
303.0,,,,,
307.0,IO_EXPOUT_YES,1.0,N,The output was exported to %1$.,SASHELP.FSP.OK.SLIST
308.0,IN_SELECT_SUMMARY_ITEM,1.0,W,Select a %1 to summarize.,SASHELP.FSP.OK.SLIST
335.0,IN_SELECT_ITEM,1.0,E,Select an item from the table.,SASHELP.FSP.OK.SLIST
340.0,IN_APP_NOT_AVAIL,1.0,N,The application %1$ is not available.,SASHELP.FSP.OK.SLIST
349.0,IO_BAD_PATHNAME,1.0,E,The directory %1$ does not exist.  Enter an existing directory.,SASHELP.FSP.OK.SLIST
390.0,IN_TERMINATE_STARTUP,1.0,E,Unable to start SAS/PH-Clinical.,SASHELP.FSP.OK.SLIST
391.0,IO_CANNOT_FIND_ITEM,1.0,E,Unable to find the %1$ %2$.  Verify that this %1$ exists.,SASHELP.FSP.OK.SLIST
392.0,IO_CANNOT_SAVE_ITEM,1.0,E,Unable to save %1$.  Verify write access to this library and catalog.,SASHELP.FSP.OK.SLIST
393.0,IO_BAD_ALLOCATION,1.0,E,Unable to %1$.  Verify that it exists.,SASHELP.FSP.OK.SLIST
395.0,DI_REQUIRED_FIELD,1.0,N,The %1$ field is required.  Enter a value.,SASHELP.FSP.OK.SLIST
402.0,IO_ONE_SEL_REQUIRED,1.0,W,Select at least one %1$.,SASHELP.FSP.OK.SLIST
403.0,IN_NO_ASSOC_FOUND,1.0,W,No associated %1$ were found.,SASHELP.FSP.OK.SLIST
404.0,IO_NOT_CREATE,1.0,E,Unable to create the %1$.,SASHELP.FSP.OK.SLIST
406.0,DI_NO_PAT_RECS,1.0,N,The %1$ data set contains no records for this patient.,SASHELP.FSP.OK.SLIST
437.0,IO_IMAGE_NOT_DISPLAYED,1.0,E,Unable to display image %1$.,SASHELP.FSP.OK.SLIST
438.0,IO_IMAGE_NOT_RESIZED,1.0,N,Unable to resize image %1$.,SASHELP.FSP.OK.SLIST
439.0,IO_IMAGE_NO_GAMMA,1.0,N,Unable to darken or lighten image %1$.,SASHELP.FSP.OK.SLIST
440.0,IO_IMAGE_NO_NEGATE,1.0,N,Unable to negate image %1$.,SASHELP.FSP.OK.SLIST
441.0,IO_IMAGE_NO_MIRROR,1.0,N,Unable to mirror image %1$.,SASHELP.FSP.OK.SLIST
442.0,IO_IMAGE_NO_ROTATE,1.0,N,Unable to rotate image %1$.,SASHELP.FSP.OK.SLIST
443.0,IO_PLOT_NO_NUMS,1.0,N,Unable to create graph.  There are no numeric variables in the selected variable list or table.,SASHELP.FSP.OK.SLIST
444.0,DI_REQUIRED_VALUE,1.0,E,Enter a value greater than 0 and less than 999.,SASHELP.FSP.OK.SLIST
446.0,IN_NEW_NOT_DEFND,1.0,E,Unable to define the variable.,SASHELP.FSP.OK.SLIST
447.0,IN_INVALID_VAR_NAME,1.0,E,%1$ is not a valid SAS name.  Valid names begin with a letter or an underscore and,SASHELP.FSP.OK.SLIST
447.0,IN_INVALID_VAR_NAME,2.0,E,cannot contain blanks or special characters.,SASHELP.FSP.OK.SLIST
448.0,IO_VAR_VALS_NOT_FOUND,1.0,E,Unable to determine values for %1$.,SASHELP.FSP.OK.SLIST
540.0,IN_TE_OK_CANCEL_MSG,1.0,Q,%1$%N%2$%N%3$,SASHELP.FSP.OC.SLIST
550.0,IN_ALL_VARS_INVALID,1.0,W,"The ""All Variables"" group may not be selected for this action. Select another variable group.",SASHELP.FSP.OK.SLIST
580.0,IN_NO_DESCRIPT,1.0,E,A value for Name is required.,SASHELP.FSP.OK.SLIST
581.0,IN_DESCRIPT_PROBLEMS,1.0,E,Unable to validate the given name.,SASHELP.FSP.OK.SLIST
583.0,IO_STUDY_NOT_OPEN,1.0,E,No study is currently open.  This task requires an open study.,SASHELP.FSP.OK.SLIST
584.0,IO_OBJECT_INST_ERROR,1.0,E,Unable to load and use the %1$.,SASHELP.FSP.OK.SLIST
616.0,DI_MODIFIED_EXISTING_USERID,1.0,E,Unable to change an existing user's userid.  Delete this user or save as a new user.,SASHELP.FSP.OK.SLIST
618.0,DI_UNKNOWN_USER,1.0,W,You must define yourself to SAS/PH-Clinical before you can use it.  Enter userid and password.,SASHELP.FSP.OC.SLIST
619.0,DI_CANNOT_GET_USERID,1.0,E,Unable to determine the userid.,SASHELP.FSP.OK.SLIST
620.0,IO_CANNOT_SAVE_CATALOG_ENTRY,1.0,E,Unable to save %1$.  Do you have write access to this library and catalog?,SASHELP.FSP.OK.SLIST
621.0,IO_CANNOT_SAVE_INSTALLATION,1.0,W,Unable to save %1$.  Make sure you have write access to this library and catalog.%N%NThe settings you have specified for the %2$ library allocation will be used for this session only.,SASHELP.FSP.OK.SLIST
625.0,DI_BAD_USER_OPTION,1.0,E,'%1$' is not an existing userid.  Only existing userids may be specified for the USER= invocation option.,SASHELP.FSP.OK.SLIST
633.0,DI_BAD_PASSWORD_CONFIRMATION,1.0,E,Unable to comfirm your password.,SASHELP.FSP.OK.SLIST
635.0,IN_QUERY_APP_SAVE,1.0,N,The query has been saved and applied.,SASHELP.FSP.OK.SLIST
636.0,IN_ITEM_SAVED,1.0,N,The %1$ has been saved.,SASHELP.FSP.OK.SLIST
637.0,IN_QUERY_NOT_APP,1.0,E,Unable to apply the query.,SASHELP.FSP.OK.SLIST
638.0,IN_ITEM_EXISTS,1.0,W,The %1$ already exists. A duplicate was not saved.,SASHELP.FSP.OK.SLIST
639.0,IN_ITEM_NOT_SAVED,1.0,E,Unable to save the %1$.,SASHELP.FSP.OK.SLIST
640.0,IN_QUERY_DUP_APP,1.0,W,The current query is already active.,SASHELP.FSP.OK.SLIST
641.0,IN_QUERY_APP,1.0,N,The query has been applied.,SASHELP.FSP.OK.SLIST
653.0,IN_CELL_REQUIRED,1.0,W,Select only 1 cell to include in the query.,SASHELP.FSP.OK.SLIST
654.0,IO_CANNOT_GET_PRIVATE_LIBRARY,1.0,N,"You have not yet defined a private library.  A private library must be defined to use this product.%N%NSelect OK to define a private library, or%NSelect CANCEL to end the product startup.",SASHELP.FSP.OC.SLIST
656.0,IN_NO_QUERIES_AVAIL,1.0,W,No queries are available.  Select New... to add a query.,SASHELP.FSP.OK.SLIST
660.0,IO_CHANGE_STUDY,1.0,W,Another study is open.  Select OK to close this study and all its associated windows.,SASHELP.FSP.OC.SLIST
663.0,IO_CANNOT_MODIFY_ITEM,1.0,E,Unable to %1$ this %2$.,SASHELP.FSP.OK.SLIST
665.0,IO_ITEM_NOT_YOURS,1.0,E,You cannot modify or delete this %1$ because you do not own it.,SASHELP.FSP.OK.SLIST
666.0,IO_DUPLICATE_NAME,1.0,E,Another item already has this name.  Enter a different name.,SASHELP.FSP.OK.SLIST
668.0,DI_INVALID_LOGIN,1.0,E,Invalid userid/password combination.%NPlease try again.,SASHELP.FSP.OK.SLIST
671.0,DI_VARS_NOT_JOINABLE,1.0,W,Unable to draw graph.  The selected variables cannot be plotted against each other.,SASHELP.FSP.OK.SLIST
672.0,DI_CONT_VAR_REQUIRED,1.0,W,The plot requires a continuous variable for the Y axis.,SASHELP.FSP.OK.SLIST
673.0,IN_TWO_VARS_REQUIRED,1.0,N,The plot requires two variables.,SASHELP.FSP.OK.SLIST
675.0,DI_BYVARS_NOT_JOINABLE,1.0,W,The variable you selected cannot be properly joined with the current grouping variables.  The grouping variables have been cleared.,SASHELP.FSP.OK.SLIST
678.0,DI_EXISTING_OSERVER_DATASETS,1.0,E,This library has already been defined to SAS/PH-Clinical software.,SASHELP.FSP.OK.SLIST
680.0,DI_RESERVED_LIBNAME,1.0,E,%1$ is a reserved libname.  Enter another libname.,SASHELP.FSP.OK.SLIST
681.0,IN_CANNOT_CREATE_LINK,1.0,E,"Unable to create a link between the %1$ ""%2$"" and the %3$ ""%4$"".",SASHELP.FSP.OK.SLIST
682.0,DI_RESERVED_PATH,1.0,E,The %1$ path is currently being used by the %2$ libref.  Select another path.,SASHELP.FSP.OK.SLIST
684.0,IO_ITEM_LOCKED,1.0,E,This %1$ cannot be accessed at this time.,SASHELP.FSP.OK.SLIST
688.0,IN_SEL_VARS_SUMM,1.0,W,Unable to provide summary statistics when no variables are selected.  Select the variables required for the graph.,SASHELP.FSP.OK.SLIST
689.0,IN_VARS_NO_SWAP,1.0,W,Unable to swap X and Y variables.  The X variable is not continuous.,SASHELP.FSP.OK.SLIST
690.0,DI_VAR_NOT_CONTINUOUS,1.0,W,"Unable to draw graph.  The variable, %1$, is not continuous.",SASHELP.FSP.OK.SLIST
692.0,DI_NO_VARS_FOUND,1.0,E,No variables were found in the current study.,SASHELP.FSP.OK.SLIST
693.0,DI_EXISTING_OSERVER_DATASETS2,1.0,W,This library has already been defined to SAS/PH-Clinical software.  Do you want to clear the existing definition?,SASHELP.FSP.YN.SLIST
700.0,IN_NO_PAT_INFO_FROM_REGRESS,1.0,W,Drilldown is not a valid action from a regression line.,SASHELP.FSP.OK.SLIST
701.0,IN_NO_PAT_INFO_FROM_TEXT,1.0,W,Drilldown is not a valid action from text.,SASHELP.FSP.OK.SLIST
702.0,DI_NO_OBS_FOR_BYVAR_VALUE,1.0,W,There are no observations for the current value of the grouping variable.  Select another value or grouping variable.,SASHELP.FSP.OK.SLIST
703.0,IN_NO_EXCLUDE_OTHERS,1.0,W,"The ""Other"" section selected contains more than ninety-eight unique values.  Exclusion cannot be done.",SASHELP.FSP.OK.SLIST
704.0,IN_NO_DRILLDOWN_OTHERS,1.0,W,"The ""Other"" section selected contains more than ninety-eight unique values.  Drill down cannot be done.",SASHELP.FSP.OK.SLIST
705.0,IN_ENTER_GRAPH_VARS,1.0,W,Unable to display the table.  Select the variables needed to draw the graph before viewing a table.,SASHELP.FSP.OK.SLIST
706.0,IO_WINDOW_OPEN,1.0,E,The %1$ window is already open.,SASHELP.FSP.OK.SLIST
707.0,DI_NO_JOINABLE_VARS,1.0,W,There are no variables that can be joined with the currently selected variables.,SASHELP.FSP.OK.SLIST
708.0,DI_NO_CONT_JOINABLE_VARS,1.0,W,No continuous variables are compatible with the selected variables.,SASHELP.FSP.OK.SLIST
709.0,DI_BAD_LIBNAME,1.0,E,The libname %1$ is not a valid libname.  Enter another libname.,SASHELP.FSP.OK.SLIST
710.0,DI_RESERVED_LIBNAME2,1.0,E,"Libnames beginning with ""_PH"" are reserved by SAS/PH-Clinical.  Select another libname.",SASHELP.FSP.OK.SLIST
711.0,IN_SEL_BAR_TO_QUERY,1.0,W,Select the bars corresponding to the values to include in the query.,SASHELP.FSP.OK.SLIST
712.0,IN_SEL_BAR_FOR_DRILLDOWN,1.0,W,Select the bars corresponding to the drilldown values.,SASHELP.FSP.OK.SLIST
713.0,IN_SEL_SLICE_FOR_DRILLDOWN,1.0,W,Select the pie slices corresponding to the drilldown values.,SASHELP.FSP.OK.SLIST
714.0,IN_SEL_POINT_FOR_DRILLDOWN,1.0,W,Select the points corresponding to the drilldown values.,SASHELP.FSP.OK.SLIST
715.0,IN_SEL_SLICE_TO_QUERY,1.0,W,Select the pie slices corresponding to the values to include in the query.,SASHELP.FSP.OK.SLIST
716.0,IN_SEL_POINT_TO_QUERY,1.0,W,Select the points corresponding to the values to include in the query.,SASHELP.FSP.OK.SLIST
717.0,DI_NO_BYVAR_VALUES,1.0,E,No values were found for the selected grouping variables.,SASHELP.FSP.OK.SLIST
718.0,DI_GRVARS_BYVARS_NOT_JOINABLE,1.0,W,The selected grouping variables are incompatible with the graph variables.,SASHELP.FSP.OK.SLIST
767.0,IO_GENERIC_CONFIRM_MSG,1.0,W,%1$,SASHELP.FSP.YN.SLIST
790.0,IO_NO_WRITE_TO_FILE,1.0,W,Unable to save as %1$.,SASHELP.FSP.OK.SLIST
791.0,IO_DATASET_NO_INPUT,1.0,W,Unable to open the data set %1$ for input.,SASHELP.FSP.OK.SLIST
792.0,IO_COLS_NOT_CREATED,1.0,W,Unable to create the new columns.,SASHELP.FSP.OK.SLIST
793.0,IN_SEL_ROW_CELL_SUM,1.0,W,Select a row or cell to summarize.,SASHELP.FSP.OK.SLIST
794.0,DI_TABLE_NOT_ROTATED,1.0,W,Unable to rotate the table.,SASHELP.FSP.OK.SLIST
795.0,IO_DATASET_NO_SORT,1.0,W,Unable to sort the data set.,SASHELP.FSP.OK.SLIST
796.0,DI_VARS_NOT_SUM,1.0,W,Unable to calculate summary statistics for selected variables.,SASHELP.FSP.OK.SLIST
