COLNAME,FORMAT,INFORMAT,LABEL,LENGTH,SASNAME,TABLEID,TYPE,ICON,CLASNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,OBJNAME
ACTUAL,DOLLAR12.2,,Actual Sales,8.0,,A5GFGYAU.A20A0001,N,,SASHELP.MDCLASS.NCOLUMN,1210009376.40117,1210009376.40117,,,A5GFGYAU.A50A0001,,0.0,128.0,128.0,1.0,ACTUAL
COUNTRY,$CHAR10.,,Country,10.0,,A5GFGYAU.A20A0001,C,,SASHELP.MDCLASS.CCOLUMN,1210009384.4184,1210009384.4184,,,A5GFGYAU.A50A0002,,0.0,128.0,128.0,1.0,COUNTRY
DIFF,DOLLAR8.,DOLLAR8.,Sales Lag,8.0,,A5GFGYAU.A20A0001,N,,SASHELP.MDCLASS.NCOLUMN,1210009391.28932,1210009391.28932,,,A5GFGYAU.A50A0003,,0.0,128.0,128.0,1.0,DIFF
DIVISION,$CHAR10.,,Division,10.0,,A5GFGYAU.A20A0001,C,,SASHELP.MDCLASS.CCOLUMN,1210009396.71967,1210009396.71967,,,A5GFGYAU.A50A0004,,0.0,128.0,128.0,1.0,DIVISION
MONTH,,,Month,,,A5GFGYAU.A20A0001,C,,SASHELP.MDCLASS.CCOLUMN,1210009404.02584,1210009404.02584,,,A5GFGYAU.A50A0005,,0.0,128.0,128.0,1.0,MONTH
PREDICT,DOLLAR12.2,,Predicted Sales,8.0,,A5GFGYAU.A20A0001,N,,SASHELP.MDCLASS.NCOLUMN,1210009411.23724,1210009411.23724,,,A5GFGYAU.A50A0006,,0.0,128.0,128.0,1.0,PREDICT
PRODTYPE,$CHAR10.,,Product type,10.0,,A5GFGYAU.A20A0001,C,,SASHELP.MDCLASS.CCOLUMN,1210009418.19063,1210009418.19063,,,A5GFGYAU.A50A0007,,0.0,128.0,128.0,1.0,PRODTYPE
PRODUCT,$CHAR10.,,Product,10.0,,A5GFGYAU.A20A0001,C,,SASHELP.MDCLASS.CCOLUMN,1210009425.3377,1210009425.3377,,,A5GFGYAU.A50A0008,,0.0,128.0,128.0,1.0,PRODUCT
QUARTER,,,Quarter,,,A5GFGYAU.A20A0001,C,,SASHELP.MDCLASS.CCOLUMN,1210009432.70346,1210009432.70346,,,A5GFGYAU.A50A0009,,0.0,128.0,128.0,1.0,QUARTER
REGION,$CHAR10.,,Region,10.0,,A5GFGYAU.A20A0001,C,,SASHELP.MDCLASS.CCOLUMN,1210009439.88869,1210009439.88869,,,A5GFGYAU.A50A000A,,0.0,128.0,128.0,1.0,REGION
SALESRAT,,,Sales Ratio,8.0,,A5GFGYAU.A20A0001,N,,SASHELP.MDCLASS.NCOLUMN,1210009446.6437,1210009446.6437,,,A5GFGYAU.A50A000B,,0.0,128.0,128.0,1.0,SALESRAT
YEAR,,,Year,,,A5GFGYAU.A20A0001,C,,SASHELP.MDCLASS.CCOLUMN,1210009452.17832,1210009452.17832,,,A5GFGYAU.A50A000C,,0.0,128.0,128.0,1.0,YEAR
ACTUAL,DOLLAR12.2,,Actual Sales,8.0,,A5GFGYAU.A20A0002,N,,SASHELP.MDCLASS.NCOLUMN,1210009472.19916,1210009472.19916,,,A5GFGYAU.A50A000D,,0.0,128.0,128.0,1.0,ACTUAL
COUNTRY,$CHAR10.,,Country,10.0,,A5GFGYAU.A20A0002,C,,SASHELP.MDCLASS.CCOLUMN,1210009477.28351,1210009477.28351,,,A5GFGYAU.A50A000E,,0.0,128.0,128.0,1.0,COUNTRY
COUNTY,$CHAR20.,,County,20.0,,A5GFGYAU.A20A0002,C,,SASHELP.MDCLASS.CCOLUMN,1210009481.26279,1210009481.26279,,,A5GFGYAU.A50A000F,,0.0,128.0,128.0,1.0,COUNTY
DIFF,DOLLAR8.,DOLLAR8.,Sales Lag,8.0,,A5GFGYAU.A20A0002,N,,SASHELP.MDCLASS.NCOLUMN,1210009485.66423,1210009485.66423,,,A5GFGYAU.A50A000G,,0.0,128.0,128.0,1.0,DIFF
MONTH,MONNAME3.,,Month,8.0,,A5GFGYAU.A20A0002,N,,SASHELP.MDCLASS.NCOLUMN,1210009489.69336,1210009489.69336,,,A5GFGYAU.A50A000H,,0.0,128.0,128.0,1.0,MONTH
PREDICT,DOLLAR12.2,,Predicted Sales,8.0,,A5GFGYAU.A20A0002,N,,SASHELP.MDCLASS.NCOLUMN,1210009494.35644,1210009494.35644,,,A5GFGYAU.A50A000I,,0.0,128.0,128.0,1.0,PREDICT
PRODTYPE,$CHAR10.,,Product Type,10.0,,A5GFGYAU.A20A0002,C,,SASHELP.MDCLASS.CCOLUMN,1210009499.36487,1210009499.36487,,,A5GFGYAU.A50A000J,,0.0,128.0,128.0,1.0,PRODTYPE
PRODUCT,$CHAR10.,,Product,10.0,,A5GFGYAU.A20A0002,C,,SASHELP.MDCLASS.CCOLUMN,1210009503.72046,1210009503.72046,,,A5GFGYAU.A50A000K,,0.0,128.0,128.0,1.0,PRODUCT
QUARTER,8.,,Quarter,8.0,,A5GFGYAU.A20A0002,N,,SASHELP.MDCLASS.NCOLUMN,1210009508.10202,1210009508.10202,,,A5GFGYAU.A50A000L,,0.0,128.0,128.0,1.0,QUARTER
SALESRAT,,,Sales Ratio,8.0,,A5GFGYAU.A20A0002,N,,SASHELP.MDCLASS.NCOLUMN,1210009512.75801,1210009512.75801,,,A5GFGYAU.A50A000M,,0.0,128.0,128.0,1.0,SALESRAT
STATE,$CHAR22.,,State/Province,22.0,,A5GFGYAU.A20A0002,C,,SASHELP.MDCLASS.CCOLUMN,1210009517.85132,1210009517.85132,,,A5GFGYAU.A50A000N,,0.0,128.0,128.0,1.0,STATE
YEAR,4.,,Year,8.0,,A5GFGYAU.A20A0002,N,,SASHELP.MDCLASS.NCOLUMN,1210009521.9716,1210009521.9716,,,A5GFGYAU.A50A000O,,0.0,128.0,128.0,1.0,YEAR
ACTUAL,DOLLAR12.2,,Actual Sales,8.0,,A5GFGYAU.A20A0003,N,,SASHELP.MDCLASS.NCOLUMN,1210009537.46512,1210009537.46512,,,A5GFGYAU.A50A000P,,0.0,128.0,128.0,1.0,ACTUAL
COUNTRY,$CHAR10.,,Country,10.0,,A5GFGYAU.A20A0003,C,,SASHELP.MDCLASS.CCOLUMN,1210009542.59848,1210009542.59848,,,A5GFGYAU.A50A000Q,,0.0,128.0,128.0,1.0,COUNTRY
DIFF,DOLLAR8.,DOLLAR8.,Sales Lag,8.0,,A5GFGYAU.A20A0003,N,,SASHELP.MDCLASS.NCOLUMN,1210009547.07387,1210009547.07387,,,A5GFGYAU.A50A000R,,0.0,128.0,128.0,1.0,DIFF
DIVISION,$CHAR10.,,Division,10.0,,A5GFGYAU.A20A0003,C,,SASHELP.MDCLASS.CCOLUMN,1210009551.09374,1210009551.09374,,,A5GFGYAU.A50A000S,,0.0,128.0,128.0,1.0,DIVISION
MONTH,MONNAME3.,,Month,8.0,,A5GFGYAU.A20A0003,N,,SASHELP.MDCLASS.NCOLUMN,1210009555.25008,1210009555.25008,,,A5GFGYAU.A50A000T,,0.0,128.0,128.0,1.0,MONTH
PREDICT,DOLLAR12.2,,Predicted Sales,8.0,,A5GFGYAU.A20A0003,N,,SASHELP.MDCLASS.NCOLUMN,1210009559.91105,1210009559.91105,,,A5GFGYAU.A50A000U,,0.0,128.0,128.0,1.0,PREDICT
PRODTYPE,$CHAR10.,,Product type,10.0,,A5GFGYAU.A20A0003,C,,SASHELP.MDCLASS.CCOLUMN,1210009565.38933,1210009565.38933,,,A5GFGYAU.A50A000V,,0.0,128.0,128.0,1.0,PRODTYPE
PRODUCT,$CHAR10.,,Product,10.0,,A5GFGYAU.A20A0003,C,,SASHELP.MDCLASS.CCOLUMN,1210009569.69113,1210009569.69113,,,A5GFGYAU.A50A000W,,0.0,128.0,128.0,1.0,PRODUCT
QUARTER,8.,,Quarter,8.0,,A5GFGYAU.A20A0003,N,,SASHELP.MDCLASS.NCOLUMN,1210009574.06752,1210009574.06752,,,A5GFGYAU.A50A000X,,0.0,128.0,128.0,1.0,QUARTER
REGION,$CHAR10.,,Region,10.0,,A5GFGYAU.A20A0003,C,,SASHELP.MDCLASS.CCOLUMN,1210009578.34497,1210009578.34497,,,A5GFGYAU.A50A000Y,,0.0,128.0,128.0,1.0,REGION
SALESRAT,,,Sales Ratio,8.0,,A5GFGYAU.A20A0003,N,,SASHELP.MDCLASS.NCOLUMN,1210009583.15209,1210009583.15209,,,A5GFGYAU.A50A000Z,,0.0,128.0,128.0,1.0,SALESRAT
YEAR,4.,,Year,8.0,,A5GFGYAU.A20A0003,N,,SASHELP.MDCLASS.NCOLUMN,1210009587.45241,1210009587.45241,,,A5GFGYAU.A50A0010,,0.0,128.0,128.0,1.0,YEAR
PERCENT,6.2,,Percent,8.0,,A5GFGYAU.A20A0004,N,,SASHELP.MDCLASS.NCOLUMN,1210009599.69325,1210009599.69325,,,A5GFGYAU.A50A0011,,0.0,128.0,128.0,1.0,PERCENT
VARIANCE,12.2,,Variance,8.0,,A5GFGYAU.A20A0004,N,,SASHELP.MDCLASS.NCOLUMN,1210009603.95968,1210009603.95968,,,A5GFGYAU.A50A0012,,0.0,128.0,128.0,1.0,VARIANCE
ACTUAL,DOLLAR14.2,,Actual Sales,8.0,,A5GFGYAU.A2000005,N,,SASHELP.MDCLASS.NCOLUMN,1229876995.22067,1229876995.22067,,,A5GFGYAU.A5000013,,0.0,128.0,128.0,1.0,ACTUAL
COUNTRY,$CHAR10.,,Country,10.0,,A5GFGYAU.A2000005,C,,SASHELP.MDCLASS.CCOLUMN,1229876996.24378,1229876996.24378,,,A5GFGYAU.A5000014,,0.0,128.0,128.0,1.0,COUNTRY
COUNTY,$CHAR20.,,County,20.0,,A5GFGYAU.A2000005,C,,SASHELP.MDCLASS.CCOLUMN,1229876996.96805,1229876996.96805,,,A5GFGYAU.A5000015,,0.0,128.0,128.0,1.0,COUNTY
DATE,MONYY.,MONYY.,Date,8.0,,A5GFGYAU.A2000005,N,,SASHELP.MDCLASS.NCOLUMN,1229876997.69575,1229942100.81712,,,A5GFGYAU.A5000016,,0.0,128.0,128.0,1.0,DATE
MONTH,MONNAME3.,,Month,8.0,,A5GFGYAU.A2000005,N,,SASHELP.MDCLASS.NCOLUMN,1229876998.42372,1229876998.42372,,,A5GFGYAU.A5000017,,0.0,128.0,128.0,1.0,MONTH
PREDICT,DOLLAR14.2,,Predicted Sales,8.0,,A5GFGYAU.A2000005,N,,SASHELP.MDCLASS.NCOLUMN,1229876999.23829,1229876999.23829,,,A5GFGYAU.A5000018,,0.0,128.0,128.0,1.0,PREDICT
PRODTYPE,$CHAR10.,,Product Type,10.0,,A5GFGYAU.A2000005,C,,SASHELP.MDCLASS.CCOLUMN,1229877000.26234,1229877000.26234,,,A5GFGYAU.A5000019,,0.0,128.0,128.0,1.0,PRODTYPE
PRODUCT,$CHAR10.,,Product,10.0,,A5GFGYAU.A2000005,C,,SASHELP.MDCLASS.CCOLUMN,1229877001.01104,1229877001.01104,,,A5GFGYAU.A500001A,,0.0,128.0,128.0,1.0,PRODUCT
QUARTER,8.,,Quarter,8.0,,A5GFGYAU.A2000005,N,,SASHELP.MDCLASS.NCOLUMN,1229877001.75031,1229877001.75031,,,A5GFGYAU.A500001B,,0.0,128.0,128.0,1.0,QUARTER
STATE,$CHAR22.,,State/Province,22.0,,A5GFGYAU.A2000005,C,,SASHELP.MDCLASS.CCOLUMN,1229877002.51002,1229877002.51002,,,A5GFGYAU.A500001C,,0.0,128.0,128.0,1.0,STATE
YEAR,4.,,Year,8.0,,A5GFGYAU.A2000005,N,,SASHELP.MDCLASS.NCOLUMN,1229877003.25764,1229877003.25764,,,A5GFGYAU.A500001D,,0.0,128.0,128.0,1.0,YEAR
DIFF,DOLLAR8.,DOLLAR8.,Sales Lag,8.0,DIFF,A5GFGYAU.A2000005,N,,SASHELP.MDCLASS.NCOLUMN,1229877004.40726,1229877004.40726,,,A5GFGYAU.A500001E,Sales Lag,0.0,128.0,128.0,1.0,DIFF
SALESRAT,,,Sales Ratio,8.0,SALESRAT,A5GFGYAU.A2000005,N,,SASHELP.MDCLASS.NCOLUMN,1229877005.52446,1229877005.52446,,,A5GFGYAU.A500001F,Sales Ratio,0.0,128.0,128.0,1.0,SALESRAT
COUNTRY,$CHAR10.,,Country,10.0,COUNTRY,A5GFGYAU.A2000006,C,,SASHELP.MDCLASS.CCOLUMN,1229877037.66811,1229877037.66811,1231411866.12668,,A5GFGYAU.A500001G,,0.0,128.0,128.0,1.0,COUNTRY
STATE,$CHAR22.,,State/Province,22.0,STATE,A5GFGYAU.A2000006,C,,SASHELP.MDCLASS.CCOLUMN,1229877039.21582,1229877039.21582,1231411868.25535,,A5GFGYAU.A500001H,,0.0,128.0,128.0,1.0,STATE
COUNTY,$CHAR20.,,County,20.0,COUNTY,A5GFGYAU.A2000006,C,,SASHELP.MDCLASS.CCOLUMN,1229877040.7578,1229877040.7578,1231411870.70475,,A5GFGYAU.A500001I,,0.0,128.0,128.0,1.0,COUNTY
PRODTYPE,$CHAR10.,,Product Type,10.0,PRODTYPE,A5GFGYAU.A2000006,C,,SASHELP.MDCLASS.CCOLUMN,1229877042.28793,1229877042.28793,1231411874.67028,,A5GFGYAU.A500001J,,0.0,128.0,128.0,1.0,PRODTYPE
PRODUCT,$CHAR10.,,Product,10.0,PRODUCT,A5GFGYAU.A2000006,C,,SASHELP.MDCLASS.CCOLUMN,1229877043.83553,1229877043.83553,1231411876.58191,,A5GFGYAU.A500001K,,0.0,128.0,128.0,1.0,PRODUCT
YEAR,,,Year,200.0,YEAR,A5GFGYAU.A2000006,C,,SASHELP.MDCLASS.CCOLUMN,1229877045.38775,1229877045.38775,1231411878.82762,,A5GFGYAU.A500001L,,0.0,128.0,128.0,1.0,YEAR
QUARTER,,,Quarter,200.0,QUARTER,A5GFGYAU.A2000006,C,,SASHELP.MDCLASS.CCOLUMN,1229877046.96818,1229877046.96818,1231411881.22846,,A5GFGYAU.A500001M,,0.0,128.0,128.0,1.0,QUARTER
MONTH,,,Month,200.0,MONTH,A5GFGYAU.A2000006,C,,SASHELP.MDCLASS.CCOLUMN,1229877048.57354,1229877048.57354,1231411884.1215,,A5GFGYAU.A500001N,,0.0,128.0,128.0,1.0,MONTH
PREDICT,DOLLAR12.2,,Predicted Sales,8.0,PREDICT,A5GFGYAU.A2000006,N,,SASHELP.MDCLASS.NCOLUMN,1229877050.1154,1229877050.1154,1231411891.16244,,A5GFGYAU.A500001O,,0.0,128.0,128.0,1.0,PREDICT
ACTUAL,DOLLAR12.2,,Actual Sales,8.0,ACTUAL,A5GFGYAU.A2000006,N,,SASHELP.MDCLASS.NCOLUMN,1229877051.65727,1229877051.65727,1231411893.64068,,A5GFGYAU.A500001P,,0.0,128.0,128.0,1.0,ACTUAL
DATE,MONYY5.,MONYY.,Date,8.0,DATE,A5GFGYAU.A2000006,N,,SASHELP.MDCLASS.NCOLUMN,1229941585.44125,1229941586.56801,1231411895.42397,,A5GFGYAU.A500001Q,,0.0,128.0,128.0,1.0,DATE
DIFF,DOLLAR8.,DOLLAR8.,Sales Lag,8.0,DIFF,A5GFGYAU.A2000006,N,,SASHELP.MDCLASS.NCOLUMN,1229941868.98436,1229941869.2498,1231411796.38095,,A5GFGYAU.A500001R,Sales Lag,0.0,128.0,128.0,1.0,DIFF
SALESRAT,,,Sales Ratio,8.0,SALESRAT,A5GFGYAU.A2000006,N,,SASHELP.MDCLASS.NCOLUMN,1229941919.55643,1229941919.82494,1231411831.15218,,A5GFGYAU.A500001S,Sales Ratio,0.0,128.0,128.0,1.0,SALESRAT
COUNTRY,$CHAR10.,,Country,10.0,COUNTRY,A5GFGYAU.A2000007,C,,SASHELP.MDCLASS.CCOLUMN,1231412718.5567,1231412718.5567,1231415425.43923,,A5GFGYAU.A500001T,,0.0,128.0,128.0,1.0,COUNTRY
STATE,$CHAR22.,,State/Province,22.0,STATE,A5GFGYAU.A2000007,C,,SASHELP.MDCLASS.CCOLUMN,1231412720.18823,1231412720.18823,1231415428.01533,,A5GFGYAU.A500001U,,0.0,128.0,128.0,1.0,STATE
COUNTY,$CHAR20.,,County,20.0,COUNTY,A5GFGYAU.A2000007,C,,SASHELP.MDCLASS.CCOLUMN,1231412722.15892,1231412722.15892,1231415430.31988,,A5GFGYAU.A500001V,,0.0,128.0,128.0,1.0,COUNTY
PRODTYPE,$CHAR10.,,Product Type,10.0,PRODTYPE,A5GFGYAU.A2000007,C,,SASHELP.MDCLASS.CCOLUMN,1231412724.12177,1231412724.12177,1231415432.64983,,A5GFGYAU.A500001W,,0.0,128.0,128.0,1.0,PRODTYPE
PRODUCT,$CHAR10.,,Product,10.0,PRODUCT,A5GFGYAU.A2000007,C,,SASHELP.MDCLASS.CCOLUMN,1231412726.79293,1231412726.79293,1231415434.98962,,A5GFGYAU.A500001X,,0.0,128.0,128.0,1.0,PRODUCT
YEAR,,,Year,200.0,YEAR,A5GFGYAU.A2000007,C,,SASHELP.MDCLASS.CCOLUMN,1231412728.94612,1231412728.94612,1231415437.38663,,A5GFGYAU.A500001Y,,0.0,128.0,128.0,1.0,YEAR
QUARTER,,,Quarter,200.0,QUARTER,A5GFGYAU.A2000007,C,,SASHELP.MDCLASS.CCOLUMN,1231412731.85798,1231412731.85798,1231415439.80206,,A5GFGYAU.A500001Z,,0.0,128.0,128.0,1.0,QUARTER
MONTH,,,Month,200.0,MONTH,A5GFGYAU.A2000007,C,,SASHELP.MDCLASS.CCOLUMN,1231412733.23867,1231412733.23867,1231415442.10401,,A5GFGYAU.A5000020,,0.0,128.0,128.0,1.0,MONTH
DATE,,,Date,200.0,DATE,A5GFGYAU.A2000007,C,,SASHELP.MDCLASS.CCOLUMN,1231412735.01619,1231414388.46858,1231415444.82958,,A5GFGYAU.A5000021,,0.0,128.0,128.0,1.0,DATE
