Dose,Rat,Sample,Length
0.0,1.0,1.0,15.352697095
0.0,1.0,1.0,16.182572614
0.0,1.0,1.0,14.937759336
0.0,1.0,1.0,12.44813278
0.0,1.0,1.0,12.863070539
0.0,1.0,1.0,47.302904564
0.0,1.0,1.0,36.929460581
0.0,1.0,1.0,24.066390041
0.0,1.0,1.0,17.842323651
0.0,1.0,1.0,17.842323651
0.0,1.0,1.0,16.597510373
0.0,1.0,1.0,47.717842324
0.0,1.0,1.0,17.842323651
0.0,1.0,1.0,17.842323651
0.0,1.0,1.0,17.012448133
0.0,1.0,1.0,13.692946058
0.0,1.0,1.0,46.473029046
0.0,1.0,1.0,16.182572614
0.0,1.0,1.0,17.012448133
0.0,1.0,1.0,15.767634855
0.0,1.0,1.0,17.012448133
0.0,1.0,1.0,15.767634855
0.0,1.0,1.0,13.692946058
0.0,1.0,1.0,13.692946058
0.0,1.0,1.0,18.257261411
0.0,1.0,1.0,16.182572614
0.0,1.0,1.0,17.427385892
0.0,1.0,1.0,17.427385892
0.0,1.0,1.0,16.182572614
0.0,1.0,1.0,14.937759336
0.0,1.0,1.0,13.692946058
0.0,1.0,1.0,17.842323651
0.0,1.0,1.0,15.767634855
0.0,1.0,1.0,14.937759336
0.0,1.0,1.0,53.526970954
0.0,1.0,1.0,19.502074689
0.0,1.0,1.0,17.012448133
0.0,1.0,1.0,17.427385892
0.0,1.0,1.0,18.257261411
0.0,1.0,1.0,20.331950207
0.0,1.0,1.0,15.352697095
0.0,1.0,1.0,14.107883817
0.0,1.0,1.0,14.522821577
0.0,1.0,1.0,19.087136929
0.0,1.0,1.0,19.502074689
0.0,1.0,1.0,20.331950207
0.0,1.0,1.0,17.012448133
0.0,1.0,1.0,54.771784232
0.0,1.0,1.0,27.800829876
0.0,1.0,1.0,62.65560166
0.0,1.0,2.0,20.746887967
0.0,1.0,2.0,20.331950207
0.0,1.0,2.0,27.385892116
0.0,1.0,2.0,17.012448133
0.0,1.0,2.0,19.087136929
0.0,1.0,2.0,24.89626556
0.0,1.0,2.0,55.186721992
0.0,1.0,2.0,22.821576763
0.0,1.0,2.0,20.331950207
0.0,1.0,2.0,16.182572614
0.0,1.0,2.0,21.161825726
0.0,1.0,2.0,21.161825726
0.0,1.0,2.0,20.331950207
0.0,1.0,2.0,20.746887967
0.0,1.0,2.0,22.821576763
0.0,1.0,2.0,25.31120332
0.0,1.0,2.0,19.502074689
0.0,1.0,2.0,24.481327801
0.0,1.0,2.0,23.651452282
0.0,1.0,2.0,53.941908714
0.0,1.0,2.0,21.161825726
0.0,1.0,2.0,19.087136929
0.0,1.0,2.0,21.161825726
0.0,1.0,2.0,17.012448133
0.0,1.0,2.0,17.842323651
0.0,1.0,2.0,18.67219917
0.0,1.0,2.0,17.842323651
0.0,1.0,2.0,17.842323651
0.0,1.0,2.0,13.692946058
0.0,1.0,2.0,21.576763485
0.0,1.0,2.0,16.182572614
0.0,1.0,2.0,14.937759336
0.0,1.0,2.0,21.161825726
0.0,1.0,2.0,29.875518672
0.0,1.0,2.0,22.406639004
0.0,1.0,2.0,24.066390041
0.0,1.0,2.0,14.937759336
0.0,1.0,2.0,17.842323651
0.0,1.0,2.0,21.991701245
0.0,1.0,2.0,16.597510373
0.0,1.0,2.0,18.257261411
0.0,1.0,2.0,16.182572614
0.0,1.0,2.0,13.692946058
0.0,1.0,2.0,19.087136929
0.0,1.0,2.0,15.767634855
0.0,1.0,2.0,14.522821577
0.0,1.0,2.0,21.991701245
0.0,1.0,2.0,12.44813278
0.0,1.0,2.0,16.597510373
0.0,1.0,2.0,50.20746888
0.0,1.0,3.0,16.597510373
0.0,1.0,3.0,14.522821577
0.0,1.0,3.0,14.937759336
0.0,1.0,3.0,18.67219917
0.0,1.0,3.0,15.352697095
0.0,1.0,3.0,17.842323651
0.0,1.0,3.0,17.427385892
0.0,1.0,3.0,20.331950207
0.0,1.0,3.0,18.257261411
0.0,1.0,3.0,16.597510373
0.0,1.0,3.0,18.67219917
0.0,1.0,3.0,17.842323651
0.0,1.0,3.0,19.087136929
0.0,1.0,3.0,16.597510373
0.0,1.0,3.0,16.597510373
0.0,1.0,3.0,19.502074689
0.0,1.0,3.0,19.087136929
0.0,1.0,3.0,17.842323651
0.0,1.0,3.0,17.012448133
0.0,1.0,3.0,22.406639004
0.0,1.0,3.0,15.767634855
0.0,1.0,3.0,19.087136929
0.0,1.0,3.0,17.012448133
0.0,1.0,3.0,46.058091286
0.0,1.0,3.0,21.991701245
0.0,1.0,3.0,20.746887967
0.0,1.0,3.0,18.67219917
0.0,1.0,3.0,21.991701245
0.0,1.0,3.0,23.651452282
0.0,1.0,3.0,27.800829876
0.0,1.0,3.0,17.842323651
0.0,1.0,3.0,16.597510373
0.0,1.0,3.0,17.427385892
0.0,1.0,3.0,12.44813278
0.0,1.0,3.0,17.012448133
0.0,1.0,3.0,17.842323651
0.0,1.0,3.0,16.182572614
0.0,1.0,3.0,14.937759336
0.0,1.0,3.0,19.087136929
0.0,1.0,3.0,14.107883817
0.0,1.0,3.0,18.257261411
0.0,1.0,3.0,16.597510373
0.0,1.0,3.0,20.331950207
0.0,1.0,3.0,18.257261411
0.0,1.0,3.0,17.427385892
0.0,1.0,3.0,17.842323651
0.0,1.0,3.0,21.161825726
0.0,1.0,3.0,14.522821577
0.0,1.0,3.0,17.012448133
0.0,1.0,3.0,15.352697095
0.0,2.0,4.0,48.547717842
0.0,2.0,4.0,24.89626556
0.0,2.0,4.0,26.556016598
0.0,2.0,4.0,19.087136929
0.0,2.0,4.0,21.161825726
0.0,2.0,4.0,24.066390041
0.0,2.0,4.0,18.67219917
0.0,2.0,4.0,13.278008299
0.0,2.0,4.0,25.31120332
0.0,2.0,4.0,12.44813278
0.0,2.0,4.0,24.481327801
0.0,2.0,4.0,18.67219917
0.0,2.0,4.0,23.651452282
0.0,2.0,4.0,19.917012448
0.0,2.0,4.0,47.302904564
0.0,2.0,4.0,20.331950207
0.0,2.0,4.0,22.821576763
0.0,2.0,4.0,39.419087137
0.0,2.0,4.0,23.651452282
0.0,2.0,4.0,22.821576763
0.0,2.0,4.0,15.767634855
0.0,2.0,4.0,15.352697095
0.0,2.0,4.0,27.385892116
0.0,2.0,4.0,31.12033195
0.0,2.0,4.0,12.44813278
0.0,2.0,4.0,23.651452282
0.0,2.0,4.0,15.352697095
0.0,2.0,4.0,19.917012448
0.0,2.0,4.0,17.842323651
0.0,2.0,4.0,21.161825726
0.0,2.0,4.0,17.427385892
0.0,2.0,4.0,19.502074689
0.0,2.0,4.0,21.161825726
0.0,2.0,4.0,20.331950207
0.0,2.0,4.0,34.854771784
0.0,2.0,4.0,34.024896266
