locale,key,lineno,text
en,ABSCOEFF_VLABEL,1.0,Absolute Coefficient
en,ABSTVALUE_VLABEL,1.0,Absolute T-value
en,ACCEPTEVENTCOUNT_VLABEL,1.0,Accepts Event Count
en,ACCEPTEVENTRATE_VLABEL,1.0,Accepts Event Rate
en,ACCEPTNEVENTCOUNT_VLABEL,1.0,Accepts Non-Event Count
en,ACCEPTTOTAL_VLABEL,1.0,Accepts Total
en,ACTUALINFERRED_VLABEL,1.0,Accepts / Inferred
en,ADAVGMARGPROFIT_VLABEL,1.0,Adjusted Average Marginal Profit
en,ADAVGTOTALPROFIT_VLABEL,1.0,Adjusted Average Total Profit
en,ADCOUNT_VLABEL,1.0,Adjusted Count
en,ADCUMAPPROVALRATE_VLABEL,1.0,Adjusted Cumulative Approval Rate
en,ADCUMCOUNT,1.0,Adjusted Cumulative Count
en,ADCUMEVENTRATE_VLABEL,1.0,Adjusted Cumulative Event Rate
en,ADCUMNEVENTCOUNT_VLABEL,1.0,Adjusted Cumulative Non-Event Count
en,ADCUMNEVENTRATE_VLABEL,1.0,Adjusted Cumulative Non-Event Rate
en,ADEMPIRICALODDS_VLABEL,1.0,Adjusted Empirical Odds
en,ADEVENTODDS_VLABEL,1.0,Adjusted Event Odds
en,ADJCUMINDETRATE_VLABEL,1.0,Adjusted Cumulative Indeterminate Rate
en,ADJMARGINDETRATE_VLABEL,1.0,Adjusted Marginal Indeterminate Rate
en,ADLOGEVENTODDS_VLABEL,1.0,Adjusted Log(Event Odds)
en,ADMAREVENTRATE_VLABEL,1.0,Adjusted Marginal Event Rate
en,ADMARNEVENTRATE_VLABEL,1.0,Adjusted Marginal Non-Event Rate
en,ADNEVENTCOUNT_VLABEL,1.0,Adjusted Non-Event Count
en,ADPOPPERCENTAGE_VLABEL,1.0,Adjusted Population Percentage
en,ADPROPPOP_VLABEL,1.0,Adjusted Proportion of Population
en,ADPROPTOTEVENTCOUNT_VLABEL,1.0,Adjusted Proportion of Total Event Count
en,ADVERSECOUNT_VLABEL,1.0,Adverse Reason %s Count
en,ADVERSE_RULE_VLABEL,1.0,Adverse Rule %s
en,ADVERSE_VALUE_VLABEL,1.0,Adverse Difference %s
en,ADVERSE_VLABEL,1.0,Adverse Variable %s
en,APPLYMAXBINTOTAL_VLABEL,1.0,Apply Maximum Total Count
en,APPLYMAXBINWIDTH_VLABEL,1.0,Apply Maximum Cutoff Difference
en,APPLYMAXNUMBINS_VLABEL,1.0,Apply Maximum Groups
en,APPLYMINBINDIFF_VLABEL,1.0,Apply Minimum WOE Difference
en,APPLYMINBINTOTAL_VLABEL,1.0,Apply Minimum Total Count
en,APPLYMINBINWIDTH_VLABEL,1.0,Apply Minimum Cutoff Difference
en,APPLYMINNUMBINS_VLABEL,1.0,Apply Minimum Groups
en,APPLYMINNUMEVENT_VLABEL,1.0,Apply Minimum Event Count
en,APPLYMINNUMNONEVENT_VLABEL,1.0,Apply Minimum Non-Event Count
en,APPLYMONOTONICITY_VLABEL,1.0,Apply WOE Monotonicity
en,ARATIO_VLABEL,1.0,Accuracy Ratio
en,ATTEVENTRATE_TITLE,1.0,Attribute Event Rate and Average Score
en,ATTPROPBYSCORE_TITLE,1.0,Attribute Proportion by Score
en,AUGEVENTRATE_VLABEL,1.0,Augmented Data Event Rate
en,AVGMARGPROFIT_VLABEL,1.0,Average Marginal Profit
en,AVGSCPTS_VLABEL,1.0,Average Scorecard Points
en,AVGTOTALPROFIT_VLABEL,1.0,Average Total Profit
en,BASELINE_VLABEL,1.0,Baseline
en,BUCKET_VLABEL,1.0,Bucket
en,CALCROLE_VLABEL,1.0,Calculated Role
en,CALCWOE_VLABEL,1.0,Calculated WOE
en,CCFVAR_VLABEL,1.0,CCF Variable
en,CHARANALYSIS_TITLE,1.0,Characteristic Analysis: %s
en,CODESWRONGTYPE_ERROR,1.0,Error:  Variables expected in the Codes Dataset are not of the correct type or do not exist.
en,COEFF_VLABEL,1.0,Coefficient
en,COUNT_VLABEL,1.0,Count
en,CUMAPPROVALRATE_VLABEL,1.0,Cumulative Approval Rate
en,CUMCOUNT_VLABEL,1.0,Cumulative Count
en,CUMEVENTCOUNT_VLABEL,1.0,Cumulative Event Count
en,CUMEVENTRATE_TITLE,1.0,Cumulative Event Rate by Score
en,CUMEVENTRATE_VLABEL,1.0,Cumulative Event Rate
en,CUMINDETCOUNT_VLABEL,1.0,Cumulative Indeterminate Count
en,CUMINDETRATE_VLABEL,1.0,Cumulative Indeterminate Rate
en,CUMNEVENTCOUNT_VLABEL,1.0,Cumulative Non-Event Count
en,CUMNEVENTRATE_VLABEL,1.0,Cumulative Non-Event Rate
en,CUTOFFOUTOFRANGE_ERROR,1.0,"Error:  The user-specified cutoff value must be in the range of the target values, [%#1s,%#2s)."
en,CUTOFFSCORE_VLABEL,1.0,Cutoff Score
en,DATAROLE_VLABEL,1.0,Data Role
en,DISPVAR_VLABEL,1.0,Variable
en,DISPWOE_VLABEL,1.0,New WOE
en,EFFECTNUM_VLABEL,1.0,Effect Number
en,EFFECT_VLABEL,1.0,Effect
en,EFFLABEL_VLABEL,1.0,Effect Label
en,EMCCF_VLABEL,1.0,Average CCF
en,EMEXPOSURE_VLABEL,1.0,Average Exposure
en,EMLGD_VLABEL,1.0,Average LGD
en,EMPD_VLABEL,1.0,Average Predicted Probability
en,EMPIRICALODDS_VLABEL,1.0,Empirical Odds
en,ERATE_VLABEL,1.0,Event Rate
en,EVENTCOUNT_VLABEL,1.0,Event Count
en,EVENTODDS_VLABEL,1.0,Event Odds
en,EVENTRATETARGET_VLABEL,1.0,Event Rate %#1s = %#2s
en,EVENTRATE_VLABEL,1.0,Event Rate
en,EXPORTROLE_VLABEL,1.0,Exported Role
en,EXPOSUREVAR_VLABEL,1.0,Exposure Variable
en,FORMAT_VLABEL,1.0,Format
en,FREQ_VLABEL,1.0,Frequency
en,GENERATEBINS_NOTE,1.0,Generating Bins for interval variables
en,GENERATEFROZENBINS_NOTE,1.0,Generating Bins for interval variables defined in frozen grouping definitions
en,GENERATEIMPORTBINS_NOTE,1.0,Generating Bins for interval variables defined in imported grouping definitions
en,GINIORDER_VLABEL,1.0,Gini Ordering
en,GINI_VLABEL,1.0,Gini Statistic
en,GNRESPRATE_VLABEL,1.0,Group Non-Event Rate
en,GRESPRATE_VLABEL,1.0,Group Event Rate
en,GROUP_VLABEL,1.0,Group
en,GRPVAR_VLABEL,1.0,Group Variable
en,GRP_VLABEL,1.0,Group
en,GVALUES_VLABEL,1.0,Group Values
en,HEADER_BUCKETLOG_TITLE,1.0,Interactive Score Ranges Log
en,HEADER_BUCKETOUT_TITLE,1.0,Interactive Score Ranges Output
en,HEADER_SCORECARDLOG_TITLE,1.0,Interactive Scorecard Points Log
en,HEADER_SCORECARDOUT_TITLE,1.0,Interactive Scorecard Points Output
en,HIGHPREDPROB_VLABEL,1.0,High Predicted Probability Threshold
en,HIGHRANGE_VLABEL,1.0,High Range
en,HIGHTHRESHOLD_VLABEL,1.0,High Score Threshold
en,INDETCOUNT_VLABEL,1.0,Indeterminate Count
