Term,Role
-li,Conj
a,Conj
aby,Conj
ach,Conj
ach,Interj
achich,Interj
administrativně,Interj
aerobic,Conj
ahoj,Interj
ajaj,Interj
akademicko,Interj
ale,Conj
aleluja,Conj
aleluja,Interj
alespoň,Interj
alpsky,Interj
americko,Interj
anebo,Conj
anesteziologicko,Conj
ani,Conj
aniž,Conj
ano,Conj
antibioticky,Conj
asociálně,Interj
avšak,Conj
aČ,Conj
ačkoli,Conj
ačkoliv,Conj
aŤ,Conj
aŤsi,Conj
aŤsi,Interj
ať,Conj
aťsi,Conj
aŽ,Conj
až,Interj
ba,Conj
bacha,Interj
belgicky,Interj
bez,Prep
bezchybně,Prep
bezeslova,Prep
bis,Prep
blond,Prep
blízko,Prep
bohudíky,Interj
brzičko,Interj
buch,Interj
budiž,Interj
buĎ,Conj
buď,Conj
buďto,Conj
by,Conj
byŤ,Conj
byť,Conj
bác,Conj
bác,Interj
být,Verb
během,Prep
bŮhvÍ,Interj
bŮhvÍco,Pron
bŮhvÍkdo,Pron
bŮhvÍČÍ,Pron
bůhvíco,Interj
bůhvíco,Pron
bůhvíjaký,Pron
bůhvíkdo,Pron
bůhvíproč,Pron
bůhvíčí,Pron
café,Conj
checker,Interj
chronologicky,Interj
chŇap,Interj
co,Pron
cokoliv,Pron
cosi,Pron
coŽ,Pron
což,Interj
což,Pron
deset,Num
desetibodový,Num
devadesát,Num
devadesátiletý,Num
devatenÁctset,Num
devatenáct,Num
devatenáctiletý,Num
devatenáctset,Num
devatenáctý,Num
devĚtatŘicet,Num
devĚtaČtyŘicet,Num
devĚtset,Num
devět,Num
devětadevadesát,Num
devětadevadesátka,Num
devětadvacet,Num
devětadvacetidenní,Num
devětaosmdesát,Num
devětaosmdesátý,Num
devětapadesát,Num
devětapadesátý,Num
devětasedmdesát,Num
devětasedmdesátý,Num
devětatřicet,Num
devětatřicátý,Num
devětačtyřicet,Num
devětačtyřicetiletý,Num
devětašedesát,Num
devětašedesátiletý,Num
devětset,Num
devětsil,Num
dilematicky,Prep
dle,Prep
dneska,Prep
do,Prep
dokonce,Conj
dokořán,Conj
dokud,Conj
dokulata,Conj
doprostŘed,Prep
doprostřed,Prep
doprostředka,Prep
dovnitŘ,Prep
dovnitř,Prep
dočista,Prep
dva,Num
dvaadevadesát,Num
dvaadevadesátý,Num
dvaadvacet,Num
dvaadvacetiletý,Num
dvaaosmdesát,Num
dvaaosmdesátý,Num
dvaapadesát,Num
dvaapadesátý,Num
dvaasedmdesát,Num
dvaasedmdesátý,Num
dvaatŘicet,Num
dvaatřicet,Num
dvaatřicátý,Num
dvaaČtyŘicet,Num
dvaačtyřicet,Num
dvaačtyřicátý,Num
dvaašedesát,Num
dvaašedesátiletý,Num
dvacet,Num
dvacetibodový,Num
dvanÁctset,Num
dvanáct,Num
dvanácterník,Num
dvanáctset,Num
dvanáctý,Num
dvĚstĚ,Num
dvěstě,Num
dvěstěkorunový,Num
díky,Prep
filmově,Interj
fuj,Interj
fundamentalisticky,Interj
halabala,Interj
harakiri,Interj
hej,Interj
hele,Interj
hepčí,Interj
herdek,Interj
herecky,Interj
hermeticky,Interj
hmotnostně,Interj
hop,Interj
hop,Pron
horem,Interj
hrdinsky,Interj
hromově,Interj
humoristicky,Interj
hurá,Interj
hybně,Interj
i,Conj
investičně,Interj
jak,Conj
jakbysmet,Pron
jakkoli,Conj
jakmile,Conj
jako,Conj
jakoby,Conj
jakous,Pron
jaképak,Pron
jakés,Pron
jaký,Pron
jakýkoli,Pron
jakýkoliv,Pron
jakýsi,Pron
jakýž,Conj
jakýž,Pron
jakživ,Pron
jau,Interj
jau,Pron
jeden,Num
jedenadevadesát,Num
jedenadvacet,Num
jedenadvacátý,Num
jedenaosmdesát,Num
jedenapadesát,Num
jedenasedmdesát,Num
jedenatŘicet,Num
jedenatřicet,Num
jedenaČtyŘicet,Num
jedenačtyřicet,Num
jedenašedesát,Num
jedenÁctset,Num
jedenáct,Num
jedenáctidílný,Num
jedenáctset,Num
jedenáctý,Num
jedna,Num
jednací,Num
jednadevadesát,Num
jednadevadesátý,Num
jednadvacet,Num
jednadvacetiletý,Num
jednak,Conj
jednaosmdesát,Num
jednaosmdesátiletý,Num
jednaosmdesátkrát,Conj
jednapadesát,Num
jednapadesátý,Num
jednasedmdesát,Num
jednasedmdesátý,Num
jednatŘicet,Num
jednatřicet,Num
jednatřicátý,Num
jednaČtyŘicet,Num
jednačtyřicet,Num
jednačtyřicátý,Num
jednašedesát,Num
jednašedesátiletý,Num
jeho,Pron
jejej,Interj
jejich,Interj
jejich,Pron
její,Pron
jelikož,Conj
jelikož,Pron
jemináčku,Conj
jemináčku,Interj
jen,Pron
jenom,Conj
jenomže,Conj
jenž,Conj
jenž,Pron
jenže,Conj
jenže,Pron
jestli,Conj
jestliže,Conj
jestliže,Pron
jevištně,Conj
ještěže,Conj
ježto,Conj
ježto,Pron
jinam,Pron
jistěže,Pron
já,Pron
jé,Interj
jé,Pron
jéminkote,Interj
k,Prep
kdeco,Conj
kdeco,Pron
kdejaký,Pron
kdečí,Pron
kdežto,Conj
kdo,Interj
kdo,Pron
kdokoli,Pron
kdokoliv,Pron
kdosi,Pron
kdovíco,Pron
kdy,Conj
kdyby,Conj
kdybych,Conj
kdybychom,Conj
kdybys,Conj
kdybyste,Conj
kdykoli,Conj
kdykoliv,Conj
když,Conj
když,Interj
keramicky,Prep
klap,Interj
klap,Prep
klaustrofobicky,Interj
kokodák,Interj
kokodák,Pron
kolem,Interj
kolem,Prep
kolik,Prep
komplet,Pron
komunisticky,Pron
koneckonců,Pron
krom,Prep
kromě,Prep
kterak,Pron
kterÝ,Pron
který,Pron
kterýkoliv,Pron
kterýžto,Pron
kudy,Pron
kuku,Interj
kuku,Prep
kupodivu,Interj
kvŮli,Prep
kvůli,Interj
kvůli,Prep
kyberneticky,Prep
laboratorně,Pron
leckdo,Pron
leckdos,Pron
leda,Conj
leda,Pron
ledabyle,Conj
ledaco,Conj
ledaco,Pron
ledacos,Pron
ledajaký,Pron
ledakdo,Pron
ledačí,Pron
ledaže,Conj
ledaže,Pron
legislativně,Conj
leč,Conj
limitně,Conj
léčebně,Pron
manuálně,Pron
mentálně,Pron
mezi,Prep
meziměsíčně,Prep
mikrobiálně,Pron
miliarda,Num
miliardový,Num
milion,Num
milionový,Num
mimo,Prep
mimosoudně,Prep
minerálně,Pron
mistrovsky,Prep
mnichovsky,Pron
mnohanásobně,Pron
mocensky,Interj
molekulárně,Pron
možně,Pron
musit,Verb
my,Pron
myšlenkově,Pron
máloco,Pron
málokde,Pron
málokdo,Pron
málokdy,Pron
málokterý,Pron
místo,Prep
mŇau,Interj
mŮj,Pron
můj,Pron
na,Interj
na,Prep
nad,Prep
nadevšechno,Prep
nadnárodně,Prep
namodrale,Interj
namístě,Pron
naneštěstí,Prep
naproti,Prep
napůl,Prep
nasnadě,Pron
navzdory,Prep
nazad,Prep
naze,Interj
naštěstí,Pron
naživu,Pron
ne,Conj
nebo,Conj
neboŤ,Conj
neboť,Conj
nebývale,Conj
nedaleko,Prep
nedávno,Prep
nejen,Conj
nejenže,Conj
nejméně,Conj
nešpatně,Conj
než,Conj
nic,Conj
nic,Noun
nic,Pron
nicméně,Conj
nicméně,Pron
nikam,Pron
nikdo,Noun
nikdo,Pron
nitkově,Pron
ničí,Pron
náš,Pron
nýbrž,Conj
něco,Noun
něco,Pron
nějaký,Pron
někdo,Noun
někdo,Pron
několikaminutově,Pron
některý,Prep
něčí,Pron
o,Interj
o,Prep
ob,Prep
obohaceně,Prep
od,Prep
odevzdaně,Prep
