CONT,ID,ISO,NAME,ISONAME,region,pop,popAGR,popUrban,totalFR,AdolescentFPpct,AdolescentFPyear,AdultLiteracypct,MaleSchoolpct,FemaleSchoolpct,GNI,PopPovertypct,PopPovertyYear
91.0,180.0,44.0,BAHAMAS,BAHAMAS,AMR,323063.0,0.013369958554,0.9,2.3,,,,0.85,0.88,16140.0,,
91.0,227.0,84.0,BELIZE,BELIZE,AMR,269736.0,0.02135438414,0.486,3.1,0.125,1998.0,0.769,0.98,1.0,6510.0,,
91.0,260.0,124.0,CANADA,CANADA,AMR,32268243.0,0.0087137425128,0.811,1.5,0.065,1997.0,,1.0,1.0,30660.0,,
91.0,295.0,188.0,COSTA RICA,COSTA RICA,AMR,4327228.0,0.020412388224,0.617,2.2,0.174,1999.0,0.958,0.9,0.91,9530.0,0.02,2000.0
91.0,300.0,192.0,CUBA,CUBA,AMR,11269400.0,0.0034270319283,0.76,1.6,0.16,2000.0,0.998,0.96,0.95,,,
91.0,320.0,214.0,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,AMR,8894907.0,0.013436630772,0.601,2.7,0.102,1999.0,0.877,0.99,0.94,6750.0,,1998.0
91.0,330.0,222.0,EL SALVADOR,EL SALVADOR,AMR,6880951.0,0.017800614745,0.601,2.8,,,0.797,0.9,0.9,4980.0,0.311,2000.0
91.0,415.0,320.0,GUATEMALA,GUATEMALA,AMR,12599059.0,0.021176968439,0.472,4.5,0.121,1997.0,0.691,0.89,0.86,4140.0,0.16,2000.0
91.0,420.0,332.0,HAITI,HAITI,AMR,8527777.0,0.012959128698,0.388,3.9,0.085,1998.0,0.519,,,1680.0,,
91.0,430.0,340.0,HONDURAS,HONDURAS,AMR,7204723.0,0.022814101346,0.464,3.6,,,0.8,0.87,0.88,2710.0,0.207,1999.0
91.0,487.0,388.0,JAMAICA,JAMAICA,AMR,2650713.0,0.0060713393653,0.522,2.4,,,0.876,0.94,0.95,3630.0,,2000.0
