product,objtype,subtype,pos,action,desc,where
,foldptr,,2.0,_open_,Open,1.0
,foldptr,,4.0,_explore_,Explore,1.0
,folder,,20.0,_rename_,Rename,1.0
,folder,,30.0,_copy_,Copy,1.0
,adoappl,,10.0,_run_,Run,1.0
,sascmd,,10.0,_run_,Run,1.0
,hcmd,,10.0,_run_,Run,1.0
,file,,10.0,_edit_,Open,3.0
,file,,20.0,_import_,Import,1.0
,file,,30.0,_print_,Print,3.0
,file,,90.0,_redefine_,Redefine,1.0
,file,,100.0,_remove_,Deassign,1.0
,file,,110.0,_properties_,Properties,1.0
,file,sas,15.0,,SASView,2.0
,file,sas,18.0,,Batch Submit,2.0
,file,sas,25.0,_submit_,Submit,3.0
,file,ss2,25.0,_submit_,Submit,3.0
,fileptr,,10.0,_edit_,Open,1.0
,fileptr,,20.0,_import_,Import,1.0
,fileptr,,30.0,_print_,Print,3.0
,fileptr,sas,15.0,,SASView,2.0
,fileptr,sas,18.0,,Batch Submit,2.0
,fileptr,sas,25.0,_submit_,Submit,3.0
,unknown_,,100.0,_remove_,Delete,1.0
,unknown_,,10.0,_properties_,Properties,1.0
,dir,,100.0,_remove_,Delete,1.0
,dir,,10.0,_properties_,Properties,1.0
,data,,10.0,_edit_,Open,3.0
,data,,12.0,,SASView,2.0
,data,,15.0,_browse_,Browse,3.0
,data,,18.0,_query_,Query,3.0
,data,,20.0,_report_,Report,1.0
,data,,40.0,_contents_,Contents,1.0
,data,,50.0,_print_,Print,1.0
,data,,100.0,_remove_,Delete,1.0
,data,,110.0,_properties_,Properties,1.0
,mddb,,20.0,_view_,Open,3.0
,mddb,,40.0,_contents_,Contents,1.0
,mddb,,100.0,_remove_,Delete,1.0
,mddb,,120.0,_properties_,Properties,1.0
,mddbptr,,20.0,_view_,Open,1.0
,mddbptr,,40.0,_contents_,Contents,1.0
FINANCE,fdb,,40.0,_contents_,Open,3.0
,fdb,,100.0,_remove_,Delete,1.0
,fdb,,120.0,_properties_,Properties,1.0
DATA MINING,dmdb,,40.0,_contents_,Open,3.0
,dmdb,,100.0,_remove_,Delete,1.0
,dmdb,,120.0,_properties_,Properties,1.0
,program,,40.0,_view_,Open,3.0
