product,objtype,subtype,contrcls,modelcls,attframe,wizard,prop_sht,crtframe,feeder,icon,openicon,color,font,dragrep,droprep,descrip
,foldptr,,sashelp.sasdesk.fldctrl,sashelp.sasdesk.folder,,,sashelp.sasdesk.prpfldr.scl,,foldfd,foldcls,foldopen,foreground,Helvetica-*-Roman-Normal,,EXPLORER_DATASET_NAME EXPLORER_CATALOG_NAME EXPLORER_MEMBER_NAME EXPLORER_ENTRY_NAME,Folder Pointer
,adoappl,,sashelp.sasdesk.fldctrl,sashelp.sasdesk.astappl,,,sashelp.sasdesk.prpappl.scl,,,deskappl,deskappl,foreground,Helvetica-*-Roman-Normal,,,Desktop Application
,sascmd,,sashelp.sasdesk.fldctrl,sashelp.sasdesk.command,,,sashelp.sasdesk.prpcmd.scl,,,sascmd,sascmd,foreground,Helvetica-*-Roman-Normal,,EXPLORER_DATASET_NAME EXPLORER_CATALOG_NAME EXPLORER_MEMBER_NAME EXPLORER_ENTRY_NAME,SAS Command
,hcmd,,sashelp.sasdesk.fldctrl,sashelp.sasdesk.hcommand,,,sashelp.sasdesk.prphcmd.scl,,,cmdunix,cmdunix,foreground,Helvetica-*-Roman-Normal,,EXPLORER_DATASET_NAME EXPLORER_CATALOG_NAME EXPLORER_MEMBER_NAME EXPLORER_ENTRY_NAME,External Command
,fileptr,,sashelp.sasdesk.fldctrl,sashelp.sasdesk.hfile,,,sashelp.sasdesk.prphfil.scl,,,fileunix,fileunix,foreground,Helvetica-*-Roman-Normal,_DND_FILE,,External File Pointer
,dsptr,,sashelp.sasdesk.fldctrl,sashelp.sasdesk.data,,,sashelp.sasdesk.prptbl.scl,,,tablept,tablept,foreground,Helvetica-*-Roman-Normal,_DND_DATASET,,Table Pointer
,libptr,,sashelp.sasdesk.fldctrl,sashelp.sasdesk.lib,,,sashelp.sasdesk.prplib.scl,,,library,libopend,foreground,Helvetica-*-Roman-Normal,,,Library Pointer
,catptr,,sashelp.sasdesk.fldctrl,sashelp.sasdesk.cat,,,sashelp.sasdesk.prpcat.scl,,,sascatpt,sascatpt,foreground,Helvetica-*-Roman-Normal,_DND_CATALOG,,Catalog Pointer
,cateptr,,sashelp.sasdesk.fldctrl,sashelp.sasdesk.entptr,,,sashelp.sasdesk.prpent.scl,,,catentpt,catentpt,foreground,Helvetica-*-Roman-Normal,_DND_CATALOG,,Catalog Entry Pointer
,mddbptr,,sashelp.sasdesk.fldctrl,sashelp.sasdesk.mddb,,,sashelp.sasdesk.prpmddb.scl,,,mddb,mddb,foreground,Helvetica-*-Roman-Normal,_DND_MDDB,,Multi-Dimensional Database
,logical,,,sashelp.sasdesk.logmodel,sashelp.sasdesk.attrlog,,,,logfeed,libname,libname,foreground,Helvetica-*-Roman-Normal,,,SAS Filespace
,library,,sashelp.sasdesk.libobj,sashelp.sasdesk.library,,,sashelp.sasdesk.prplibe.scl,sashelp.sasdesk.crtlibr.frame,libfeed,library,libopend,foreground,Helvetica-*-Roman-Normal,_DND_LIBRARY _FD_FOLDFD,,Library
,file,,sashelp.sasdesk.efilobj,sashelp.sasdesk.filmodel,,,sashelp.sasdesk.prphfle.scl,sashelp.sasdesk.crtefil.frame,,fileunix,fileunix,foreground,Helvetica-*-Roman-Normal,_DND_FILE _FD_FOLDFD,,External File
,file,sas,sashelp.sasdesk.efilobj,sashelp.sasdesk.filmodel,,,sashelp.sasdesk.prphfle.scl,sashelp.sasdesk.crtefil.frame,,progedit,progedit,foreground,Helvetica-*-Roman-Normal,_DND_FILE _FD_FOLDFD,,SAS Program File
,file,log,sashelp.sasdesk.efilobj,sashelp.sasdesk.filmodel,,,sashelp.sasdesk.prphfle.scl,sashelp.sasdesk.crtefil.frame,,log,log,foreground,Helvetica-*-Roman-Normal,_DND_FILE _FD_FOLDFD,,SAS Log File
,file,lst,sashelp.sasdesk.efilobj,sashelp.sasdesk.filmodel,,,sashelp.sasdesk.prphfle.scl,sashelp.sasdesk.crtefil.frame,,output,output,foreground,Helvetica-*-Roman-Normal,_DND_FILE _FD_FOLDFD,,SAS Output File
,dir,,sashelp.sasdesk.efilobj,sashelp.sasdesk.filmodel,sashelp.sasdesk.attedir,,,,,filename,active,foreground,Helvetica-*-Roman-Normal,_DND_FILE _FD_FOLDFD,,Directory
,unknown_,,sashelp.sasdesk.efilobj,sashelp.sasdesk.filmodel,sashelp.sasdesk.attedev,,,,,utility,utility,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,Unknown
,data,,sashelp.sasdesk.dataobj,sashelp.sasdesk.dsmodel,,,sashelp.sasdesk.prptble.scl,sashelp.sasdesk.crtdata.frame,,sasdatab,sasdatab,foreground,Helvetica-*-Roman-Normal,_DND_DATASET _FD_FOLDFD,,Table
,data,view,sashelp.sasdesk.dataobj,sashelp.sasdesk.dsmodel,,,sashelp.sasdesk.prptble.scl,sashelp.sasdesk.crtdata.frame,,ftdsview,ftdsview,foreground,Helvetica-*-Roman-Normal,_DND_DATASET _FD_FOLDFD,,View
,mddb,,sashelp.sasdesk.mddbobj,sashelp.sasdesk.mddbmodl,,,sashelp.sasdesk.prpmdbe.scl,,,ftmddb,ftmddb,foreground,Helvetica-*-Roman-Normal,_DND_MDDB _FD_FOLDFD,,Multi-Dimensional Database
,fdb,,sashelp.sasdesk.fdbobj,sashelp.sasdesk.fdbmodl,,,sashelp.sasdesk.prpfdbe.scl,,,ftfdb,ftfdb,foreground,Helvetica-*-Roman-Normal,_DND_FDB,,Financial Database
,dmdb,,sashelp.sasdesk.dmdbobj,sashelp.sasdesk.dmdbmodl,,,sashelp.sasdesk.prpddbe.scl,,,dmdb,dmdb,foreground,Helvetica-*-Roman-Normal,,,Data Mining Database
,program,,sashelp.sasdesk.progobj,sashelp.sasdesk.progmodl,,,sashelp.sasdesk.prpspme.scl,,,sasstpgm,sasstpgm,foreground,Helvetica-*-Roman-Normal,_DND_PROG,,Stored SAS Program
,access,,sashelp.sasdesk.accsobj,sashelp.sasdesk.accsmodl,,,sashelp.sasdesk.prpacce.scl,,,access95,access95,foreground,Helvetica-*-Roman-Normal,,,Access Descriptor
,catalog,,sashelp.sasdesk.catobj,sashelp.sasdesk.catmodel,,,sashelp.sasdesk.prpcate.scl,sashelp.sasdesk.crtcat.frame,catfeed,sascat,catopen,foreground,Helvetica-*-Roman-Normal,_DND_CATALOG _FD_FOLDFD,,Catalog
,catentry,,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,sashelp.sasdesk.crtcate.frame,,catentry,catentry,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,Catalog Entry
,catentry,cbt,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,help,help,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,CBT Entry
,catentry,class,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,classv,classv,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD _DND_CLASS,,Class Entry
,catentry,edparms,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,catentry,catentry,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,Edparms Entry
,catentry,fmsproj,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,forecas,forecas,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,Forecasting Project Entry
,catentry,form,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,printer,printer,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,Form Entry
,catentry,frame,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,frame,frame,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,Frame Entry
,catentry,help,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,help,help,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,Help Entry
,catentry,list,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,counts,counts,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,List Entry
,catentry,menu,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,catentry,catentry,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,Menu Entry
,catentry,program,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,frame,frame,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,Program Entry
,catentry,resource,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,resourc1,resourc1,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,Resource Entry
,catentry,scl,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,scl,scl,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD _DND_FILE,,SCL Entry
,catentry,log,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,log,log,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD _DND_FILE,,Log Entry
,catentry,output,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,output,output,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD _DND_FILE,,Output Entry
,catentry,pmenu,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,menubldr,menubldr,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,PMENU Entry
,catentry,source,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,notepad,notepad,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD _DND_FILE,,Source Entry
,catentry,qryprof,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,qryprof,qryprof,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD _DND_PROFILE,,Query Profile Entry
,catentry,query,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,query,query,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD _DND_QUERY,,Query Entry
,catentry,range,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,catentry,catentry,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,Range Entry
,catentry,slist,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,menu,menu,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD _DND_SLIST,,Slist Entry
,catentry,system,sashelp.sasdesk.entryobj,sashelp.sasdesk.entry,,,sashelp.sasdesk.prpente.scl,,,catentry,catentry,foreground,Helvetica-*-Roman-Normal,_FD_FOLDFD,,System Entry
