Term,Role
ab,Prep
aber,Conj
aber,Interj
abseits,Prep
abwärts,Prep
abzüglich,Prep
acht,Num
achthundert,Num
achtunddreißig,Num
achtundvierzig,Num
achtundzwanzig,Num
achtzehn,Num
achzehn,Num
achzig,Num
all,Det
all,Pron
allein,Conj
alleine,Conj
als,Conj
also,Conj
also,Interj
an,Det
an,Prep
analog,Prep
ander,Det
ander,Pron
anderenfalls,Conj
andernfalls,Conj
aneinander,Prep
anfangs,Prep
angesichts,Prep
anhand,Prep
anheim,Prep
anlässlich,Prep
anstatt,Prep
anstelle,Prep
auch,Conj
auch,Interj
auf,Det
auf,Prep
aufeinander,Prep
aufgrund,Prep
aufwärts,Prep
aus,Det
aus,Prep
auseinander,Prep
ausgangs,Prep
ausgenommen,Prep
ausgerechnet,Interj
ausschließlich,Prep
außer,Prep
außerdem,Conj
außerhalb,Prep
bau,Prep
bei,Det
bei,Prep
beicht,Prep
beid,Det
beid,Pron
beiderseits,Prep
beieinander,Prep
beisammen,Prep
besser,Prep
betreffs,Prep
bevor,Conj
bevor,Prep
beziehungsweise,Conj
binnen,Prep
bioß,Prep
bis,Conj
bis,Prep
bißchen,Pron
bloß,Interj
bzw.,Conj
da,Conj
da,Prep
dabei,Pron
dadurch,Conj
dadurch,Prep
dadurch,Pron
dafür,Prep
dafür,Pron
dagegen,Conj
dagegen,Prep
dagegen,Pron
daher,Conj
daher,Prep
dahin,Prep
dahinter,Prep
dahinter,Pron
damit,Conj
damit,Pron
danach,Pron
daneben,Prep
daneben,Pron
danieder,Prep
dank,Prep
dar,Prep
daran,Prep
daran,Pron
darauf,Pron
daraus,Pron
darein,Prep
darin,Pron
darum,Conj
darum,Prep
darum,Pron
darunter,Prep
darunter,Pron
darüber,Prep
darüber,Pron
das,Det
das,Pron
dasjenig,Det
dasjenig,Pron
dass,Conj
dasselb,Det
dasselb,Pron
davon,Prep
davon,Pron
davor,Prep
davor,Pron
dawider,Prep
dazu,Conj
dazu,Prep
dazu,Pron
dazwischen,Prep
dazwischen,Pron
daß,Conj
dein,Det
dein,Pron
deinethalben,Pron
deinetwegen,Pron
deinetwillen,Pron
deinig,Pron
demnach,Conj
denn,Conj
denn,Interj
dennoch,Conj
der,Det
der,Pron
derjenig,Det
derjenig,Pron
derselb,Det
derselb,Pron
derweil,Conj
derweilen,Conj
deshalb,Conj
desto,Conj
dich,Pron
dicke,Prep
die,Det
die,Pron
diejenig,Det
diejenig,Pron
dienst,Prep
dies,Det
dies,Pron
dieselb,Det
dieselb,Pron
