CLASNAME,OBJNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,ATTRTYPE,CVALUE,FORMAT,INFORMAT,NVALUE,ATTRCLAS,AUTOMETH,CREAMETH,DELMETH
CMRattrdct,CONTROL,1279539134.10642,1284567385.49502,,CONTROL,A0000002.A600001M,Control data set (experimental),1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.TABLE,,,
CMRattrdct,CSFDS,1279539134.34755,1284567385.65744,,CSFDS,A0000002.A600001N,Critical Success Factor data set,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.TABLE,,SASHELP.MB.CSF.SCL,SASHELP.MB.CSFDEL.SCL
CMRattrdct,EPILOG,1279539134.52169,1284567385.81087,,EPILOG,A0000002.A600001O,Table post-processing,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.TABLE,,SASHELP.MB.PROLOG.FRAME,
CMRattrdct,HIERARCH,1279539134.77414,1284567385.95287,,HIERARCH,A0000002.A600001P,Drill down hierarchies,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.TABLE,,SASHELP.MB.HIERARCH.FRAME,SASHELP.MB.CATDEL.SCL
CMRattrdct,MAPINFO,1279539134.92986,1284567386.11585,,MAPINFO,A0000002.A600001Q,Map navigation table,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.TABLE,,SASHELP.MB.MAPEDIT.FRAME,SASHELP.MB.MAPDEL.SCL
CMRattrdct,ORGDATA,1279539135.08978,1284567386.26159,,ORGDATA,A0000002.A600001R,Organization Chart Data,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.TABLE,,,
CMRattrdct,PARETO,1279539135.2426,1284567386.41506,,PARETO,A0000002.A600001S,Pareto data set,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.TABLE,,,
CMRattrdct,PROLOG,1279539135.3804,1284567386.57587,,PROLOG,A0000002.A600001T,Table pre-processing,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.TABLE,,SASHELP.MB.PROLOG.FRAME,
CMRattrdct,SUMMARY,1279539135.52211,1284567386.74169,,SUMMARY,A0000002.A600001U,Summarized data set,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.TABLE,,SASHELP.MB.SUMMARY.FRAME,
CMRattrdct,ACTUAL,1279539135.71117,1284567386.91217,,ACTUAL,A0000002.A600001V,Actual of a budget or forecast variable,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,,
CMRattrdct,ANALYSIS,1279539135.90561,1284567387.06696,,ANALYSIS,A0000002.A600001W,Analysis variable,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,SASHELP.MB.ANALYSIS.FRAME,
CMRattrdct,BUDGET,1279539136.08677,1284567387.23986,,BUDGET,A0000002.A600001X,Budget variable for variance reports,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,,
CMRattrdct,CATEGORY,1279539136.25543,1284567387.40201,,CATEGORY,A0000002.A600001Y,Category column used in a report,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.COLUMN,,,SASHELP.MB.DNUNIQUE.SCL
CMRattrdct,CLASS,1279539136.44937,1284567387.57953,,CLASS,A0000002.A600001Z,Classification variable,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.COLUMN,,,
CMRattrdct,COLOR,1279539136.68472,1284567387.73186,,COLOR,A0000002.A6000020,Display Color,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.COLUMN,,SASHELP.MB.COLOR.SCL,
CMRattrdct,CSF,1279539136.91082,1284567387.8847,,CSF,A0000002.A6000021,Critical Success Factor variable,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,SASHELP.MB.CSF.SCL,SASHELP.MB.CSFDEL.SCL
CMRattrdct,DATE,1279539137.15194,1284567388.06118,,DATE,A0000002.A6000022,SAS date value,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,,
CMRattrdct,DATETIME,1279539137.30959,1284567388.22556,,DATETIME,A0000002.A6000023,SAS datetime value,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,,
CMRattrdct,DISCRETE,1279539137.60197,1284567388.38935,,DISCRETE,A0000002.A6000024,Non-continuous numeric variable,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,,
CMRattrdct,FONT,1279539137.80569,1284567388.56487,,FONT,A0000002.A6000025,Display Font,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.COLUMN,,SASHELP.MB.FONT.FRAME,SASHELP.MB.CATDEL.SCL
CMRattrdct,FORECAST,1279539138.04843,1284567388.72768,,FORECAST,A0000002.A6000026,Variable used in forecasting,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,,
CMRattrdct,FREQUEN,1279539138.33931,1284567388.90102,,FREQUEN,A0000002.A6000027,Frequency variable  (experimental),1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,,
CMRattrdct,PROCESS,1279539138.68288,1284567389.06639,,PROCESS,A0000002.A6000028,Process variable  (experimental),1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.COLUMN,,,
CMRattrdct,RANGE,1279539138.88698,1284567389.21253,,RANGE,A0000002.A6000029,Column range entry,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.COLUMN,,SASHELP.MB.COLRANGE.FRAME,
CMRattrdct,SORT,1279539139.15793,1284567389.37599,,SORT,A0000002.A600002A,Sort order,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.COLUMN,,SASHELP.MB.SORT.FRAME,
CMRattrdct,SUBGROUP,1279539139.43572,1284567389.52255,,SUBGROUP,A0000002.A600002B,Subgroup variable  (experimental),1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.COLUMN,,,
CMRattrdct,TIME,1279539139.63992,1284567389.68566,,TIME,A0000002.A600002C,SAS time value,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,,
CMRattrdct,X,1279539139.9118,1284567389.84049,,X,A0000002.A600002D,Independent variable,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,,
CMRattrdct,Y,1279539140.47008,1284567390.00777,,Y,A0000002.A600002E,Response or dependent variable,1.0,128.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.NCOLUMN,,,
CMRattrdct,SERVER,1279539140.65245,1284567390.21681,,SERVER,A0000002.A600002F,Library host,1.0,1024.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.LIBRARY,,SASHELP.MB.HOST.SCL,
CMRattrdct,LABEL,1279539141.06319,1284567390.38056,,LABEL,A0000002.A600002G,Label assigned to the data set,1.0,1024.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.TABLE,,SASHELP.MB.LABEL.FRAME,
CMRattrdct,LIB,1279539141.4244,1284567390.53718,,LIB,A0000002.A600002H,Libref of library containing data set,1.0,1024.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.LIBRARY,,SASHELP.MB.MBDSN.SCL,
CMRattrdct,DATANAME,1279539141.67544,1284567390.69142,,DATANAME,A0000002.A600002I,SAS data library member name,1.0,1024.0,0.0,2.0,3.0,,,,0.0,SASHELP.MDCLASS.TABLE,,SASHELP.MB.MBDSN.SCL,
