MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
2617.0,IO_WILL_CREATE,1.0,W,%1$ does not exist. Will create data sets.,SASHELP.FSP.OK.SLIST
3018.0,IO_WAITNOTE,1.0,N,Collecting information about %$.  Please wait...,SASHELP.FSP.OK.SLIST
3020.0,IO_ADVISECOMP,1.0,N,Advice completed.,SASHELP.FSP.OK.SLIST
3023.0,IO_TOOMANYINPUT,1.0,E,Too many input arrows for node %$.,SASHELP.FSP.OK.SLIST
3024.0,IO_NODATAROLE,1.0,E,Node %1$ requires an input data set with a %2$ role.,SASHELP.FSP.OK.SLIST
3025.0,IO_NOINPUTPARM,1.0,E,Node %1$ requires an input parameter of type $2$.,SASHELP.FSP.OK.SLIST
3027.0,IO_NOOPENSOURCE,1.0,E,Node %1$ could not open input data set info:,SASHELP.FSP.OK.SLIST
3027.0,IO_NOOPENSOURCE,2.0,E,%2$.,SASHELP.FSP.OK.SLIST
3120.0,IO_NOOPENDS,1.0,E,Could not open data set %$. See LOG for details.,SASHELP.FSP.OK.SLIST
3124.0,IO_NODMDBDATA,1.0,E,Specify training data or connect a DMDB node.,SASHELP.FSP.OK.SLIST
3125.0,IO_NOQUER,1.0,E,No query generated.,
3128.0,IO_WRNGTRGT,1.0,E,Nominal targets are not valid.,SASHELP.FSP.OK.SLIST
3128.0,IO_WRNGTRGT,2.0,E,"Specify binary, ordinal, or interval targets.",SASHELP.FSP.OK.SLIST
3129.0,IO_NOTRGT,1.0,E,No target variable defined.,SASHELP.FSP.OK.SLIST
3129.0,IO_NOTRGT,2.0,E,Specify one target variable in a predecessor node.,SASHELP.FSP.OK.SLIST
3130.0,IN_NOOUTPUT,1.0,E,No output to browse.,SASHELP.FSP.OK.SLIST
3130.0,IN_NOOUTPUT,2.0,E,Run node or path again.,SASHELP.FSP.OK.SLIST
3131.0,IO_NOSELTRGT,1.0,E,No target variable selected.,SASHELP.FSP.OK.SLIST
3131.0,IO_NOSELTRGT,2.0,E,Node will not run.,SASHELP.FSP.OK.SLIST
3132.0,IN_BRWSOUT,1.0,N,%1$ analysis is completed.,SASHELP.FSP.OK.SLIST
3132.0,IN_BRWSOUT,2.0,N,%2$.,SASHELP.FSP.OK.SLIST
3133.0,IO_RUNERROR,1.0,E,Error has been encountered.,SASHELP.FSP.OK.SLIST
3133.0,IO_RUNERROR,2.0,E,View the Log for details.,SASHELP.FSP.OK.SLIST
3134.0,IO_DSNOEXST,1.0,N,Data set does not exist.,SASHELP.FSP.OK.SLIST
3135.0,IO_NOSTDEST,1.0,N,Not yet implemented.,SASHELP.FSP.OK.SLIST
3136.0,IO_WRNGFMT,1.0,E,Invalid file format.  File was not saved.,SASHELP.FSP.OK.SLIST
