locale,key,lineno,text
en,ACCUMULATEHISTORY_NOTE,1.0,* Accumulate history;
en,ADDNEWHIST_NOTE,1.0,* Add function info to new history;
en,APPLYINGINTERACTIVERULES_NOTE,1.0,%s: Applying Interactive Rules
en,ASSESSMEASURENOTVALID_NOTE,1.0,The specified value for Assessment Measure is not valid.
en,ASSESSMEASURERESET_NOTE,1.0,The value for Assessment Measure has been reset to DECISION.
en,ASSMT_BASECAPC_VLABEL,1.0,Baseline Cumulative %% Captured Response
en,ASSMT_BASECAP_VLABEL,1.0,Baseline %% Captured Response
en,ASSMT_BASEDECILE_VLABEL,1.0,Baseline Percentile
en,ASSMT_BASEGAIN_VLABEL,1.0,Baseline Gain
en,ASSMT_BASELIFTC_VLABEL,1.0,Baseline Cumulative Lift
en,ASSMT_BASELIFT_VLABEL,1.0,Baseline Lift
en,ASSMT_BASELOSSC_VLABEL,1.0,Baseline Cumulative Loss
en,ASSMT_BASELOSSTC_VLABEL,1.0,Baseline Cumulative Total Loss
en,ASSMT_BASELOSST_VLABEL,1.0,Baseline Total Loss
en,ASSMT_BASELOSS_VLABEL,1.0,Baseline Loss
en,ASSMT_BASENUMEVENT_VLABEL,1.0,Baseline Number of Events
en,ASSMT_BASEPROFITC_VLABEL,1.0,Baseline Cumulative Profit
en,ASSMT_BASEPROFITTC_VLABEL,1.0,Baseline Cumulative Total Profit
en,ASSMT_BASEPROFITT_VLABEL,1.0,Baseline Total Profit
en,ASSMT_BASEPROFIT_VLABEL,1.0,Baseline Profit
en,ASSMT_BASERESPC_VLABEL,1.0,Baseline Cumulative %% Response
en,ASSMT_BASERESP_VLABEL,1.0,Baseline %% Response
en,ASSMT_BASEROI_VLABEL,1.0,Baseline ROI
en,ASSMT_BASEUNADJLOSSC_VLABEL,1.0,Unadjusted Baseline Cumulative Loss
en,ASSMT_BASEUNADJLOSSTC_VLABEL,1.0,Unadjusted Baseline Cumulative Total Loss
en,ASSMT_BASEUNADJLOSST_VLABEL,1.0,Unadjusted Baseline Total Loss
en,ASSMT_BASEUNADJLOSS_VLABEL,1.0,Unadjusted Baseline Loss
