GROUP,CLASS,SORT,icon
SAMPLE,SASHELP.DMINDS.DSTOOL.CLASS,1.1,212.0
SAMPLE,SASHELP.SAMPLNG.SAMPLING.CLASS,1.2,427.0
SAMPLE,SASHELP.PARTOOL.PARTOOL.CLASS,1.3,251.0
EXPLORE,SASHELP.DMDIST.DENSTOOL.CLASS,2.1,420.0
EXPLORE,SASHELP.DMPLOT.MP.CLASS,2.2,239.0
EXPLORE,SASHELP.DMNINSG.DMNINSG.CLASS,2.3,54.0
EXPLORE,SASHELP.DMASSOC.RULES.CLASS,2.4,429.0
EXPLORE,SASHELP.DMVPRUN.VPRUNE.CLASS,2.5,426.0
EXPLORE,SASHELP.DMLINK.DMLINK.CLASS,2.6,98.0
MODIFY,SASHELP.DSEXPRT.DSEXPRT.CLASS,3.1,287.0
MODIFY,SASHELP.DMTRANS.VARTRANS.CLASS,3.2,700.0
MODIFY,SASHELP.DMFILTR.FILTER.CLASS,3.3,425.0
MODIFY,SASHELP.DATREPL.DATREPL.CLASS,3.4,738.0
MODIFY,SASHELP.CLUSTER.CLUSTER.CLASS,3.5,428.0
MODIFY,SASHELP.DMSOM.DMSOM.CLASS,3.6,739.0
MODIFY,SASHELP.DMTIME.DMTIME.CLASS,3.7,136.0
MODIFY,SASHELP.DMIGN.IGN.CLASS,3.8,60.0
MODEL,SASHELP.DMREG.DMREG.CLASS,4.1,133.0
MODEL,SASHELP.SPLITS.DATASPLT.CLASS,4.2,417.0
MODEL,SASHELP.NEURAL.TOOL.CLASS,4.3,418.0
MODEL,SASHELP.DMNEURAL.DMNEURAL.CLASS,4.4,170.0
MODEL,SASHELP.DMDLAPI.DMDLAPI.CLASS,4.5,704.0
MODEL,SASHELP.DMENS.DMENS.CLASS,4.6,445.0
MODEL,SASHELP.DMMBR.MBR.CLASS,4.7,194.0
MODEL,SASHELP.DM2S.DM2S.CLASS,4.8,599.0
ASSESS,SASHELP.DMINE.ASSESS.CLASS,5.1,430.0
ASSESS,SASHELP.DMRPRT.REPTOOL.CLASS,5.3,441.0
SCORING,SASHELP.DMSCORE.SCORE.CLASS,6.2,699.0
SCORING,SASHELP.DMCS.CS_EM.CLASS,6.4,312.0
UTILITY,SASHELP.BYRUNS.BYRUN.CLASS,7.1,419.0
UTILITY,SASHELP.DMDBTL.DMDB.CLASS,7.2,285.0
UTILITY,SASHELP.DMSAS.DMSAS.CLASS,7.3,432.0
