component,Prefix,EMComponent,Code
Baseline,Baseline,Decisions,SASHELP.DMWBTOOL.BASELINE.SOURCE
BayesianNetwork,HPBNC,HPDMBNC,SASHELP.DMWBTOOL.BNC.SOURCE
Binning,HPBin,HPTransform,SASHELP.DMWBTOOL.BINNING.SOURCE
Boost,BOOST,Boost,SASHELP.DMWBTOOL.BOOST.SOURCE
DataSource,Ids,DataSource,SASHELP.DMWBTOOL.IDS.SOURCE
DecisionTree,HPTree2,HPTree,SASHELP.DMWBTOOL.TREE.SOURCE
Ensemble,ENSMBL,Ensemble,SASHELP.DMWBTOOL.ENSEMBLE.SOURCE
Filter,Filter,Filter,SASHELP.DMWBTOOL.FILTER.SOURCE
Forest,HPForest,HPDMForest,SASHELP.DMWBTOOL.FOREST.SOURCE
ForestVarSel,HPForestVS,HPDMForest,SASHELP.DMWBTOOL.FORESTVARSEL.SOURCE
GLM,GLM,HPGLM,SASHELP.DMWBTOOL.GLMMAIN.SOURCE
Impute,HPImp,HPDMImpute,SASHELP.DMWBTOOL.IMPUTE.SOURCE
NeuralNetwork,HPNNA,HPDMNeural,SASHELP.DMWBTOOL.NEURAL.SOURCE
Partition,Part,Partition,
PrinComp,HPPC,HPDMPrincomp,SASHELP.DMWBTOOL.PRINCOMP.SOURCE
Regression,HPReg,HPDMReg,SASHELP.DMWBTOOL.REGRESSION.SOURCE
Reporter,Report,Reporter,SASHELP.DMWBTOOL.REPORTER.SOURCE
SVM,HPSVM,HPDMSVM,SASHELP.DMWBTOOL.SVM.SOURCE
Sample,Smpl,Sample,
Score,Score,Score,SASHELP.DMWBTOOL.SCORE.SOURCE
Transform,HPTrans,HPTransform,SASHELP.DMWBTOOL.TRANSFORM.SOURCE
TreeVarSel,HPTree,HPTree,SASHELP.DMWBTOOL.TREEVARSEL.SOURCE
VariableSelection,HPVS,HPDMVarSel,SASHELP.DMWBTOOL.VARSEL.SOURCE
