DELFLAG,SOURCEID,ATTRTYPE,CVALUE,FORMAT,INFORMAT,NVALUE,CLASNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,OBJNAME
0.0,A5GFGYAU.A20A0001,C,INTERNAL,,,,SASHELP.OBJPOOL.DYNATTR,1210009360.23349,1210009360.23349,,,A5GFGYAU.A30A0001,,0.0,128.0,0.0,1.0,MDDB
1.0,A5GFGYAU.A20A0001,C,SASHELP.SLIST.H4.SLIST,,,,SASHELP.OBJPOOL.DYNATTR,1210009361.13756,1210009361.13756,,,A5GFGYAU.A30A0002,,0.0,128.0,0.0,1.0,HIERARCH
0.0,A5GFGYAU.A20A0001,C,SASHELP.PRDSALE,,,,SASHELP.OBJPOOL.DYNATTR,1210009362.09785,1210009362.09785,,,A5GFGYAU.A30A0003,,0.0,128.0,0.0,1.0,BASETABL
0.0,A5GFGYAU.A50A0001,C,NMISS N SUM MIN MAX USS RANGE AVG CSS VAR STD STDERR CV T PRT LCLM UCLM PCTSUM PCTN,,,,SASHELP.OBJPOOL.DYNATTR,1210009377.42095,1210009377.42095,,,A5GFGYAU.A30A0004,,0.0,128.0,0.0,1.0,ANALYSIS
0.0,A5GFGYAU.A50A0001,C,DOLLAR12.2,,,,SASHELP.OBJPOOL.DYNATTR,1210009378.34196,1210009378.34196,,,A5GFGYAU.A30A0005,,0.0,128.0,0.0,1.0,MDDBFMT
0.0,A5GFGYAU.A50A0001,C,N,,,,SASHELP.OBJPOOL.DYNATTR,1210009379.25719,1210009379.25719,,,A5GFGYAU.A30A0006,,0.0,128.0,0.0,1.0,MDDBTYPE
0.0,A5GFGYAU.A50A0002,C,,,,,SASHELP.OBJPOOL.DYNATTR,1210009385.38676,1210009385.38676,,,A5GFGYAU.A30A0007,,0.0,128.0,0.0,1.0,CATEGORY
0.0,A5GFGYAU.A50A0002,C,$CHAR10.,,,,SASHELP.OBJPOOL.DYNATTR,1210009386.29267,1210009386.29267,,,A5GFGYAU.A30A0008,,0.0,128.0,0.0,1.0,MDDBFMT
0.0,A5GFGYAU.A50A0002,C,C,,,,SASHELP.OBJPOOL.DYNATTR,1210009387.29054,1210009387.29054,,,A5GFGYAU.A30A0009,,0.0,128.0,0.0,1.0,MDDBTYPE
1.0,A5GFGYAU.A50A0003,C,SASHELP.SLIST.C6.SLIST,,,,SASHELP.OBJPOOL.DYNATTR,1210009392.45429,1210009392.45429,,,A5GFGYAU.A30A000A,,0.0,128.0,0.0,1.0,COMPUTED
