MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
24.0,IN_NOT_AVAILABLE,1.0,N,This option is not yet available.,SASHELP.FSP.OK.SLIST
29.0,IN_FETCH_MESSAGE_FAILED,1.0,E,%LAttempt to fetch message: %$ failed.,SASHELP.FSP.OK.SLIST
36.0,IO_DS_NOT_REGISTERED,1.0,E,%1$ is not registered.,SASHELP.FSP.OK.SLIST
37.0,IO_DS_NOT_EXIST_WARN,1.0,W,%L%1$ does not exist.,SASHELP.FSP.OK.SLIST
39.0,IO_MBNAME_SET_TO_CURRENT,1.0,W,%1$ is missing. It has been set to the current repository.,SASHELP.FSP.OK.SLIST
40.0,IO_VAR_MISS_ATTR,1.0,E,The selected columns are not registered in the repository with the correct attributes: %1$,SASHELP.FSP.OK.SLIST
41.0,IO_DS_MISS_ATTR,1.0,E,The registration is missing the attributes: %1$,SASHELP.FSP.OK.SLIST
42.0,IO_DS_MISS_HIERARCHY,1.0,E,The hierarchy %1$ is not registered for the data set,SASHELP.FSP.OK.SLIST
42.0,IO_DS_MISS_HIERARCHY,2.0,E,%2$.,SASHELP.FSP.OK.SLIST
43.0,IO_VAR_NOT_ON_HIERARCHY,1.0,E,%1$ is not on the registered hierarchy.,SASHELP.FSP.OK.SLIST
44.0,IO_INVALID_CATALOG,1.0,E,Invalid catalog name. Please use only valid SAS names.,SASHELP.FSP.OK.SLIST
48.0,IO_NO_RANGE,1.0,E,No ranges available in %1$,SASHELP.FSP.OK.SLIST
51.0,IO_APPL_MISSING_INFO,1.0,W,"The application specified, %1$ is missing information.",SASHELP.FSP.OK.SLIST
52.0,IO_APPLNAME_REQUIRED,1.0,E,An application name is required. Specify one or press Cancel to quit.,SASHELP.FSP.OK.SLIST
53.0,IO_DEFINE_FOR_TEST,1.0,E,You must define an application before it can be tested.,SASHELP.FSP.OK.SLIST
54.0,IO_DEFINE_FOR_SAVE,1.0,E,You must define an application before it can be saved.,SASHELP.FSP.OK.SLIST
55.0,IO_UNIQUE_APPLNAME,1.0,E,%LSpecified application is not unique.,SASHELP.FSP.OK.SLIST
66.0,IO_SPEC_TABLE,1.0,E,A table must be specified.,SASHELP.FSP.OK.SLIST
86.0,IO_CANNOT_OPEN_MB,1.0,E,%lUnable to open repository %1$.,SASHELP.FSP.OK.SLIST
105.0,IO_NOT_REGISTERED_IN_MB,1.0,E,%lThe specified table is not registered.,SASHELP.FSP.OK.SLIST
106.0,IO_NO_COLS_SPECIFIED,1.0,E,%lColumns must be specified.,SASHELP.FSP.OK.SLIST
107.0,IN_SPEC_OR_CANCEL,1.0,O,Specify one or press Cancel to quit.,SASHELP.FSP.OK.SLIST
