Term,Role
άε,Interj
άι,Part
άιντε,Interj
άλα,Interj
άμα,Conj
άμε,Interj
άμετε,Interj
άμποτε,Interj
άμποτες,Interj
άνευ,Prep
άντε,Interj
άντεστε,Interj
άπα,Interj
άρα,Conj
άραγε,Part
άφεριμ,Interj
άχρι,Prep
άχρις,Prep
ένας,Det
ένεκα,Prep
ένεκεν,Prep
έξινος,Interj
έστω,Conj
έχω,Verb
έως,Prep
ή,Conj
ήμαρτον,Interj
ήτοι,Part
ίσαμε,Prep
αλά,Part
αλί,Interj
αλίμονο,Interj
αλιά,Interj
αλλά,Conj
αλληλούια,Interj
αλλοίμονο,Interj
αλτ,Interj
αμάν,Interj
αμέ,Part
αμήν,Interj
αν,Conj
ανά,Prep
ανάμεσα,Prep
αντί,Prep
αντίο,Interj
απολελέ,Interj
από,Prep
ας,Part
αφενός,Conj
αφετέρου,Conj
αφού,Conj
αφούντωτος,Conj
αφότου,Conj
αχ,Interj
αχαχούχα,Interj
βάρδα,Interj
βίβα,Interj
βαχ,Interj
βουαλά,Part
βουρ,Interj
βρε,Interj
βρεκεκέξ,Interj
γαμώτο,Interj
γείτσες,Interj
γεια,Interj
για,Prep
γιαβρούμ,Interj
γιατί,Conj
γιούπι,Interj
γιούρια,Interj
γκρρρ,Interj
δίχως,Prep
δα,Part
δη,Part
δηλαδή,Conj
διά,Prep
δια,Prep
διότι,Conj
διόφθαλμος,Conj
εάν,Conj
είθε,Part
είμαι,Verb
είτε,Conj
εγέρθητι,Interj
εις,Prep
εκ,Prep
εν,Prep
εντούτοις,Conj
ενώ,Conj
εξ,Prep
εξαιτίας,Prep
επ,Interj
επί,Prep
επειδή,Conj
επομένως,Conj
ες,Prep
εφόσον,Conj
εφύγρος,Conj
εύρηκα,Interj
ζάβαλε,Interj
ζήτω,Interj
ζμπούτσαμ,Interj
θα,Part
θενά,Part
ιδού,Part
κ.α,Interj
κάτω,Interj
καθώς,Conj
και,Conj
καλημερούδια,Interj
καλησπερούδια,Interj
καν,Conj
κατά,Prep
κικιρίκου,Interj
κοίτα,Interj
κουκουρίκου,Interj
κούκου,Interj
κτλ,Interj
λοιπόν,Conj
λοιπός,Conj
λόγω,Prep
μ.Χ,Interj
μάλιστα,Conj
μέσω,Prep
μέχρι,Prep
μήγαρ,Part
μήκος,Prep
μήπως,Conj
μήτε,Conj
μήτρα,Conj
μα,Conj
μα,Part
μακάρι,Interj
με,Prep
μετά,Prep
μεταξύ,Prep
μη,Conj
μηδέ,Conj
μιαου,Interj
μολαταύτα,Conj
μολονότι,Conj
μπάστα,Interj
μπα,Interj
μπιζ,Interj
μπρε,Interj
μπρος,Interj
μπρρρ,Interj
μωρέ,Interj
μόκο,Interj
μόλα,Interj
μόλις,Conj
να,Part
ναίσκε,Part
ναι,Part
ναϊσκες,Interj
νιαου,Interj
ντε,Part
ξεπαρεού,Interj
ξεράδια,Interj
ξου,Interj
ξουτ,Interj
ο,Det
οίμοι,Interj
οκλαδόν,Interj
οπότε,Conj
ορίστε,Interj
ου,Interj
ουδέ,Conj
ουστ,Interj
ουφ,Interj
ουχί,Part
οχ,Interj
οϊμέ,Interj
οϊμένα,Interj
ούτε,Conj
π.Χ,Interj
πάπαλα,Interj
πάρα,Part
πάρεξ,Prep
πα,Interj
πανάθεμα,Interj
παρά,Conj
παρά,Prep
παρόλα,Conj
παρόλη,Conj
παρόλο,Conj
περί,Prep
περαστικά,Interj
πιο,Conj
πλην,Prep
ποπό,Interj
που,Conj
που,Part
πουά,Conj
πού,Conj
πούρι,Part
πριν,Conj
πριν,Prep
πρινάρι,Conj
πριτς,Interj
προ,Prep
προκειμένου,Conj
προς,Prep
προτού,Conj
πω-πω,Interj
πως,Conj
πόα,Conj
σίγα,Interj
σαν,Conj
σαν,Part
σε,Prep
σιχτίρ,Interj
σιχτίρι,Interj
σκατά,Interj
σπολλάτι,Interj
συν,Prep
τζάνεμ,Interj
τζάνεμου,Interj
τζιζ,Interj
τραλαλά,Interj
τρισαλί,Interj
τρισαλίμονο,Interj
τροχάδην,Interj
τσ,Interj
τσα,Interj
τσου,Interj
τσουπ,Interj
υπέρ,Prep
υπό,Prep
φευ,Interj
χάριν,Prep
χμ,Interj
χωρίς,Prep
ψιτ,Interj
ω,Interj
ωιμέ,Interj
ωρέ,Interj
ως,Conj
ως,Part
ωσαννά,Interj
ωστόσο,Conj
ωσότου,Conj
ωτίο,Conj
ωχ,Interj
όμορφα,Interj
όμως,Conj
όπα,Interj
όπαλα,Interj
όπλα,Interj
όποτε,Conj
όρσε,Interj
όταν,Conj
ότι,Conj
ότρια,Conj
όχου,Interj
όϊ,Interj
ώπα,Interj
ώσπου,Conj
ώστε,Conj
o,
ΐ,
Χ,
ά,
έ,
ή,
ί,
ΰ,
α,
β,
γ,
δ,
ε,
ζ,
η,
θ,
ι,
κ,
λ,
μ,
ν,
ξ,
ο,
π,
ρ,
ς,
σ,
τ,
υ,
φ,
χ,
ψ,
ω,
ϊ,
ϋ,
ό,
ύ,
ώ,
