class,component,TrainCode,Prefix
SASHELP.EMSAMP.IDS.CLASS,DataSource,,Ids
SASHELP.EMSAMP.SAMPLING.CLASS,Sample,,Smpl
SASHELP.EMSAMP.EMDPART.CLASS,Partition,,Part
SASHELP.EMSAMP.TIMESERIES.CLASS,TimeSeries,,TIME
SASHELP.EMEXPL.ASSOCIATE.CLASS,Association,,Assoc
SASHELP.EMEXPL.PATHTOOL.CLASS,PathAnalysis,,Path
SASHELP.EMEXPL.CLUSTER.CLASS,Cluster,,Clus
SASHELP.EMEXPL.STATEXPLORE.CLASS,StatExplore,,Stat
SASHELP.EMEXPL.MULTIPLOT.CLASS,MultiPlot,,Plot
SASHELP.EMCORE.EXTENSION.CLASS,SOM,SASHELP.EMEXPL.SOM.SOURCE,SOM
SASHELP.EMMDFY.PRINCOMPANALYSIS.CLASS,PrinComp,,PRINCOMP
SASHELP.EMEXPL.VARSELECTION.CLASS,VariableSelection,,Varsel
SASHELP.EMMDFY.EMDROP.CLASS,Drop,,Drop
SASHELP.EMMDFY.FILTERTOOL.CLASS,Filter,,Filter
SASHELP.EMMDFY.EMTRANS.CLASS,Transform,,Trans
SASHELP.EMMDFY.EMIMPUTE.CLASS,Impute,,Impt
SASHELP.EMMODL.AUTONEURAL.CLASS,AutoNeural,,AutoNeural
SASHELP.EMCORE.EXTENSION.CLASS,DecisionTree,SASHELP.EMMODL.TREE.SOURCE,Tree
SASHELP.EMMODL.RULEINDUCTION.CLASS,RuleInduction,,Rule
SASHELP.EMMODL.DMNEURAL.CLASS,DMNeural,,DMNeural
SASHELP.EMMODL.ENSEMBLE.CLASS,Ensemble,,Ensmbl
SASHELP.EMMODL.FASTREG.CLASS,DmineReg,,DmineReg
SASHELP.EMMODL.MBR.CLASS,MBR,,MBR
SASHELP.EMMODL.NEURAL.CLASS,NeuralNetwork,,Neural
SASHELP.EMMODL.REGRESSION.CLASS,Regression,,Reg
SASHELP.EMMODL.TWOSTAGE.CLASS,TwoStage,,TwoStage
SASHELP.EMTEXT.TEXTMINING.CLASS,TextMining,,TEXT
SASHELP.EMASSMT.ASSESS.CLASS,Assess,,MdlComp
SASHELP.EMASSMT.ASSESS.CLASS,ModelCompare,,MdlComp
SASHELP.EMCORE.EMCODETOOL.CLASS,SASCode,,EMCODE
SASHELP.EMCORE.TESTTOOL.CLASS,TestTool,,TEST
SASHELP.EMUTIL.CONTROLPOINT.CLASS,ControlPoint,,CNTRL
SASHELP.EMUTIL.EMMETADATA.CLASS,Metadata,,Meta
SASHELP.EMUTIL.EMMERGE.CLASS,Merge,,Merge
SASHELP.EMUTIL.EMSCORE.CLASS,Score,,Score
SASHELP.EMCORE.EXTENSION.CLASS,Profile,SASHELP.EMEXPL.PROFILE.SOURCE,Prof
