Month,Year,Pressure
1.0,0.08333333333333,12.9
2.0,0.16666666666666,11.3
3.0,0.25,10.6
4.0,0.33333333333333,11.2
5.0,0.41666666666666,10.9
6.0,0.5,7.5
7.0,0.58333333333333,7.7
8.0,0.66666666666666,11.7
9.0,0.75,12.9
10.0,0.83333333333333,14.3
11.0,0.91666666666666,10.9
12.0,1.0,13.7
13.0,1.08333333333333,17.1
14.0,1.16666666666666,14.0
15.0,1.25,15.3
16.0,1.33333333333333,8.5
17.0,1.41666666666666,5.7
18.0,1.5,5.5
19.0,1.58333333333333,7.6
20.0,1.66666666666666,8.6
21.0,1.75,7.3
22.0,1.83333333333333,7.6
23.0,1.91666666666666,12.7
24.0,2.0,11.0
25.0,2.08333333333333,12.7
26.0,2.16666666666666,12.9
27.0,2.25,13.0
28.0,2.33333333333333,10.9
29.0,2.41666666666666,10.4
30.0,2.5,10.2
31.0,2.58333333333333,8.0
32.0,2.66666666666666,10.9
33.0,2.75,13.6
34.0,2.83333333333333,10.5
35.0,2.91666666666666,9.2
36.0,3.0,12.4
37.0,3.08333333333333,12.7
38.0,3.16666666666666,13.3
39.0,3.25,10.1
40.0,3.33333333333333,7.8
41.0,3.41666666666666,4.8
42.0,3.5,3.0
43.0,3.58333333333333,2.5
44.0,3.66666666666666,6.3
45.0,3.75,9.7
46.0,3.83333333333333,11.6
47.0,3.91666666666666,8.6
48.0,4.0,12.4
49.0,4.08333333333333,10.5
50.0,4.16666666666666,13.3
51.0,4.25,10.4
52.0,4.33333333333333,8.1
53.0,4.41666666666666,3.7
54.0,4.5,10.7
55.0,4.58333333333333,5.1
56.0,4.66666666666666,10.4
57.0,4.75,10.9
58.0,4.83333333333333,11.7
59.0,4.91666666666666,11.4
60.0,5.0,13.7
61.0,5.08333333333333,14.1
62.0,5.16666666666666,14.0
63.0,5.25,12.5
64.0,5.33333333333333,6.3
65.0,5.41666666666666,9.6
66.0,5.5,11.7
67.0,5.58333333333333,5.0
68.0,5.66666666666666,10.8
69.0,5.75,12.7
70.0,5.83333333333333,10.8
71.0,5.91666666666666,11.8
72.0,6.0,12.6
73.0,6.08333333333333,15.7
74.0,6.16666666666666,12.6
75.0,6.25,14.8
76.0,6.33333333333333,7.8
77.0,6.41666666666666,7.1
78.0,6.5,11.2
79.0,6.58333333333333,8.1
80.0,6.66666666666666,6.4
81.0,6.75,5.2
82.0,6.83333333333333,12.0
83.0,6.91666666666666,10.2
84.0,7.0,12.7
85.0,7.08333333333333,10.2
86.0,7.16666666666666,14.7
87.0,7.25,12.2
88.0,7.33333333333333,7.1
89.0,7.41666666666666,5.7
90.0,7.5,6.7
91.0,7.58333333333333,3.9
92.0,7.66666666666666,8.5
93.0,7.75,8.3
94.0,7.83333333333333,10.8
95.0,7.91666666666666,16.7
96.0,8.0,12.6
97.0,8.08333333333333,12.5
98.0,8.16666666666666,12.5
99.0,8.25,9.8
100.0,8.33333333333333,7.2
101.0,8.41666666666666,4.1
102.0,8.5,10.6
103.0,8.58333333333333,10.1
104.0,8.66666666666666,10.1
105.0,8.75,11.9
106.0,8.83333333333333,13.6
107.0,8.91666666666666,16.3
108.0,9.0,17.6
109.0,9.08333333333333,15.5
110.0,9.16666666666666,16.0
111.0,9.25,15.2
112.0,9.33333333333333,11.2
113.0,9.41666666666666,14.3
114.0,9.5,14.5
115.0,9.58333333333333,8.5
116.0,9.66666666666666,12.0
117.0,9.75,12.7
118.0,9.83333333333333,11.3
119.0,9.91666666666666,14.5
120.0,10.0,15.1
121.0,10.0833333333333,10.4
122.0,10.1666666666666,11.5
123.0,10.25,13.4
124.0,10.3333333333333,7.5
125.0,10.4166666666666,0.6
126.0,10.5,0.3
127.0,10.5833333333333,5.5
128.0,10.6666666666666,5.0
129.0,10.75,4.6
130.0,10.8333333333333,8.2
131.0,10.9166666666666,9.9
132.0,11.0,9.2
133.0,11.0833333333333,12.5
134.0,11.1666666666666,10.9
135.0,11.25,9.9
136.0,11.3333333333333,8.9
137.0,11.4166666666666,7.6
138.0,11.5,9.5
139.0,11.5833333333333,8.4
140.0,11.6666666666666,10.7
141.0,11.75,13.6
142.0,11.8333333333333,13.7
143.0,11.9166666666666,13.7
144.0,12.0,16.5
145.0,12.0833333333333,16.8
146.0,12.1666666666666,17.1
147.0,12.25,15.4
148.0,12.3333333333333,9.5
149.0,12.4166666666666,6.1
150.0,12.5,10.1
151.0,12.5833333333333,9.3
152.0,12.6666666666666,5.3
153.0,12.75,11.2
154.0,12.8333333333333,16.6
155.0,12.9166666666666,15.6
156.0,13.0,12.0
157.0,13.0833333333333,11.5
158.0,13.1666666666666,8.6
159.0,13.25,13.8
160.0,13.3333333333333,8.7
161.0,13.4166666666666,8.6
162.0,13.5,8.6
163.0,13.5833333333333,8.7
164.0,13.6666666666666,12.8
165.0,13.75,13.2
166.0,13.8333333333333,14.0
167.0,13.9166666666666,13.4
168.0,14.0,14.8
