Cause,Process,Count,Day
Contamination,Process A,15.0,2009-03-02
Corrosion,Process A,2.0,2009-03-02
Doping,Process A,1.0,2009-03-02
Metallization,Process A,2.0,2009-03-02
Miscellaneous,Process A,3.0,2009-03-02
Oxide Defect,Process A,8.0,2009-03-02
Silicon Defect,Process A,1.0,2009-03-02
Contamination,Process A,16.0,2009-03-03
Corrosion,Process A,3.0,2009-03-03
Doping,Process A,1.0,2009-03-03
Metallization,Process A,3.0,2009-03-03
Miscellaneous,Process A,1.0,2009-03-03
Oxide Defect,Process A,9.0,2009-03-03
Silicon Defect,Process A,2.0,2009-03-03
Contamination,Process A,20.0,2009-03-04
Corrosion,Process A,1.0,2009-03-04
Doping,Process A,1.0,2009-03-04
Metallization,Process A,0.0,2009-03-04
Miscellaneous,Process A,3.0,2009-03-04
Oxide Defect,Process A,7.0,2009-03-04
Silicon Defect,Process A,2.0,2009-03-04
Contamination,Process A,12.0,2009-03-05
Corrosion,Process A,1.0,2009-03-05
Doping,Process A,1.0,2009-03-05
Metallization,Process A,0.0,2009-03-05
Miscellaneous,Process A,0.0,2009-03-05
Oxide Defect,Process A,10.0,2009-03-05
Silicon Defect,Process A,1.0,2009-03-05
Contamination,Process A,23.0,2009-03-06
Corrosion,Process A,1.0,2009-03-06
Doping,Process A,1.0,2009-03-06
Metallization,Process A,0.0,2009-03-06
Miscellaneous,Process A,1.0,2009-03-06
Oxide Defect,Process A,8.0,2009-03-06
Silicon Defect,Process A,2.0,2009-03-06
Contamination,Process B,8.0,2009-03-02
Corrosion,Process B,2.0,2009-03-02
Doping,Process B,1.0,2009-03-02
Metallization,Process B,4.0,2009-03-02
Miscellaneous,Process B,2.0,2009-03-02
Oxide Defect,Process B,10.0,2009-03-02
Silicon Defect,Process B,3.0,2009-03-02
Contamination,Process B,9.0,2009-03-03
Corrosion,Process B,0.0,2009-03-03
Doping,Process B,1.0,2009-03-03
Metallization,Process B,2.0,2009-03-03
Miscellaneous,Process B,4.0,2009-03-03
Oxide Defect,Process B,9.0,2009-03-03
Silicon Defect,Process B,2.0,2009-03-03
Contamination,Process B,4.0,2009-03-04
Corrosion,Process B,1.0,2009-03-04
Doping,Process B,1.0,2009-03-04
Metallization,Process B,0.0,2009-03-04
Miscellaneous,Process B,0.0,2009-03-04
Oxide Defect,Process B,10.0,2009-03-04
Silicon Defect,Process B,1.0,2009-03-04
Contamination,Process B,2.0,2009-03-05
Corrosion,Process B,2.0,2009-03-05
Doping,Process B,1.0,2009-03-05
Metallization,Process B,0.0,2009-03-05
Miscellaneous,Process B,3.0,2009-03-05
Oxide Defect,Process B,7.0,2009-03-05
Silicon Defect,Process B,1.0,2009-03-05
Contamination,Process B,1.0,2009-03-06
Corrosion,Process B,3.0,2009-03-06
Doping,Process B,1.0,2009-03-06
Metallization,Process B,0.0,2009-03-06
Miscellaneous,Process B,1.0,2009-03-06
Oxide Defect,Process B,8.0,2009-03-06
Silicon Defect,Process B,2.0,2009-03-06
