Term,Role
aikana,Prep
aikanaan,Prep
aikanamme,Prep
aikanani,Prep
aikananne,Prep
aikanansa,Prep
aikanasi,Prep
ajatella,Verb
alitse,Prep
alitseen,Prep
alitsemme,Prep
alitseni,Prep
alitsenne,Prep
alitsensa,Prep
alitsesi,Prep
alla,Prep
allaan,Prep
allamme,Prep
allani,Prep
allanne,Prep
allansa,Prep
allasi,Prep
alle,Prep
alleen,Prep
allemme,Prep
alleni,Prep
allenne,Prep
allensa,Prep
allesi,Prep
alta,Prep
altaan,Prep
altamme,Prep
altani,Prep
altanne,Prep
altansa,Prep
altasi,Prep
ansiosta,Prep
ansiostaan,Prep
ansiostamme,Prep
ansiostani,Prep
ansiostanne,Prep
ansiostansa,Prep
ansiostasi,Prep
asti,Prep
edelle,Prep
edelleen,Prep
edellemme,Prep
edelleni,Prep
edellenne,Prep
edellensä,Prep
edellesi,Prep
edellä,Prep
edellämme,Prep
edelläni,Prep
edellänne,Prep
edellänsä,Prep
edelläsi,Prep
edellään,Prep
edeltä,Prep
edeltämme,Prep
edeltäni,Prep
edeltänne,Prep
edeltänsä,Prep
edeltäsi,Prep
edeltään,Prep
edessä,Prep
edessämme,Prep
edessäni,Prep
edessänne,Prep
edessänsä,Prep
edessäsi,Prep
edessään,Prep
edestä,Prep
edestämme,Prep
edestäni,Prep
edestänne,Prep
edestänsä,Prep
edestäsi,Prep
edestään,Prep
edukseen,Prep
eduksemme,Prep
edukseni,Prep
eduksenne,Prep
eduksensa,Prep
eduksesi,Prep
eduksi,Prep
eli,Conj
elikkä,Conj
ellei,Conj
elleivät,Conj
ellemme,Conj
ellen,Conj
ellet,Conj
ellette,Conj
ennen,Prep
eräs,Pron
eteemme,Prep
eteen,Prep
eteeni,Prep
eteenne,Prep
eteensä,Prep
eteesi,Prep
ettei,Conj
etteikö,Conj
etteivät,Conj
etteivätkö,Conj
ettemme,Conj
ettemmekö,Conj
etten,Conj
ettenkö,Conj
ettet,Conj
ettetkö,Conj
ettette,Conj
ettettekö,Conj
että,Conj
halki,Prep
hallussa,Prep
hallussaan,Prep
hallussamme,Prep
hallussani,Prep
hallussanne,Prep
hallussansa,Prep
hallussasi,Prep
hallusta,Prep
hallustaan,Prep
hallustamme,Prep
hallustani,Prep
hallustanne,Prep
hallustansa,Prep
hallustasi,Prep
haltuumme,Prep
haltuun,Prep
haltuuni,Prep
haltuunne,Prep
haltuunsa,Prep
haltuusi,Prep
han,Aux
he,Pron
hyväkseen,Prep
hyväksemme,Prep
hyväkseni,Prep
hyväksenne,Prep
hyväksensä,Prep
hyväksesi,Prep
hyväksi,Prep
hän,Aux
hän,Pron
ilman,Prep
itse,Pron
ja,Conj
jahka,Conj
jahkapa,Conj
jahkapas,Conj
jahkas,Conj
johdosta,Prep
johdostaan,Prep
johdostamme,Prep
johdostani,Prep
johdostanne,Prep
johdostansa,Prep
johdostasi,Prep
joka,Pron
jokainen,Pron
jokin,Pron
joku,Pron
jollei,Conj
jolleivät,Conj
jollemme,Conj
jollen,Conj
jollet,Conj
jollette,Conj
jompikumpi,Pron
jos,Conj
joskin,Conj
jotta,Conj
jottei,Conj
joutua,Verb
jäljessä,Prep
jäljessämme,Prep
jäljessäni,Prep
jäljessänne,Prep
jäljessänsä,Prep
jäljessäsi,Prep
jäljessään,Prep
jälkeemme,Prep
jälkeen,Prep
