char,x,y,segment,ptype
A,41.0,59.0,1.0,W
A,50.0,62.0,1.0,V
A,42.0,41.0,1.0,V
A,50.0,62.0,2.0,V
A,58.0,41.0,2.0,V
A,45.0,48.0,3.0,V
A,55.0,48.0,3.0,V
D,39.0,60.0,1.0,W
D,43.0,62.0,1.0,V
D,43.0,41.0,1.0,V
D,43.0,62.0,2.0,V
D,50.0,62.0,2.0,V
D,53.0,61.0,2.0,V
D,55.0,59.0,2.0,V
D,56.0,57.0,2.0,V
D,57.0,54.0,2.0,V
D,57.0,49.0,2.0,V
D,56.0,46.0,2.0,V
D,55.0,44.0,2.0,V
D,53.0,42.0,2.0,V
D,50.0,41.0,2.0,V
D,43.0,41.0,2.0,V
T,42.0,58.0,1.0,W
T,50.0,62.0,1.0,V
T,50.0,41.0,1.0,V
T,43.0,62.0,2.0,V
T,57.0,62.0,2.0,V
