role,Term,numdocs
Prep,a cause de,5.0
Prep,a cause d’,1.0
Adv,a ce jour,10.0
Adv,a ce stade,20.0
Prep,a ce stade des,1.0
Prep,a compter de,5.0
Prep,a compter du,8.0
Prep,a condition d’,2.0
Conj,a condition qu',1.0
Conj,a condition que,2.0
Adv,a contrario,13.0
Adv,a court terme,4.0
Prep,a côté des,2.0
Prep,a défaut d',1.0
Prep,a défaut de,13.0
Prep,a défaut d’,5.0
Adv,a fortiori,28.0
Adv,a gauche,1.0
Prep,a l'aide de,2.0
Prep,a l'aide des,1.0
Prep,a l'aide du,1.0
Prep,a l'encontre de,1.0
Prep,a l'exception d',2.0
Prep,a l'exception de,4.0
Prep,a l'exception des,6.0
Prep,a l'exception du,2.0
Prep,a l'exclusion de,1.0
Prep,a l'exclusion des,7.0
Prep,a l'exclusion du,1.0
Adv,a l'heure actuelle,10.0
Prep,a l'image de,2.0
Prep,a l'initiative d',1.0
Prep,a l'instar de,1.0
Prep,a l'intérieur de,2.0
Prep,a l'inverse du,1.0
Prep,a l'issue d',2.0
Prep,a l'issue de,9.0
Prep,a l'issue du,1.0
Prep,a l'occasion de,2.0
Prep,a l'occasion des,1.0
Adv,a l'origine,2.0
Prep,a l'égard de,1.0
Prep,a l'égard des,1.0
Adv,a l'évidence,1.0
Prep,a la demande d',2.0
Prep,a la demande de,8.0
Prep,a la demande des,1.0
Prep,a la demande du,2.0
Prep,a la demande d’,5.0
Prep,a la fin de,25.0
Prep,a la fin des,1.0
Prep,a la fin du,1.0
Adv,a la fois,1.0
Prep,a la lumière de,16.0
Prep,a la lumière des,5.0
Prep,a la lumière du,2.0
Prep,a la place de,1.0
Prep,a la suite d',3.0
Prep,a la suite de,20.0
Prep,a la suite des,11.0
Prep,a la suite du,2.0
Adv,a long terme,3.0
Adv,a l’arrière,1.0
Prep,a l’exception des,1.0
Adv,a l’heure actuelle,12.0
Prep,a l’image de,1.0
Prep,a l’image du,1.0
Prep,a l’instar de,3.0
Prep,a l’instar des,3.0
Prep,a l’instar du,1.0
Prep,a l’instar d’,2.0
Prep,a l’intérieur de,1.0
Prep,a l’intérieur du,8.0
Prep,a l’issue de,14.0
Prep,a l’issue des,2.0
Prep,a l’issue du,2.0
Prep,a l’occasion de,2.0
Prep,a l’occasion des,1.0
Prep,a l’occasion du,1.0
Adv,a l’opposé,2.0
Prep,a l’égard des,1.0
Adv,a mesure que,1.0
Adv,a minima,4.0
Adv,a moins que,7.0
Adv,a moyen terme,3.0
Prep,a part,2.0
Prep,a partir d',2.0
Prep,a partir de,24.0
Prep,a partir des,2.0
Prep,a partir du,33.0
Adv,a plusieurs reprises,1.0
Adv,a point,71.0
Adv,a posteriori,347.0
Adv,a priori,118.0
Prep,a propos de,1.0
Prep,a propos du,1.0
Prep,a proximité des,1.0
Adv,a présent,1.0
Adv,a son tour,3.0
Adv,a terme,1.0
Prep,a titre d',17.0
Prep,a titre de,6.0
Prep,a titre d’,4.0
Adv,a tout moment,1.0
Prep,a travers,4.0
Adj,ad hoc,495.0
Adv,ad libitum,6.0
Prep,afin d',4031.0
Prep,afin de,6713.0
Prep,afin d’,901.0
Conj,afin qu,1.0
Conj,afin qu',485.0
Conj,afin que,1362.0
Conj,afin qu’,96.0
Adv,ainsi de suite,12.0
Adv,ainsi donc,3.0
Conj,ainsi qu,5.0
Conj,ainsi qu',3869.0
Conj,ainsi que,10119.0
Conj,ainsi qu’,862.0
Conj,alors même qu',29.0
Conj,alors même que,78.0
Conj,alors même qu’,9.0
Conj,alors qu',324.0
Conj,alors que,1140.0
Conj,alors qu’,119.0
Adv,après coup,7.0
Adv,après mûre réflexion,4.0
Conj,après qu',122.0
Conj,après que,564.0
Conj,après qu’,13.0
Adv,après tout,24.0
Conj,attendu qu',4.0
Conj,attendu que,20.0
Conj,attendu qu’,1.0
Prep,au bord de,12.0
Prep,au bord des,5.0
Prep,au bord du,10.0
Adv,au bout du compte,12.0
Conj,au cas où,1070.0
Prep,au chapitre de,7.0
Prep,au chapitre des,3.0
Prep,au chapitre du,1.0
Adv,au choix,285.0
Prep,au coeur de,9.0
Prep,au coeur des,4.0
Prep,au coeur du,9.0
Adv,au contraire,328.0
Prep,au contraire d',8.0
Prep,au contraire de,17.0
Prep,au contraire des,4.0
Prep,au contraire du,1.0
Adv,au coup par coup,4.0
Prep,au cours d',921.0
Prep,au cours de,3567.0
Prep,au cours des,1893.0
Prep,au cours du,809.0
Prep,au cours d’,134.0
Prep,au cœur d',2.0
Prep,au cœur de,106.0
Prep,au cœur des,38.0
Prep,au cœur du,39.0
Prep,au cœur d’,1.0
Prep,au côté de,2.0
Prep,au côté des,2.0
Prep,au côté du,3.0
Adv,au dehors,4.0
Prep,au delà d',4.0
Prep,au delà de,35.0
