Term,Role
abdomino,Pref
abiéto,Pref
académico,Pref
achromo,Pref
acido,Pref
acro,Pref
acrobatico,Pref
acromio,Pref
acry,Pref
acryl,Pref
acti,Pref
acéto,Pref
adiabatico,Pref
adiposo,Pref
administrativo,Pref
adéno,Pref
afro,Pref
agro,Pref
ah,Interj
alcalo,Pref
alco,Pref
alcoyl,Pref
algorithmico,Pref
algébro,Pref
algéro,Pref
allergico,Pref
allo,Pref
allô,Interj
alphabético,Pref
alumino,Pref
alvéolo,Pref
amito,Pref
amnio,Pref
amphé,Pref
andro,Pref
anglo,Pref
anilino,Pref
aniso,Pref
ano,Pref
anthropo,Pref
anti,Pref
anté,Pref
antéro,Pref
aphaso,Pref
apico,Pref
après,Prep
aqua,Pref
arabo,Pref
aralo,Pref
archi,Pref
archéo,Pref
argilo,Pref
arithmo,Pref
arménio,Pref
aromatico,Pref
arsinico,Pref
arsonico,Pref
arsénico,Pref
arthro,Pref
artistico,Pref
artério,Pref
aréo,Pref
ascitico,Pref
ascorbico,Pref
ascético,Pref
aseptico,Pref
asiatico,Pref
astro,Pref
atlantico,Pref
atomico,Pref
atrio,Pref
attendu,Prep
au,Prep
aucun,Det
aucun,Pron
aucuns,Det
audi,Pref
auquel,Pron
auro,Pref
aussi,Conj
australo,Pref
austro,Pref
autistico,Pref
autour,Prep
autre,Det
autrui,Pron
avant,Prep
avec,Prep
avio,Pref
avoir,Verb
azéro,Pref
aéro,Pref
aïe,Interj
bacho,Pref
baco,Pref
bactério,Pref
badaboum,Interj
bah,Interj
balistico,Pref
balkano,Pref
balto,Pref
baro,Pref
basalto,Pref
basico,Pref
basta,Interj
bathy,Pref
because,Conj
because,Prep
belgo,Pref
bentho,Pref
benzo,Pref
berbéro,Pref
berk,Interj
beurk,Interj
bi,Pref
biblico,Pref
biblio,Pref
bicause,Conj
bicause,Prep
bigre,Interj
bio,Pref
biélo,Pref
bof,Interj
brachio,Pref
bravissimo,Interj
bronchiolo,Pref
broum,Interj
brrr,Interj
bye,Interj
caco,Pref
calci,Pref
calcio,Pref
calli,Pref
cancéro,Pref
car,Conj
carbo,Pref
cardio,Pref
carto,Pref
caryo,Pref
ce,Det
ce,Pron
ceci,Pron
cela,Pron
cellulo,Pref
celtico,Pref
celui,Pron
cent,Det
centi,Pref
cependant,Conj
certain,Det
certains,Det
certains,Pron
chacun,Det
chacun,Pron
chalco,Pref
chamito,Pref
chaque,Det
chez,Prep
chimico,Pref
chimio,Pref
chiro,Pref
chloro,Pref
chori,Pref
choro,Pref
christo,Pref
chryso,Pref
chut,Interj
ciao,Interj
cinq,Det
cinquante,Det
cinématico,Pref
cinémato,Pref
clac,Interj
classico,Pref
claustro,Pref
climato,Pref
clinico,Pref
clino,Pref
co,Pref
cobalto,Pref
cocaïno,Pref
comico,Pref
comme,Conj
comment,Conj
concernant,Prep
consisto,Pref
contre,Prep
corbleu,Interj
cortico,Pref
cosmo,Pref
cosméto,Pref
couic,Interj
coxo,Pref
cranio,Pref
cristallo,Pref
cristi,Interj
critico,Pref
cryo,Pref
crénom,Interj
cubico,Pref
cyano,Pref
cylindrico,Pref
cylindro,Pref
céphalo,Pref
céramico,Pref
cérébello,Pref
cérébro,Pref
cézigue,Pron
côté,Prep
da,Interj
dano,Pref
dans,Prep
de,Det
de,Prep
debout,Interj
dedans,Prep
dehors,Prep
dendro,Pref
densi,Pref
dento,Pref
depuis,Prep
dermato,Pref
derrière,Prep
dessous,Prep
dessus,Prep
deux,Det
devant,Prep
devers,Prep
devoir,Verb
di,Pref
dia,Interj
dia,Pref
diabolico,Pref
diabéto,Pref
dialecto,Pref
diantre,Interj
dichloro,Pref
différents,Det
diméthyl,Pref
ding,Interj
diphényl,Pref
diplomatico,Pref
divers,Det
dix,Det
diélectro,Pref
domestico,Pref
donc,Conj
dong,Interj
dont,Pron
dorso,Pref
douze,Det
dramatico,Pref
du,Prep
duquel,Pron
durant,Prep
dès,Prep
déhydro,Pref
démago,Pref
désertico,Pref
désoxy,Pref
ecclésio,Pref
ecto,Pref
eh,Interj
elle,Pron
elles,Pron
embryo,Pref
empirico,Pref
en,Prep
en,Pron
encyclo,Pref
encéphalo,Pref
endo,Pref
endéans,Prep
endémo,Pref
ento,Pref
entre,Prep
entéro,Pref
envers,Prep
enzymo,Pref
ergo,Pref
esthético,Pref
et,Conj
ethno,Pref
eucharistico,Pref
euh,Interj
eupho,Pref
eurêka,Interj
eux,Pron
ex,Pref
excentro,Pref
excepté,Prep
extra,Pref
fantastico,Pref
ferri,Pref
ferro,Pref
fibro,Pref
fichtre,Interj
filmo,Pref
finno,Pref
flac,Interj
fluvio,Pref
foeto,Pref
folklo,Pref
force,Det
fors,Prep
fouchtra,Interj
franco,Pref
fronto,Pref
fuso,Pref
futuro,Pref
fémoro,Pref
galactico,Pref
galacto,Pref
gastro,Pref
gazo,Pref
gaélico,Pref
germano,Pref
giga,Pref
glosso,Pref
gluco,Pref
glyco,Pref
glycéro,Pref
granulo,Pref
grapho,Pref
gréco,Pref
gyno,Pref
gyro,Pref
géniculo,Pref
génito,Pref
géorgeo,Pref
géronto,Pref
ha,Interj
hagio,Pref
hein,Interj
hello,Interj
helléno,Pref
helvético,Pref
hem,Interj
hep,Interj
heuristico,Pref
hexa,Pref
hip,Interj
hippo,Pref
hispanico,Pref
hispano,Pref
hista,Pref
histo,Pref
historico,Pref
hitléro,Pref
holo,Pref
homéo,Pref
hop,Interj
hormis,Prep
horo,Pref
hors,Prep
hospitalo,Pref
hou,Interj
houp,Interj
houst,Interj
hue,Interj
huit,Det
huitante,Det
humoristico,Pref
hydra,Pref
hydro,Pref
hygiéno,Pref
hygro,Pref
hyper,Pref
hypno,Pref
hypo,Pref
hystérico,Pref
hystéro,Pref
hé,Interj
hélas,Interj
hémato,Pref
hémi,Pref
hémo,Pref
hépato,Pref
hérético,Pref
ibérico,Pref
ibéro,Pref
icelui,Pron
icono,Pref
ictéro,Pref
idio,Pref
idéo,Pref
il,Pron
ilio,Pref
ils,Pron
iléo,Pref
immuno,Pref
indo,Pref
infanto,Pref
informatico,Pref
infra,Pref
inguino,Pref
insulino,Pref
intestino,Pref
intra,Pref
iodo,Pref
irako,Pref
irano,Pref
irido,Pref
irlando,Pref
ischio,Pref
islamo,Pref
iso,Pref
israélo,Pref
italico,Pref
italo,Pref
jarnicoton,Interj
jazzistico,Pref
je,Pron
jordano,Pref
journalistico,Pref
jouxte,Prep
judéo,Pref
juridico,Pref
jusque,Prep
jusques,Prep
kabbalistico,Pref
kazakho,Pref
