Name,Name2,City,City2,MapIDNameAbrv,ZIP,ZCTA,First,Last
"Wake County, NC streets",TIGER 2017 data,TIGER2GEOCODE: V15,Sept. 2018,,,,,
1,1,Apex,APEX,NC,,27562.0,1.0,2.0
1,1,Cary,CARY,NC,,27606.0,3.0,10.0
1,1,Holly Springs,HOLLYSPRINGS,NC,,27502.0,11.0,14.0
1,1,Apex,APEX,NC,27502.0,27502.0,21.0,30.0
1,1,Apex,APEX,NC,27502.0,27502.0,33.0,53.0
1,1,Apex,APEX,NC,27502.0,27502.0,55.0,62.0
1,1,Apex,APEX,NC,27502.0,27502.0,64.0,66.0
1,1,Apex,APEX,NC,27502.0,27502.0,69.0,107.0
1,1,Apex,APEX,NC,27502.0,27502.0,109.0,117.0
1,1,Apex,APEX,NC,27502.0,27502.0,123.0,134.0
1,1,Apex,APEX,NC,27502.0,27502.0,136.0,137.0
1,1,Apex,APEX,NC,27502.0,27502.0,139.0,141.0
1,1,Apex,APEX,NC,27502.0,27502.0,148.0,174.0
1,1,Cary,CARY,NC,27511.0,27511.0,178.0,233.0
1,1,Cary,CARY,NC,27518.0,27518.0,234.0,255.0
1,1,Apex,APEX,NC,27539.0,27539.0,256.0,293.0
1,1,New Hill,NEWHILL,NC,27562.0,27562.0,298.0,299.0
1,1,New Hill,NEWHILL,NC,27562.0,27562.0,306.0,319.0
1,1,New Hill,NEWHILL,NC,27562.0,27562.0,324.0,327.0
1,1,New Hill,NEWHILL,NC,27562.0,27562.0,332.0,337.0
1,1,New Hill,NEWHILL,NC,27562.0,27562.0,340.0,341.0
1,1,New Hill,NEWHILL,NC,27562.0,27562.0,348.0,362.0
1,1,New Hill,NEWHILL,NC,27562.0,27562.0,364.0,370.0
1,1,New Hill,NEWHILL,NC,27562.0,27562.0,373.0,374.0
1,1,New Hill,NEWHILL,NC,27562.0,27562.0,387.0,388.0
1,1,Wake Forest,WAKEFOREST,NC,27587.0,27587.0,389.0,400.0
