MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
2001.0,TABLE_EXISTS,1.0,E,%LTable %1$ already exists.,SASHELP.FSP.OK.SLIST
2002.0,TABLE_NO_EXIST,1.0,E,%LTable %1$ does not exist.,SASHELP.FSP.OK.SLIST
2003.0,TABLE_EXISTS_AS_VIEW,1.0,E,%L$ already exists as VIEW.,SASHELP.FSP.OK.SLIST
2004.0,TABLE_EXISTS_WRONG_TYPE,1.0,E,%LTable %1$ exists but is not of TYPE=%2$.,SASHELP.FSP.OK.SLIST
2005.0,SCLLIST_NAMED_ITEM_NOT_FOUND,1.0,E,%L$ not found as named item in list.,SASHELP.FSP.OK.SLIST
2006.0,TABLE_NO_UPDATE,1.0,E,%LTable %1$ is not open for update.,SASHELP.FSP.OK.SLIST
2007.0,ATTRIBUTE_NO_EXIST,1.0,E,%LAttribute %1$ does not exist.,SASHELP.FSP.OK.SLIST
2008.0,ARGUMENT_MISSING,1.0,E,%LParameter %1 cannot be missing.,SASHELP.FSP.OK.SLIST
2009.0,INVALID_OPEN_MODE,1.0,E,%LOpen mode must be READ or UPDATE.,SASHELP.FSP.OK.SLIST
2010.0,MODEL_DELETE_WITH_VIEWER,1.0,W,This model has one or more viewers attached. %N,SASHELP.FSP.YN.SLIST
2010.0,MODEL_DELETE_WITH_VIEWER,2.0,W,Deleting the model will reset all its viewers. %N,SASHELP.FSP.YN.SLIST
2010.0,MODEL_DELETE_WITH_VIEWER,3.0,W,Do you want to delete the model?,SASHELP.FSP.YN.SLIST
2011.0,OPEN_WITH_OBJECTS,1.0,W,There are objects in the current workarea. %N,SASHELP.FSP.YN.SLIST
2011.0,OPEN_WITH_OBJECTS,2.0,W,Creating a new workarea will remove these objects. %N,SASHELP.FSP.YN.SLIST
2011.0,OPEN_WITH_OBJECTS,3.0,W,Do you want to continue?,SASHELP.FSP.YN.SLIST
2012.0,WHERE_WITHOUT_ROWS,1.0,W,The Where Expression will not be used %N,SASHELP.FSP.OK.SLIST
2012.0,WHERE_WITHOUT_ROWS,2.0,W,because no rows satisfy the condition.,SASHELP.FSP.OK.SLIST
2013.0,TABLE_WITHOUT_COLUMNS,1.0,W,Table %1$ contains no columns. %N,SASHELP.FSP.OK.SLIST
2013.0,TABLE_WITHOUT_COLUMNS,2.0,W,It cannot be used for a model.,SASHELP.FSP.OK.SLIST
2014.0,TABLE_WITHOUT_ROWS,1.0,W,Table %1$ contains no rows. %N,SASHELP.FSP.OK.SLIST
2014.0,TABLE_WITHOUT_ROWS,2.0,W,It cannot be used for a model.,SASHELP.FSP.OK.SLIST
2015.0,LIBREF_CONFLICT,1.0,W,The libref %1$ for the existing model pointed to %N,SASHELP.FSP.OK.SLIST
2015.0,LIBREF_CONFLICT,2.0,W,%2$. The model cannot be used  %N,SASHELP.FSP.OK.SLIST
2015.0,LIBREF_CONFLICT,3.0,W,because %1$ is currently assigned to %N,SASHELP.FSP.OK.SLIST
2015.0,LIBREF_CONFLICT,4.0,W,%3$,SASHELP.FSP.OK.SLIST
2016.0,NO_SELECTED_COLUMNS,1.0,W,There are no selected columns for table %1$.,SASHELP.FSP.OK.SLIST
2017.0,NO_SELECTED_COLUMN_ROLES,1.0,W,There are no selected columns for role %1$.  %N,SASHELP.FSP.YN.SLIST
2017.0,NO_SELECTED_COLUMN_ROLES,2.0,W,A viewer requires at least one column for this role. %N,SASHELP.FSP.OK.SLIST
2017.0,NO_SELECTED_COLUMN_ROLES,3.0,W,Do you want a default column to be selected?,SASHELP.FSP.OK.SLIST
2018.0,NO_MODELS,1.0,W,There are no models available. %N,SASHELP.FSP.OK.SLIST
2018.0,NO_MODELS,2.0,W,Create one by clicking on a Model icon %N,SASHELP.FSP.OK.SLIST
2018.0,NO_MODELS,3.0,W,and then attach it to the viewer.,SASHELP.FSP.OK.SLIST
2023.0,NO_SELECTED_VIEWER,1.0,W,There are no objects selected for printing or exporting. %N,SASHELP.FSP.OK.SLIST
2023.0,NO_SELECTED_VIEWER,2.0,W,Select one or more with CNTL + click.,SASHELP.FSP.OK.SLIST
2019.0,SAVE,1.0,Q,Save changes to %N %1$ ?,SASHELP.FSP.YNC.SLIST
2020.0,NO_VIEWERS,1.0,W,There are no viewers available to print or export. %N,SASHELP.FSP.OK.SLIST
2021.0,INVALID_PASSWORD,1.0,E,Password not supplied for %1$. No viewing allowed.,SASHELP.FSP.OK.SLIST
2022.0,OBSOLETE_MEMBER,1.0,E,Entry %1$ is in Version 8 format. %N,SASHELP.FSP.YN.SLIST
2022.0,OBSOLETE_MEMBER,2.0,E,It cannot be opened in Version 9 by Graph-N-Go or any other application. %N,SASHELP.FSP.YN.SLIST
2022.0,OBSOLETE_MEMBER,3.0,E,Do you want to delete it?,SASHELP.FSP.YN.SLIST
2023.0,REPLACE_EXISTING,1.0,Q,The entry %1$ already exists. %N,SASHELP.FSP.YN.SLIST
2023.0,REPLACE_EXISTING,2.0,Q,Do you want to replace it?,SASHELP.FSP.YN.SLIST
2024.0,NO_SELECTED_MODELS,1.0,W,"If no model classes are selected, you will be unable to create new models. %N",SASHELP.FSP.YN.SLIST
2024.0,NO_SELECTED_MODELS,2.0,W,Is this what you want?,SASHELP.FSP.YN.SLIST
2025.0,NO_SELECTED_VIEWERS,1.0,W,"If no viewer classes are selected, you will be unable to create new viewers. %N",SASHELP.FSP.YN.SLIST
2025.0,NO_SELECTED_VIEWERS,2.0,W,Is this want you want?,SASHELP.FSP.YN.SLIST
2026.0,NO_ANALYSIS,1.0,E,%1$ has no Analysis columns that Graph-N-Go can use. %N,SASHELP.FSP.OK.SLIST
2026.0,NO_ANALYSIS,2.0,E,No model can be created.,SASHELP.FSP.OK.SLIST
2027.0,NO_ID,1.0,W,%1$ plots do not support the ID role. This role will be ignored. %N,SASHELP.FSP.OK.SLIST
2028.0,NOSORTINFO,1.0,N,%1$ plots use Ascending order when the X column is numeric.  %N,SASHELP.FSP.OK.SLIST
2028.0,NOSORTINFO,2.0,N,"If the X column's values are not in ascending order, the plot lines will cross.  %N",SASHELP.FSP.OK.SLIST
2028.0,NOSORTINFO,3.0,N,The data for this model is not sorted by any numeric column.,SASHELP.FSP.OK.SLIST
2029.0,SORTINFO,1.0,N,%1$ plots use Ascending order when the X column is numeric. %N,SASHELP.FSP.OK.SLIST
2029.0,SORTINFO,2.0,N,"If the X column's values are not in ascending order, the plot lines will cross. %N",SASHELP.FSP.OK.SLIST
2029.0,SORTINFO,3.0,N,The data for this model is sorted by numeric column %2$.,SASHELP.FSP.OK.SLIST
