DATE,GNP,CONSUMP,INVEST,EXPORTS,GOVT
1960-01-01,516.1,325.5,88.7,4.3,97.6
1960-04-01,514.5,331.6,78.1,5.1,99.6
1960-07-01,517.7,331.7,77.4,6.5,102.1
1960-10-01,513.0,333.8,68.5,7.7,103.0
1961-01-01,517.4,334.4,69.5,8.3,105.3
1961-04-01,527.9,339.1,74.7,7.0,107.1
1961-07-01,538.5,341.9,81.2,6.6,108.7
1961-10-01,551.5,349.1,83.0,6.9,112.5
1962-01-01,564.4,354.0,87.9,6.3,116.2
1962-04-01,572.2,359.7,88.0,7.6,116.9
1962-07-01,579.2,363.7,89.3,7.3,118.9
1962-10-01,582.8,370.2,85.4,6.6,120.6
1963-01-01,592.1,374.0,88.9,6.9,122.3
1963-04-01,600.3,378.2,92.2,8.5,121.4
1963-07-01,613.1,385.1,95.7,8.0,124.4
1963-10-01,622.1,389.6,95.8,9.5,127.2
1964-01-01,636.9,398.8,98.2,11.5,128.5
1964-04-01,645.6,406.4,98.7,10.2,130.2
1964-07-01,656.0,414.9,100.0,10.9,130.1
1964-10-01,660.6,417.1,101.6,10.9,131.0
1965-01-01,682.7,427.6,114.4,9.0,131.8
1965-04-01,695.0,434.4,114.0,10.8,135.8
1965-07-01,710.7,443.4,117.4,9.5,140.3
1965-10-01,732.0,457.4,118.8,9.5,146.3
1966-01-01,754.8,467.7,128.2,8.7,150.2
1966-04-01,764.6,472.7,129.1,7.6,155.2
1966-07-01,777.7,481.7,127.6,6.4,162.0
1966-10-01,790.9,486.9,129.6,7.3,167.1
1967-01-01,799.7,491.4,125.5,8.0,174.8
1967-04-01,805.9,500.5,120.6,7.8,177.0
1967-07-01,822.9,507.5,126.5,7.4,181.4
1967-10-01,837.1,514.7,130.1,6.4,185.8
1968-01-01,862.9,532.4,133.8,5.2,191.4
1968-04-01,886.7,545.8,137.4,6.1,197.4
1968-07-01,903.6,561.6,136.8,5.6,199.6
1968-10-01,917.4,570.1,139.9,5.0,202.4
1969-01-01,941.3,581.7,151.3,5.2,203.0
1969-04-01,955.6,592.7,151.8,5.1,206.0
1969-07-01,975.4,602.7,158.1,5.3,209.2
1969-10-01,983.5,614.3,151.6,6.8,210.8
1970-01-01,994.2,625.1,146.2,8.1,214.7
1970-04-01,1008.9,635.1,148.2,9.8,215.7
1970-07-01,1027.9,646.8,153.5,8.4,219.1
1970-10-01,1030.9,653.0,147.3,7.5,223.1
1971-01-01,1075.2,671.7,166.6,9.4,227.5
1971-04-01,1094.3,685.2,173.4,5.7,230.0
1971-07-01,1113.9,696.8,177.0,6.1,234.0
1971-10-01,1127.3,712.4,172.9,4.0,238.0
1972-01-01,1166.5,729.3,188.3,2.1,246.8
1972-04-01,1197.2,747.0,199.1,2.2,248.9
1972-07-01,1223.9,764.8,205.7,3.8,249.6
1972-10-01,1263.5,789.2,214.9,4.5,254.8
1973-01-01,1311.6,813.2,228.0,9.5,261.0
1973-04-01,1342.9,827.9,237.8,13.9,263.3
1973-07-01,1369.4,846.2,237.2,21.1,265.0
1973-10-01,1413.3,861.6,252.3,22.5,276.8
1974-01-01,1426.2,880.0,238.1,25.0,283.1
1974-04-01,1459.1,907.8,241.3,14.6,295.5
1974-07-01,1489.1,935.3,238.9,10.7,304.1
1974-10-01,1516.8,943.0,245.1,14.9,313.8
1975-01-01,1524.6,967.4,204.9,29.3,323.1
1975-04-01,1563.5,996.6,204.6,32.7,329.7
1975-07-01,1627.4,1029.6,229.5,29.4,338.9
1975-10-01,1678.2,1057.5,239.3,32.9,348.5
