regionname,protractionname,date,oil,gas
Central,Bay Marchand Area,1996-01-01,93830.0,140339.0
Central,Bay Marchand Area,1996-02-01,86595.0,105069.0
Central,Bay Marchand Area,1996-03-01,92827.0,99941.0
Central,Bay Marchand Area,1996-04-01,88746.0,72398.0
Central,Bay Marchand Area,1996-05-01,67987.0,74693.0
Central,Bay Marchand Area,1996-06-01,101688.0,74251.0
Central,Bay Marchand Area,1996-07-01,106530.0,98990.0
Central,Bay Marchand Area,1996-08-01,106590.0,120124.0
Central,Bay Marchand Area,1996-09-01,96968.0,148798.0
Central,Bay Marchand Area,1996-10-01,76220.0,108610.0
Central,Bay Marchand Area,1996-11-01,85545.0,139721.0
Central,Bay Marchand Area,1996-12-01,91355.0,124750.0
Central,Bay Marchand Area,1997-01-01,74969.0,78324.0
Central,Bay Marchand Area,1997-02-01,58508.0,36069.0
Central,Bay Marchand Area,1997-03-01,63570.0,43418.0
Central,Bay Marchand Area,1997-04-01,51899.0,45780.0
Central,Bay Marchand Area,1997-05-01,50733.0,117987.0
Central,Bay Marchand Area,1997-06-01,53950.0,104946.0
Central,Bay Marchand Area,1997-07-01,48071.0,56396.0
Central,Bay Marchand Area,1997-08-01,47362.0,43055.0
Central,Bay Marchand Area,1997-09-01,39160.0,20530.0
Central,Bay Marchand Area,1997-10-01,40027.0,25510.0
Central,Bay Marchand Area,1997-11-01,41182.0,37900.0
Central,Bay Marchand Area,1997-12-01,38254.0,51936.0
Central,Bay Marchand Area,1998-01-01,64751.0,76440.0
Central,Bay Marchand Area,1998-02-01,60823.0,77503.0
Central,Bay Marchand Area,1998-03-01,54374.0,62374.0
Central,Bay Marchand Area,1998-04-01,42986.0,61829.0
Central,Bay Marchand Area,1998-05-01,38625.0,40561.0
Central,Bay Marchand Area,1998-06-01,31868.0,37932.0
Central,Bay Marchand Area,1998-07-01,33941.0,35628.0
Central,Bay Marchand Area,1998-08-01,37467.0,33503.0
Central,Bay Marchand Area,1998-09-01,23023.0,12411.0
Central,Bay Marchand Area,1998-10-01,35491.0,19222.0
Central,Bay Marchand Area,1998-11-01,27667.0,25463.0
Central,Bay Marchand Area,1998-12-01,32554.0,37502.0
Central,Bay Marchand Area,1999-01-01,34472.0,40001.0
Central,Bay Marchand Area,1999-02-01,45060.0,39789.0
Central,Bay Marchand Area,1999-03-01,57752.0,49519.0
Central,Bay Marchand Area,1999-04-01,45491.0,43965.0
Central,Bay Marchand Area,1999-05-01,45933.0,44765.0
Central,Bay Marchand Area,1999-06-01,31599.0,42070.0
Central,Bay Marchand Area,1999-07-01,30937.0,48406.0
Central,Bay Marchand Area,1999-08-01,32247.0,45104.0
Central,Bay Marchand Area,1999-09-01,32468.0,37713.0
Central,Bay Marchand Area,1999-10-01,33971.0,32941.0
Central,Bay Marchand Area,1999-11-01,22612.0,31656.0
Central,Bay Marchand Area,1999-12-01,17759.0,26026.0
Central,Bay Marchand Area,2000-01-01,24158.0,23776.0
Central,Bay Marchand Area,2000-02-01,19291.0,19811.0
Central,Bay Marchand Area,2000-03-01,16093.0,11989.0
Central,Bay Marchand Area,2000-04-01,14884.0,17020.0
Central,Bay Marchand Area,2000-05-01,14986.0,16372.0
Central,Bay Marchand Area,2000-06-01,25826.0,13623.0
Central,Bay Marchand Area,2000-07-01,25402.0,15492.0
Central,Bay Marchand Area,2000-08-01,27673.0,21084.0
Central,Bay Marchand Area,2000-09-01,18708.0,14951.0
Central,Bay Marchand Area,2000-10-01,18274.0,14273.0
Central,Bay Marchand Area,2000-11-01,15878.0,22995.0
Central,Bay Marchand Area,2000-12-01,16013.0,23373.0
Central,Bay Marchand Area,2001-01-01,17634.0,16075.0
Central,Bay Marchand Area,2001-02-01,20405.0,17673.0
Central,Bay Marchand Area,2001-03-01,21705.0,23126.0
Central,Bay Marchand Area,2001-04-01,16735.0,21581.0
Central,Bay Marchand Area,2001-05-01,17205.0,21300.0
Central,Bay Marchand Area,2001-06-01,17865.0,94585.0
Central,Bay Marchand Area,2001-07-01,16146.0,97477.0
Central,Bay Marchand Area,2001-08-01,14752.0,86839.0
Central,Bay Marchand Area,2001-09-01,16569.0,74627.0
Central,Bay Marchand Area,2001-10-01,12845.0,95606.0
Central,Bay Marchand Area,2001-11-01,7837.0,76069.0
Central,Bay Marchand Area,2001-12-01,9378.0,65876.0
Central,Bay Marchand Area,2002-01-01,9788.0,63322.0
Central,Bay Marchand Area,2002-02-01,9892.0,31202.0
Central,Bay Marchand Area,2002-03-01,10228.0,69425.0
Central,Bay Marchand Area,2002-04-01,15757.0,50385.0
Central,Bay Marchand Area,2002-05-01,28627.0,45771.0
Central,Bay Marchand Area,2002-06-01,51785.0,45249.0
Central,Bay Marchand Area,2002-07-01,47732.0,35242.0
Central,Bay Marchand Area,2002-08-01,46686.0,35102.0
Central,Bay Marchand Area,2002-09-01,44118.0,25184.0
Central,Bay Marchand Area,2002-10-01,51838.0,21167.0
Central,Bay Marchand Area,2002-11-01,50689.0,53032.0
Central,Bay Marchand Area,2002-12-01,44732.0,71378.0
Central,Bay Marchand Area,2003-01-01,27331.0,26210.0
Central,Bay Marchand Area,2003-02-01,31115.0,46586.0
Central,Bay Marchand Area,2003-03-01,48197.0,51710.0
Central,Bay Marchand Area,2003-04-01,43527.0,36612.0
Central,Bay Marchand Area,2003-05-01,42057.0,32173.0
Central,Bay Marchand Area,2003-06-01,40321.0,22550.0
Central,Bay Marchand Area,2003-07-01,35812.0,22594.0
Central,Bay Marchand Area,2003-08-01,25712.0,27307.0
Central,Bay Marchand Area,2003-09-01,21255.0,17711.0
Central,Bay Marchand Area,2003-10-01,21934.0,17263.0
Central,Bay Marchand Area,2003-11-01,20430.0,14031.0
Central,Bay Marchand Area,2003-12-01,29710.0,13156.0
Central,Bay Marchand Area,2004-01-01,26662.0,18499.0
Central,Bay Marchand Area,2004-02-01,23266.0,14850.0
Central,Bay Marchand Area,2004-03-01,24035.0,16864.0
Central,Bay Marchand Area,2004-04-01,15773.0,117056.0
Central,Bay Marchand Area,2004-05-01,11181.0,109148.0
Central,Bay Marchand Area,2004-06-01,16997.0,89577.0
Central,Bay Marchand Area,2004-07-01,28370.0,56277.0
Central,Bay Marchand Area,2004-08-01,19594.0,7553.0
Central,Bay Marchand Area,2004-09-01,7034.0,2818.0
Central,Bay Marchand Area,2004-10-01,11771.0,4119.0
Central,Bay Marchand Area,2004-11-01,15511.0,6225.0
Central,Bay Marchand Area,2004-12-01,12817.0,5900.0
Central,Bay Marchand Area,2005-01-01,6748.0,2872.0
Central,Bay Marchand Area,2005-02-01,9287.0,4168.0
Central,Bay Marchand Area,2005-03-01,11308.0,142419.0
Central,Bay Marchand Area,2005-04-01,10660.0,141007.0
Central,Bay Marchand Area,2005-05-01,12133.0,104574.0
Central,Bay Marchand Area,2005-06-01,16020.0,146512.0
Central,Bay Marchand Area,2005-07-01,17074.0,130782.0
Central,Bay Marchand Area,2005-08-01,14510.0,139924.0
Central,Bay Marchand Area,2005-09-01,,
Central,Bay Marchand Area,2005-10-01,220.0,1494.0
Central,Bay Marchand Area,2005-11-01,0.0,148.0
Central,Bay Marchand Area,2005-12-01,0.0,8543.0
Central,Bay Marchand Area,2006-01-01,621.0,39761.0
Central,Bay Marchand Area,2006-02-01,396.0,6400.0
Central,Breton Sound Area,1996-01-01,78063.0,320917.0
Central,Breton Sound Area,1996-02-01,60793.0,311543.0
Central,Breton Sound Area,1996-03-01,76060.0,296003.0
Central,Breton Sound Area,1996-04-01,77032.0,285629.0
Central,Breton Sound Area,1996-05-01,53964.0,256197.0
Central,Breton Sound Area,1996-06-01,46928.0,227027.0
Central,Breton Sound Area,1996-07-01,69246.0,231605.0
Central,Breton Sound Area,1996-08-01,69663.0,164147.0
Central,Breton Sound Area,1996-09-01,57708.0,145452.0
Central,Breton Sound Area,1996-10-01,53028.0,159835.0
Central,Breton Sound Area,1996-11-01,62480.0,190745.0
Central,Breton Sound Area,1996-12-01,78378.0,203716.0
Central,Breton Sound Area,1997-01-01,90057.0,273331.0
Central,Breton Sound Area,1997-02-01,87843.0,291552.0
Central,Breton Sound Area,1997-03-01,112565.0,424720.0
Central,Breton Sound Area,1997-04-01,136049.0,876078.0
Central,Breton Sound Area,1997-05-01,135413.0,780622.0
Central,Breton Sound Area,1997-06-01,128438.0,786385.0
Central,Breton Sound Area,1997-07-01,116764.0,478189.0
Central,Breton Sound Area,1997-08-01,103011.0,491046.0
Central,Breton Sound Area,1997-09-01,123383.0,604698.0
Central,Breton Sound Area,1997-10-01,129672.0,547361.0
Central,Breton Sound Area,1997-11-01,127611.0,501342.0
Central,Breton Sound Area,1997-12-01,116577.0,448302.0
Central,Breton Sound Area,1998-01-01,116930.0,516430.0
Central,Breton Sound Area,1998-02-01,96465.0,400741.0
Central,Breton Sound Area,1998-03-01,124732.0,759456.0
Central,Breton Sound Area,1998-04-01,97798.0,563242.0
Central,Breton Sound Area,1998-05-01,112128.0,793068.0
Central,Breton Sound Area,1998-06-01,116462.0,817399.0
Central,Breton Sound Area,1998-07-01,113653.0,599967.0
Central,Breton Sound Area,1998-08-01,118444.0,584817.0
Central,Breton Sound Area,1998-09-01,59438.0,355941.0
Central,Breton Sound Area,1998-10-01,84470.0,352389.0
Central,Breton Sound Area,1998-11-01,86537.0,516624.0
Central,Breton Sound Area,1998-12-01,78425.0,437796.0
Central,Breton Sound Area,1999-01-01,73353.0,247313.0
Central,Breton Sound Area,1999-02-01,74673.0,328849.0
Central,Breton Sound Area,1999-03-01,79478.0,381570.0
Central,Breton Sound Area,1999-04-01,71928.0,374185.0
Central,Breton Sound Area,1999-05-01,66665.0,411809.0
Central,Breton Sound Area,1999-06-01,65759.0,387231.0
Central,Breton Sound Area,1999-07-01,74056.0,420925.0
Central,Breton Sound Area,1999-08-01,69713.0,544096.0
Central,Breton Sound Area,1999-09-01,70183.0,503792.0
Central,Breton Sound Area,1999-10-01,69478.0,742502.0
Central,Breton Sound Area,1999-11-01,62765.0,785910.0
Central,Breton Sound Area,1999-12-01,59285.0,738311.0
Central,Breton Sound Area,2000-01-01,61379.0,646154.0
Central,Breton Sound Area,2000-02-01,50879.0,658492.0
Central,Breton Sound Area,2000-03-01,55414.0,807644.0
Central,Breton Sound Area,2000-04-01,74476.0,853350.0
Central,Breton Sound Area,2000-05-01,93893.0,833661.0
Central,Breton Sound Area,2000-06-01,75892.0,659948.0
Central,Breton Sound Area,2000-07-01,76517.0,654281.0
Central,Breton Sound Area,2000-08-01,72469.0,691419.0
Central,Breton Sound Area,2000-09-01,61619.0,653834.0
Central,Breton Sound Area,2000-10-01,90646.0,866352.0
Central,Breton Sound Area,2000-11-01,78635.0,928566.0
Central,Breton Sound Area,2000-12-01,75028.0,952713.0
Central,Breton Sound Area,2001-01-01,85043.0,898016.0
Central,Breton Sound Area,2001-02-01,80499.0,821698.0
Central,Breton Sound Area,2001-03-01,80347.0,890464.0
Central,Breton Sound Area,2001-04-01,69797.0,788685.0
Central,Breton Sound Area,2001-05-01,71324.0,813493.0
Central,Breton Sound Area,2001-06-01,69503.0,745775.0
Central,Breton Sound Area,2001-07-01,50605.0,674152.0
Central,Breton Sound Area,2001-08-01,64320.0,635318.0
Central,Breton Sound Area,2001-09-01,52857.0,456369.0
Central,Breton Sound Area,2001-10-01,51494.0,442555.0
Central,Breton Sound Area,2001-11-01,43137.0,408078.0
Central,Breton Sound Area,2001-12-01,50836.0,418237.0
Central,Breton Sound Area,2002-01-01,44296.0,367440.0
