Term,Role
אבוי,Interj
אבל,Conj
אה,Interj
אהה,Interj
או,Conj
אודות,Prep
אוי,Interj
אויה,Interj
אולם,Conj
אוף,Interj
אות,Pron
אותה,Pron
אותו,Pron
אותי,Pron
"אח""כ",Conj
אחר-כך,Conj
אחרי,Prep
אחרי,Pron
איזה,Pron
איזהו,Pron
איזו,Pron
איזוהי,Pron
איזושהי,Pron
איזשהו,Pron
איכס,Interj
אילו,Conj
אילו,Pron
אילולא,Conj
איפוא,Pron
איתה,Pron
איתו,Pron
איתך,Pron
איתכם,Pron
אך,Conj
אל,Prep
אלא,Conj
אלה,Pron
אלו,Pron
אלמוני,Pron
אלמלא,Conj
אם,Conj
אנא,Interj
אנו,Pron
אנוכי,Pron
אנחנו,Pron
אני,Pron
"אע""פ",Conj
אף,Conj
אפילו,Conj
אצל,Prep
אשר,Conj
אשר,Pron
אשרי,Interj
את,Prep
אתה,Pron
באם,Conj
בגין,Prep
בגלל,Conj
בגלל,Prep
בה,Pron
בהם,Pron
בהן,Pron
בו,Pron
בזמן,Conj
בטרם,Prep
בי,Pron
בין,Prep
בך,Pron
בכם,Pron
בכן,Pron
בלי,Prep
בלעדי,Prep
בלתי,Prep
בם,Pron
במו,Prep
במחיצת,Prep
בנו,Pron
בעד,Prep
בעוד,Conj
בעטיו,Prep
בעיצום,Prep
בפני,Prep
בקרב,Prep
בתוך,Prep
בתוככי,Prep
בתיאבון,Interj
דהיינו,Conj
האם,Pron
ההוא,Pron
ההיא,Pron
הו,Interj
הוא,Pron
הודות,Prep
הוי,Interj
היא,Pron
הידד,Interj
היה,Verb
היכן,Pron
הילך,Prep
הינה,Pron
הינו,Pron
הלה,Pron
הלז,Pron
הלזה,Pron
הלזו,Pron
הללו,Pron
הללויה,Interj
הם,Pron
הן,Pron
הנה,Prep
הרי,Interj
ואו,Interj
ובה,Prep
וואלה,Interj
וכי,Pron
זאת,Pron
זה,Pron
זהו,Pron
זו,Pron
זוהי,Pron
חה,Interj
חלילה,Interj
יאללה,Interj
ידי,Prep
כ,Prep
כאילו,Conj
כאלה,Pron
כאשר,Conj
כגון,Prep
כדי,Prep
כזאת,Pron
כזה,Pron
כזו,Pron
כי,Conj
כיוון,Conj
כלום,Pron
כלומר,Conj
כלפי,Prep
כלשהו,Pron
כלשהוא,Pron
כלשהי,Pron
כלשהיא,Pron
כמה,Pron
כמו,Prep
כמות,Prep
כפי,Conj
כשם,Conj
לאור,Prep
לאחורי,Prep
לבל,Conj
לה,Pron
להם,Pron
להן,Pron
לו,Conj
לו,Pron
לולא,Conj
לי,Pron
ליד,Prep
לך,Pron
לכם,Pron
לכן,Conj
לכן,Pron
ללא,Prep
למעט,Conj
למען,Prep
למרות,Conj
לנו,Pron
לעומת,Prep
לפי,Prep
לפיכך,Conj
לפני,Prep
לצד,Prep
לקראת,Prep
לשם,Prep
מ,Prep
מאשר,Conj
מה,Pron
מהו,Pron
מהי,Pron
מהם,Pron
מהן,Pron
מול,Prep
מול,Pron
מי,Pron
מיהו,Pron
מיהי,Pron
מיהם,Pron
מיהן,Pron
מישהו,Pron
מישהי,Pron
מן,Prep
מעל,Prep
משדה,Prep
משהו,Pron
משום,Conj
מתי,Pron
נא,Interj
נגד,Prep
סביב,Prep
"ע""פ",Conj
עבור,Prep
עד,Prep
על,Prep
על-יד,Prep
על-ידי,Prep
על-סמך,Conj
על-פי,Conj
עם,Prep
"עפ""י",Prep
פוי,Interj
פויה,Interj
פלוני,Pron
פן,Prep
פששש,Interj
רק,Conj
שאת,Pron
שכן,Conj
של,Prep
שמא,Conj
תוך,Prep
תחת,Prep
