Term,Role
अंदर,Prep
अगर,Conj
अतः,Conj
अतएव,Conj
अतिरिक्त,Prep
अथवा,Conj
अन्दर,Prep
अपना,Pron
अपनी,Pron
अपनेआप,Pron
अपेक्षा,Conj
अर्थात,Conj
अर्थात्,Conj
अलबत्ता,Conj
आप,Pron
आपका,Pron
आपको,Pron
आपसे,Pron
आरपार,Prep
आह,Interj
इन,Pron
इनका,Pron
इन्हें,Pron
इस,Det
इस,Pron
इसका,Pron
इसको,Pron
इसलिए,Conj
इसलिये,Conj
इससे,Conj
इसी,Det
उन,Pron
उनका,Pron
उनकी,Pron
उनमें,Pron
उनसे,Pron
उन्ही,Pron
उन्हे,Pron
उन्होंने,Pron
उन्‍हें,Pron
उस,Pron
उसका,Pron
उसको,Pron
ऊपर,Prep
ऎसा,Det
ऎसे,Det
एवं,Conj
ओर,Prep
और,Conj
कया,Pron
कहीं,Conj
का,Prep
कि,Conj
किंतु,Conj
किधर,Pron
किनका,Pron
किन्तु,Conj
किसका,Pron
किसके,Pron
किसलिये,Pron
किससे,Pron
किसे,Pron
की,Prep
कुछ,Pron
कैसा,Pron
को,Prep
कोई,Pron
कौन,Pron
कौनसा,Pron
क्या,Pron
क्यों,Pron
क्योंकि,Conj
ख़ुद,Pron
खुद,Pron
गूगल,Pron
चाहना,Verb
चूंकि,Conj
जबकि,Conj
जरिए,Prep
जहाँ,Pron
जितना,Conj
जिन,Pron
जिन्हें,Pron
जिस,Det
जिस,Pron
जिसन,Pron
जिसमें,Pron
जिससे,Pron
जैसे,Conj
जैसे,Pron
जो,Pron
जोकि,Pron
तक,Prep
तत्था,Conj
तथा,Conj
तथापि,Conj
तब,Pron
तरफ,Prep
तले,Prep
ताकि,Conj
तुम,Pron
तुमको,Pron
तुम्हारा,Pron
तुम्हारे,Pron
तुम्हें,Pron
तू,Pron
तेरा,Pron
तो,Conj
द्वारा,Prep
नीचे,Prep
ने,Prep
पर,Prep
परंतु,Conj
परन्तु,Conj
परे,Prep
पश्चात,Prep
पहले,Prep
पीछे,Prep
पे,Prep
प्रति,Prep
प्रतिकूल,Prep
प्रत्येक,Pron
फ़ेसबुक,Pron
फिर,Conj
बगैर,Prep
बजाय,Conj
बढ़कर,Prep
बनाम,Conj
बनिस्बत,Conj
बशर्ते,Conj
बहरहाल,Conj
बाद,Conj
बाबत,Prep
बारे,Prep
बावजूद,Conj
बावजूद,Prep
भीतर,Prep
मगर,Conj
मसलन,Conj
मानो,Conj
मिलकर,Prep
मुझको,Pron
मुझसे,Pron
में,Prep
मेरा,Pron
मैं,Pron
मौं,Pron
यथा,Prep
यदि,Conj
यद्यपि,Conj
यह,Pron
या,Conj
ये,Pron
रहना,Verb
लगना,Verb
लिए,Prep
लिहाजा,Conj
लेकिन,Conj
लेना,Verb
व,Conj
वह,Pron
वा,Conj
वापिस,Prep
वाला,Pron
वाली,Pron
वालों,Pron
वास्ते,Prep
वाह,Interj
वे,Pron
वो,Pron
शुभकामनाएं,Interj
सकना,Verb
सबक,Pron
सबको,Pron
सबने,Pron
समक्ष,Prep
समस्त,Pron
सर्वस्व,Pron
सहित,Prep
साथ,Prep
सामने,Prep
सिवाय,Conj
सिवाय,Prep
सुनिए,Interj
से,Prep
स्वयं,Pron
स्वयम्,Pron
हम,Pron
हमसे,Pron
हमारा,Pron
हर,Pron
हाय,Interj
हालाँकि,Conj
हालांकि,Conj
होना,Verb
िजनमें,Pron
