unicode,pcms
U+F266,8740
U+F267,8741
U+F268,8742
U+F269,8743
U+F26A,8744
U+F26B,8745
U+F26C,8746
U+F26D,8747
U+F26E,8748
U+F26F,8749
U+F270,874A
U+F271,874B
U+F272,874C
U+F273,874D
U+F274,874E
U+F275,874F
U+F276,8750
U+F277,8751
U+F278,8752
U+F279,8753
U+F27A,8754
U+F27B,8755
U+F27C,8756
U+F27D,8757
U+F27E,8758
U+F27F,8759
U+F280,875A
U+F281,875B
U+F282,875C
U+F283,875D
U+F284,875E
U+F285,875F
U+F286,8760
U+F287,8761
U+F288,8762
U+F289,8763
U+F28A,8764
U+F28B,8765
U+F28D,8767
U+F28E,8768
U+F28F,8769
U+F290,876A
U+F291,876B
U+F292,876C
U+F293,876D
U+F294,876E
U+F295,876F
U+F296,8770
U+F297,8771
U+F298,8772
U+F299,8773
U+F29A,8774
U+F29B,8775
U+F29C,8776
U+F29D,8777
U+F29E,8778
U+F29F,8779
U+F303,8840
U+F304,8841
U+F305,8842
U+F306,8843
U+F307,8844
U+F308,8845
U+F309,8846
U+F30A,8847
U+F30B,8848
U+F30C,8849
U+F30D,884A
U+F30E,884B
U+F30F,884C
U+F310,884D
U+F311,884E
U+F312,884F
U+F313,8850
U+F314,8851
U+F315,8852
U+F316,8853
U+F317,8854
U+F318,8855
U+F34A,88A9
U+F34B,88AA
U+F3A0,8940
U+F3A1,8941
U+F3AC,894C
U+F3F0,89B2
U+F3F9,89BB
U+F3FA,89BC
U+F3FC,89BE
U+F408,89CA
U+F409,89CB
U+F40A,89CC
U+F40B,89CD
U+F43D,8A40
U+F440,8A43
U+F441,8A44
U+F442,8A45
U+F444,8A47
U+F446,8A49
U+F448,8A4B
U+F449,8A4C
U+F44B,8A4E
U+F44D,8A50
U+F450,8A53
U+F451,8A54
U+F452,8A55
U+F454,8A57
U+F455,8A58
U+F456,8A59
U+F457,8A5A
U+F45A,8A5D
U+F45B,8A5E
U+F45C,8A5F
U+F45D,8A60
U+F45E,8A61
U+F45F,8A62
U+F461,8A64
U+F462,8A65
U+F463,8A66
U+F465,8A68
U+F466,8A69
U+F469,8A6C
U+F46C,8A6F
U+F46D,8A70
U+F46E,8A71
U+F46F,8A72
U+F474,8A77
U+F477,8A7A
U+F478,8A7B
U+F479,8A7C
U+F47B,8A7E
U+F47C,8AA1
U+F47D,8AA2
U+F47E,8AA3
U+F480,8AA5
U+F481,8AA6
U+F483,8AA8
U+F484,8AA9
U+F485,8AAA
U+F488,8AAD
U+F48B,8AB0
U+F48D,8AB2
U+F48E,8AB3
U+F48F,8AB4
U+F490,8AB5
U+F491,8AB6
U+F497,8ABC
U+F498,8ABD
U+F49B,8AC0
U+F49E,8AC3
U+F4A4,8AC9
U+F4A5,8ACA
U+F4A6,8ACB
U+F4A7,8ACC
U+F4A9,8ACE
U+F4AA,8ACF
U+F4AD,8AD2
U+F4AF,8AD4
U+F4B0,8AD5
U+F4B2,8AD7
U+F4B3,8AD8
U+F4B4,8AD9
U+F4B7,8ADC
U+F4BA,8ADF
U+F4BB,8AE0
U+F4BC,8AE1
U+F4BD,8AE2
U+F4BE,8AE3
U+F4BF,8AE4
U+F4C0,8AE5
U+F4C1,8AE6
U+F4C3,8AE8
U+F4C4,8AE9
U+F4C5,8AEA
U+F4C7,8AEC
U+F4C8,8AED
U+F4C9,8AEE
U+F4CA,8AEF
U+F4CC,8AF1
U+F4CD,8AF2
U+F4CE,8AF3
U+F4CF,8AF4
U+F4D1,8AF6
U+F4D2,8AF7
U+F4D3,8AF8
U+F4D4,8AF9
U+F4D5,8AFA
U+F4D7,8AFC
U+F4D9,8AFE
U+F4DA,8B40
U+F4DB,8B41
U+F4DC,8B42
U+F4DD,8B43
U+F4DE,8B44
U+F4DF,8B45
U+F4E0,8B46
U+F4E2,8B48
U+F4E3,8B49
U+F4E4,8B4A
U+F4E5,8B4B
U+F4E6,8B4C
U+F4E7,8B4D
U+F4E8,8B4E
U+F4E9,8B4F
U+F4EF,8B55
U+F4F2,8B58
U+F4F3,8B59
U+F4F8,8B5E
U+F4FC,8B62
U+F4FE,8B64
U+F4FF,8B65
U+F500,8B66
U+F501,8B67
U+F503,8B69
U+F505,8B6B
U+F507,8B6D
U+F508,8B6E
U+F509,8B6F
U+F50A,8B70
U+F50B,8B71
U+F50C,8B72
U+F50D,8B73
U+F50E,8B74
U+F50F,8B75
U+F510,8B76
U+F511,8B77
U+F513,8B79
U+F514,8B7A
U+F515,8B7B
U+F516,8B7C
U+F518,8B7E
U+F519,8BA1
U+F51A,8BA2
U+F51B,8BA3
U+F51C,8BA4
U+F51D,8BA5
U+F51F,8BA7
U+F520,8BA8
U+F521,8BA9
U+F522,8BAA
U+F523,8BAB
U+F524,8BAC
U+F525,8BAD
U+F526,8BAE
U+F52A,8BB2
U+F533,8BBB
U+F534,8BBC
U+F53A,8BC2
U+F53B,8BC3
U+F53D,8BC5
U+F54E,8BD6
U+F553,8BDB
U+F556,8BDE
U+F559,8BE1
U+F55A,8BE2
U+F55E,8BE6
U+F565,8BED
U+F56B,8BF3
U+F572,8BFA
U+F579,8C42
U+F57A,8C43
U+F57D,8C46
U+F581,8C4A
U+F583,8C4C
U+F585,8C4E
U+F58B,8C54
U+F58C,8C55
U+F58E,8C57
U+F593,8C5C
U+F596,8C5F
U+F599,8C62
U+F59B,8C64
U+F59C,8C65
U+F5A0,8C69
U+F5A3,8C6C
U+F5A4,8C6D
U+F5AB,8C74
U+F5B0,8C79
U+F5B4,8C7D
U+F5B6,8CA1
U+F5B9,8CA4
U+F5BD,8CA8
U+F5C0,8CAB
U+F5C4,8CAF
U+F5C5,8CB0
U+F5CC,8CB7
U+F5CE,8CB9
U+F5D0,8CBB
U+F5D5,8CC0
U+F5D6,8CC1
U+F5D7,8CC2
U+F5E4,8CCF
U+F5E6,8CD1
U+F5E8,8CD3
U+F5EA,8CD5
U+F5EB,8CD6
U+F5EC,8CD7
U+F5ED,8CD8
U+F5EF,8CDA
U+F5F0,8CDB
U+F5F2,8CDD
U+F5F3,8CDE
U+F5F4,8CDF
U+F5F5,8CE0
U+F5F6,8CE1
U+F5F7,8CE2
U+F5F8,8CE3
U+F5F9,8CE4
U+F5FB,8CE6
U+F5FC,8CE7
U+F5FD,8CE8
U+F5FE,8CE9
U+F5FF,8CEA
U+F600,8CEB
U+F601,8CEC
U+F602,8CED
U+F603,8CEE
U+F604,8CEF
U+F605,8CF0
U+F606,8CF1
U+F607,8CF2
U+F608,8CF3
U+F609,8CF4
U+F60A,8CF5
U+F60B,8CF6
U+F60C,8CF7
U+F60D,8CF8
U+F60E,8CF9
U+F60F,8CFA
U+F610,8CFB
U+F611,8CFC
U+F612,8CFD
U+F613,8CFE
U+F614,8D40
U+F616,8D42
U+F617,8D43
U+F618,8D44
U+F619,8D45
U+F61A,8D46
U+F61B,8D47
U+F61C,8D48
U+F61D,8D49
U+F61E,8D4A
U+F61F,8D4B
U+F620,8D4C
U+F621,8D4D
U+F622,8D4E
U+F623,8D4F
U+F624,8D50
U+F625,8D51
U+F626,8D52
U+F627,8D53
U+F628,8D54
U+F629,8D55
U+F62A,8D56
U+F62B,8D57
U+F62C,8D58
U+F62D,8D59
U+F62E,8D5A
U+F62F,8D5B
U+F630,8D5C
U+F631,8D5D
U+F632,8D5E
U+F633,8D5F
U+F694,8DE2
U+F69E,8DEC
U+F6AD,8DFB
U+F6B0,8DFE
U+E311,8E40
U+E313,8E42
U+E315,8E44
U+E318,8E47
U+E31B,8E4A
U+E31C,8E4B
U+E31F,8E4E
U+E325,8E54
U+E32C,8E5B
U+E330,8E5F
U+E331,8E60
U+E335,8E64
U+E336,8E65
U+E33B,8E6A
U+E33D,8E6C
U+E342,8E71
U+E345,8E74
U+E348,8E77
U+E352,8EA3
U+E354,8EA5
U+E35B,8EAC
U+E35C,8EAD
U+E360,8EB1
U+E362,8EB3
U+E364,8EB5
U+E365,8EB6
U+E36F,8EC0
U+E372,8EC3
U+E374,8EC5
U+E375,8EC6
U+E377,8EC8
U+E379,8ECA
U+E37B,8ECC
U+E381,8ED2
U+E382,8ED3
U+E386,8ED7
U+E388,8ED9
U+E389,8EDA
U+E38A,8EDB
U+E38D,8EDE
U+E391,8EE2
U+E393,8EE4
U+E394,8EE5
U+E396,8EE7
U+E398,8EE9
U+E39A,8EEB
U+E39B,8EEC
U+E39E,8EEF
U+E39F,8EF0
U+E3A0,8EF1
U+E3A2,8EF3
U+E3A5,8EF6
U+E3A6,8EF7
U+E3A7,8EF8
U+E3A8,8EF9
U+E3A9,8EFA
U+E3AC,8EFD
U+E3B1,8F43
U+E3B2,8F44
U+E3B4,8F46
U+E3B5,8F47
U+E3B9,8F4B
U+E3BA,8F4C
U+E3BB,8F4D
U+E3BC,8F4E
U+E3BD,8F4F
U+E3C3,8F55
U+E3C8,8F5A
U+E3CC,8F5E
U+E3CD,8F5F
U+E3CF,8F61
U+E3D5,8F67
U+E3D8,8F6A
U+E3D9,8F6B
U+E3DA,8F6C
U+E3E1,8F73
U+E3E3,8F75
U+E3E7,8F79
U+E3ED,8FA1
U+E3EE,8FA2
U+E3F0,8FA4
U+E3F2,8FA6
U+E3F3,8FA7
U+E3F4,8FA8
U+E3F8,8FAC
U+E3FA,8FAE
U+E3FD,8FB1
U+E3FF,8FB3
U+E409,8FBD
U+E40A,8FBE
U+E40B,8FBF
U+E414,8FC8
U+E41B,8FCF
U+E41D,8FD1
U+E41E,8FD2
U+E423,8FD7
U+E425,8FD9
U+E426,8FDA
U+E428,8FDC
U+E42C,8FE0
U+E42D,8FE1
U+E432,8FE6
U+E436,8FEA
U+E43A,8FEE
U+E43B,8FEF
U+E43C,8FF0
U+E43E,8FF2
U+E440,8FF4
U+E441,8FF5
U+E444,8FF8
U+E448,8FFC
U+E44C,9041
U+E44D,9042
U+E44E,9043
U+E450,9045
U+E451,9046
U+E459,904E
U+E45A,904F
U+E45D,9052
U+E45E,9053
U+E461,9056
U+E462,9057
U+E463,9058
U+E465,905A
U+E467,905C
U+E468,905D
U+E469,905E
U+E46A,905F
U+E46C,9061
U+E46E,9063
U+E46F,9064
U+E471,9066
U+E472,9067
U+E474,9069
U+E476,906B
U+E47E,9073
U+E47F,9074
U+E484,9079
U+E486,907B
U+E487,907C
U+E488,907D
U+E489,907E
U+E48A,90A1
U+E48D,90A4
U+E48E,90A5
U+E491,90A8
U+E492,90A9
U+E495,90AC
U+E496,90AD
U+E497,90AE
U+E4A1,90B8
U+E4A2,90B9
U+E4A3,90BA
U+E4A4,90BB
U+E4AB,90C2
U+E4AF,90C6
U+E4B3,90CA
U+E4B4,90CB
U+E4B5,90CC
U+E4B6,90CD
U+E4B7,90CE
U+E4B8,90CF
U+E4B9,90D0
U+E4BA,90D1
U+E4C1,90D8
U+E4C6,90DD
U+E4C9,90E0
U+E4CD,90E4
U+E4CE,90E5
U+E4D6,90ED
U+E4D9,90F0
U+E4DC,90F3
U+E4DD,90F4
U+E4E4,90FB
U+E4E6,90FD
U+E4E7,90FE
U+E4E8,9140
U+E4EE,9146
U+E4EF,9147
U+E4F6,914E
U+E4F8,9150
U+E4F9,9151
U+E4FF,9157
U+E501,9159
U+E502,915A
U+E505,915D
U+E50A,9162
U+E50D,9165
U+E50F,9167
U+E512,916A
U+E514,916C
