Term,Role
a,Conj
aj,Intj
ako,Conj
ali,Conj
be,Intj
bez,Prep
bi,Verb
bilo,Part
biti,Verb
blizu,Prep
bravo,Intj
bude,Verb
choo,Intj
circa,Prep
da,Conj
dakle,Conj
dali,Pron
de,Intj
deset,Num
desetak,Num
devedeset,Num
devet,Num
diljem,Prep
do,Prep
dobrodošli,Intj
dok,Conj
doli,Conj
dolje,Intj
drugi,Pron
duž,Prep
dva,Num
dvadeset,Num
dvanaest,Num
dve,Num
dvije,Num
e,Intj
eh,Intj
eto,Part
evo,Part
glede,Prep
god,Part
hajde,Intj
hej,Intj
hey,Intj
hrk,Intj
i,Conj
i,Num
i/ili,Conj
iako,Conj
ii,Num
iib,Num
iii,Num
ili,Conj
ispod,Prep
ispred,Prep
iv,Num
ix,Num
iz,Prep
iza,Prep
između,Prep
iznad,Prep
izvan,Prep
ja,Pron
je,Intj
je,Part
jedan,Num
jedanaest,Num
jel,Pron
jel'da,Pron
jel'te,Pron
jeli,Pron
jer,Conj
jest,Intj
jo,Intj
joj,Intj
ju,Pron
k,Prep
ka,Prep
kad,Conj
kada,Conj
kaj,Pron
kako,Conj
kao,Prep
ko,Pron
kod,Prep
koji,Conj
kraj,Prep
kroz,Prep
kudos,Intj
li,Pron
m,Num
makar,Conj
mc,Num
mcc,Num
mccc,Num
mcd,Num
mcm,Num
mcmxc,Num
mcmxci,Num
mcmxcii,Num
mcmxciii,Num
mcmxciv,Num
mcmxcix,Num
mcmxcv,Num
mcmxcvi,Num
mcmxcvii,Num
mcmxcviii,Num
md,Num
mdc,Num
mdcc,Num
mdccc,Num
među,Prep
međutim,Conj
mi,Pron
mimo,Prep
mjesto,Prep
mm,Num
mmi,Num
mmii,Num
mmiii,Num
mmiv,Num
mmix,Num
mmv,Num
mmvi,Num
mmvii,Num
mmviii,Num
mmx,Num
mmxi,Num
mmxiii,Num
mmxiv,Num
mmxix,Num
mmxv,Num
mmxvi,Num
mmxvii,Num
mmxviii,Num
mmxx,Num
morati,Verb
moći,Verb
na,Intj
na,Prep
nad,Prep
nadomak,Prep
nakon,Prep
nakraj,Prep
nasuprot,Prep
ne,Pron
nebiti,Verb
nego,Conj
nek,Pron
neka,Conj
neka,Pron
neka,Verb
nemati,Verb
netko,Pron
neće,Verb
nešto,Pron
ni,Conj
ni,Pron
nisati,Verb
nisti,Verb
niti,Conj
nitko,Pron
niz,Prep
ništa,Pron
niže,Prep
no,Conj
o,Prep
od,Prep
odnosno,Conj
oh,Intj
ok,Intj
okay,Intj
oko,Prep
on,Pron
ona,Pron
onda,Conj
one,Pron
oni,Pron
ono,Pron
op,Intj
osam,Num
osamnaest,Num
osim,Prep
otkad,Conj
otkako,Conj
ovaj,Pron
pa,Conj
pak,Conj
pedeset,Num
pet,Num
petnaest,Num
po,Prep
pod,Prep
pokraj,Prep
pola,Num
pola,Part
poput,Prep
pored,Prep
poslije,Prep
pošto,Conj
pre,Prep
pred,Prep
preko,Prep
prema,Prep
premda,Conj
pri,Prep
prije,Prep
prijeko,Prep
protiv,Prep
radi,Prep
s,Prep
sa,Prep
se,Pron
sebe,Pron
sedam,Num
sedamnaest,Num
sobom,Pron
sto,Num
stoga,Conj
stotina,Num
stotine,Num
stotinjak,Num
stotinu,Num
suprot,Prep
svako,Pron
svatko,Pron
sve,Pron
svi,Pron
te,Conj
ti,Pron
tisuća,Num
tko,Pron
to,Pron
tokom,Prep
trebati,Verb
tri,Num
trideset,Num
u,Prep
ukoliko,Conj
unatoč,Prep
uprkos,Prep
uslijed,Prep
usprkos,Prep
usred,Prep
uto,Conj
utoliko,Conj
uz,Prep
v,Num
van,Conj
van,Intj
vi,Num
vi,Pron
vii,Num
viih,Num
viii,Num
viim,Num
x,Num
xi,Num
xii,Num
xiii,Num
xiv,Num
xix,Num
xl,Num
xv,Num
xvi,Num
xvii,Num
xviii,Num
xx,Num
xxi,Num
xxii,Num
xxiii,Num
xxiv,Num
xxix,Num
xxl,Num
xxv,Num
xxvi,Num
xxvii,Num
xxviii,Num
xxx,Num
za,Prep
zar,Pron
zbog,Prep
zbogom,Intj
zdravo,Intj
četiri,Num
četrdeset,Num
četrnaest,Num
šesnaest,Num
šest,Num
šezdeset,Num
šta,Pron
što,Conj
što,Pron
