BulbTemp,Humidity,AirTemp,ColorVar
1.0,67.0,0.0,CX0000FF
2.0,33.0,0.0,CX0000FF
3.0,1.0,0.0,CX0000FF
1.0,73.0,5.0,CX0900F6
2.0,46.0,5.0,CX0900F6
3.0,20.0,5.0,CX0900F6
1.0,78.0,10.0,CX1200ED
2.0,56.0,10.0,CX1200ED
3.0,34.0,10.0,CX1200ED
4.0,13.0,10.0,CX1200ED
5.0,5.0,10.0,CX1200ED
1.0,82.0,15.0,CX1B00E4
2.0,64.0,15.0,CX1B00E4
3.0,46.0,15.0,CX1B00E4
4.0,29.0,15.0,CX1B00E4
5.0,11.0,15.0,CX1B00E4
1.0,85.0,20.0,CX2400DB
2.0,70.0,20.0,CX2400DB
3.0,55.0,20.0,CX2400DB
4.0,40.0,20.0,CX2400DB
5.0,26.0,20.0,CX2400DB
6.0,12.0,20.0,CX2400DB
1.0,87.0,25.0,CX2D00D2
2.0,74.0,25.0,CX2D00D2
3.0,62.0,25.0,CX2D00D2
4.0,49.0,25.0,CX2D00D2
5.0,37.0,25.0,CX2D00D2
6.0,25.0,25.0,CX2D00D2
7.0,13.0,25.0,CX2D00D2
8.0,1.0,25.0,CX2D00D2
1.0,89.0,30.0,CX3600C9
2.0,78.0,30.0,CX3600C9
3.0,67.0,30.0,CX3600C9
4.0,56.0,30.0,CX3600C9
5.0,46.0,30.0,CX3600C9
6.0,36.0,30.0,CX3600C9
7.0,26.0,30.0,CX3600C9
8.0,16.0,30.0,CX3600C9
9.0,6.0,30.0,CX3600C9
1.0,91.0,35.0,CX3F00C0
2.0,81.0,35.0,CX3F00C0
3.0,72.0,35.0,CX3F00C0
4.0,63.0,35.0,CX3F00C0
5.0,54.0,35.0,CX3F00C0
6.0,45.0,35.0,CX3F00C0
7.0,36.0,35.0,CX3F00C0
8.0,27.0,35.0,CX3F00C0
9.0,19.0,35.0,CX3F00C0
10.0,10.0,35.0,CX3F00C0
11.0,2.0,35.0,CX3F00C0
1.0,92.0,40.0,CX4800B7
2.0,83.0,40.0,CX4800B7
3.0,75.0,40.0,CX4800B7
4.0,68.0,40.0,CX4800B7
5.0,60.0,40.0,CX4800B7
6.0,52.0,40.0,CX4800B7
7.0,45.0,40.0,CX4800B7
8.0,37.0,40.0,CX4800B7
9.0,29.0,40.0,CX4800B7
10.0,22.0,40.0,CX4800B7
