Term,Role
a,Det
abba,Pref
abbeli,Pron
afféle,Pron
ah,Interj
ahanyadik,Pron
ahogy,Adv
ahogyan,Adv
ahol,Adv
ahonnan,Adv
ahova,Adv
ahová,Adv
ahá,Interj
ahány,Pron
ahányadik,Pron
ahányfajta,Pron
ahányféle,Pron
aj,Interj
akarja,Interj
aki,Pron
akkora,Pron
akár,Conj
akárcsak,Conj
akárha,Conj
akárhány,Det
akárki,Pron
akármelyik,Pron
akármennyi,Det
akármi,Pron
akármilyen,Pron
alatt,Pref
aligha,Interj
alighogy,Conj
alul,Pref
alá,Pref
alá,Pron
alól,Pref
ama,Pron
amaz,Pron
ameddig,Adv
amekkora,Pron
amely,Pron
amelyik,Pron
amennyi,Det
amennyi,Pron
amerre,Adv
amerről,Adv
amettől,Adv
ami,Pron
amiféle,Pron
amikor,Adv
amilyen,Pron
amint,Conj
aminthogy,Conj
amióta,Adv
amolyan,Pron
amíg,Conj
annyi,Pron
annyiamennyi,Det
annyiféle,Pron
annyit,Pron
avagy,Conj
az,Det
az,Pron
azaz,Conj
azonban,Conj
azért,Conj
azért,Pron
azértazért,Pron
be,Pref
bele,Pref
belé,Pron
belül,Pref
benn,Pref
bezzeg,Interj
bravó,Interj
bumm,Interj
bután,Conj
bár,Conj
bárcsak,Conj
bárki,Pron
bármekkora,Pron
bármely,Pron
bármelyik,Pron
bármennyi,Pron
bármi,Pron
bármiféle,Pron
bármilyen,Pron
csak,Conj
csakhogy,Conj
csaó,Interj
csiba,Interj
csitt,Interj
csuhaj,Interj
csupa,Det
de,Conj
dehogy,Conj
durr,Interj
e,Interj
effajta,Pron
efféle,Pron
egy,Det
egyik,Pron
egyikmásik,Pron
egykutya,Interj
egymás,Pron
egyéb,Pron
egyébiránt,Conj
együtt,Pref
eh,Interj
ej,Interj
ej-haj,Interj
ej-huj,Interj
ejha,Interj
ejnye,Interj
el,Pref
ellen,Pref
ellenben,Conj
ellene,Pron
elé,Pref
elé,Pron
elébe,Pron
elő,Pref
elől,Pref
előtt,Pref
előtte,Pron
eme,Pron
emez,Pron
ennyi,Det
ennyiféle,Pron
ennélfogva,Conj
enyéim,Pron
enyém,Pron
enyémek,Pron
eredményeképp,Pref
ex,Interj
ez,Pron
ezaz,Pron
ezelőtt,Pref
ezkívül,Pref
eztazt,Pron
ezért,Conj
fel,Pref
felalá,Pron
fele,Pref
felett,Pref
felette,Pron
felé,Pref
felé,Pron
felül,Pref
felől,Pref
fenn,Pref
folytán,Pref
forrón,Conj
fuccs,Interj
föl,Pref
fölalá,Pron
fölé,Pref
fölé,Pron
fölött,Pref
fölötte,Pron
fölül,Pref
fönn,Pref
gazdagon,Conj
gyalog,Conj
gyengén,Conj
gyű,Interj
ha,Conj
habár,Conj
hacsak,Conj
haha,Interj
hahaha,Interj
hahó,Interj
hallga,Interj
hanem,Conj
hanyadik,Pron
haza,Pref
hehe,Interj
hej,Interj
helló,Conj
helyett,Pref
hihihi,Interj
hipphopp,Interj
hisz,Conj
hiszen,Conj
hm,Interj
hogy,Adv
hogy,Conj
hogyan,Adv
hogyha,Conj
hogyne,Conj
hogysem,Conj
hohó,Interj
hol,Adv
holnap,Conj
holott,Conj
honnan,Adv
hopp,Interj
hoppá,Interj
hova,Adv
hovatovább,Conj
hová,Adv
hozzá,Pref
hozzá,Pron
hurrá,Interj
hány,Pron
hányadik,Pron
hányas,Det
hányfajta,Pron
hátha,Conj
hé,Interj
hú,Interj
ide,Pref
ideértve,Conj
igen,Conj
igenis,Conj
ill.,Conj
ilyen,Pron
ilyesfajta,Pron
