Term,Role
aau,Interj
adakalanya,Conj
adalah,Conj
adapun,Conj
aduh,Interj
aduhai,Interj
agar,Conj
ah,Interj
ai,Interj
aih,Interj
akan,Prep
akan,Verb
akh,Interj
aku,Pron
akupun,Pron
alah,Interj
ama,Conj
ampat,Num
anda,Pron
andai,Conj
andaikan,Conj
andaikata,Prep
antar,Conj
antara,Conj
antara,Prep
antaranya,Conj
apa,Conj
apa,Pron
apabila,Prep
apalagi,Conj
asalkan,Conj
asik,Interj
astaga,Interj
asyiklah,Interj
atas,Prep
atau,Conj
au,Interj
ayahmu,Pron
ayo,Interj
ayunda,Pron
bagai,Conj
bagaikan,Conj
bagaimanapun,Conj
bagi,Prep
bagiku,Prep
baginda,Pron
baginya,Prep
bahwa,Conj
bak,Conj
bakalan,Conj
bapa,Pron
bapak,Pron
bapanya,Pron
barulah,Conj
bayu,Pron
belas,Num
beliau,Pron
bercembungan,Conj
berengkau,Pron
berhubung,Conj
bersama,Prep
biarpun,Conj
bibi,Pron
bila,Conj
bilamana,Conj
bini,Pron
bisa,Verb
bokap,Pron
bokapnya,Pron
bos,Pron
bukannya,Conj
bunda,Pron
bung,Pron
buset,Interj
buyut,Pron
cah,Interj
cembungkan,Conj
cepek,Num
cih,Interj
cihui,Interj
cik,Pron
cilaka,Interj
cir,Interj
cis,Interj
cukimai,Interj
dah,Interj
dalam,Conj
dalam,Prep
dan,Conj
dapat,Verb
dari,Prep
darimu,Prep
darinya,Prep
darinyalah,Prep
daripada,Conj
daripadanya,Conj
deh,Interj
deka,Num
delapan,Num
demikian,Conj
demikianlah,Conj
dengan,Conj
dengan,Prep
denganku,Prep
denganmu,Conj
dengannya,Conj
di,Prep
dia,Pron
dialah,Pron
dicembungkan,Conj
dik,Pron
dikarenakan,Conj
dikau,Pron
dimanja,Conj
diri,Pron
dok,Pron
dong,Interj
dua,Num
duh,Interj
duhai,Interj
duilah,Interj
dwi,Num
eka,Num
emak,Pron
emang,Conj
embah,Pron
embak,Pron
embok,Pron
empat,Num
empok,Pron
enaknya,Interj
enam,Num
encek,Pron
encik,Pron
encim,Pron
engkau,Pron
engkaulah,Pron
engko,Pron
engkoh,Pron
engkong,Pron
engku,Pron
enyak,Pron
eyang,Pron
gara-gara,Conj
gue,Pron
ha,Interj
hai,Interj
halo,Interj
hampir,Conj
hampirkan,Conj
harus,Verb
hayo,Interj
heh,Interj
hi,Interj
hih,Interj
hingga,Conj
hingga,Prep
hiphura,Interj
hoi,Interj
hor,Interj
huh,Interj
hui,Interj
hus,Interj
ia,Pron
iapun,Pron
idih,Interj
ih,Interj
ina,Pron
inang,Pron
ini,Pron
itu,Det
itu,Pron
jadi,Conj
jadi,Prep
jangankan,Prep
jemah,Conj
jika,Conj
jikapun,Conj
jua,Conj
kak,Pron
kakanda,Pron
kakang,Pron
kalau,Conj
kalau-kalau,Conj
kalaubegitu,Conj
kalaupun,Conj
kalian,Pron
kalo,Conj
kami,Pron
kamu,Pron
kang,Pron
kangmas,Pron
karena,Conj
karena,Prep
karenanya,Conj
kau,Pron
ke,Prep
kebalikan,Conj
kecuali,Conj
kedua,Pron
kek,Interj
kek,Pron
kepada,Prep
kepadamu,Conj
kepadamulah,Prep
ketika,Conj
ketika,Prep
ketimbang,Conj
ki,Pron
kini,Conj
kita,Pron
kitalah,Pron
koh,Pron
kok,Interj
konon,Prep
ku,Pron
la,Interj
lagipula,Conj
lagipun,Conj
lah,Interj
lantas,Conj
lapan,Num
lebih,Prep
lebih-lebih,Conj
lho,Interj
lima,Num
lo,Interj
loh,Interj
lu,Pron
luar,Prep
madam,Pron
mah,Interj
mak,Pron
maka,Conj
makanya,Conj
makcik,Pron
malah,Conj
malahan,Conj
mam,Pron
mama,Pron
mamak,Pron
mamanda,Pron
mamang,Pron
mami,Pron
man,Pron
manakala,Conj
manakan,Conj
manalagi,Conj
mangka,Conj
mangkanya,Conj
mari,Interj
marilah,Prep
mas,Pron
masa,Prep
masih,Conj
masyaallah,Interj
maupun,Conj
mbah,Pron
mbak,Pron
mbakyu,Pron
mbok,Pron
melalui,Prep
mencembungkan,Conj
mengenai,Prep
mengkali,Conj
menjadi,Prep
mentang,Conj
mentang-mentang,Conj
menurut,Prep
mereka,Pron
merta,Conj
merupakan,Conj
meski,Conj
meskipun,Conj
mister,Pron
mu,Pron
mulai,Prep
mulanya,Conj
mulanya,Prep
nah,Interj
nak,Pron
nampaknya,Prep
namun,Conj
nan,Interj
nek,Pron
nenda,Pron
nenek,Pron
nih,Interj
nini,Pron
