role,Term,numdocs
Prep,a cagione della,2.0
Adv,a caso,138.0
Prep,a causa d',1.0
Prep,a causa degli,92.0
Prep,a causa dei,211.0
Prep,a causa del,458.0
Prep,a causa dell',332.0
Prep,a causa della,771.0
Prep,a causa delle,546.0
Prep,a causa dello,32.0
Prep,a causa dell’,126.0
Prep,a causa di,746.0
Prep,a causa d’,1.0
Conj,a condizione che,2844.0
Adv,a destra,150.0
Adv,a dosso,4.0
Prep,a favore d',2.0
Prep,a favore degli,295.0
Prep,a favore dei,619.0
Prep,a favore del,352.0
Prep,a favore dell',474.0
Prep,a favore della,599.0
Prep,a favore delle,683.0
Prep,a favore dello,116.0
Prep,a favore dell’,155.0
Prep,a favore di,873.0
Prep,a favore d’,1.0
Adv,a fianco,55.0
Adv,a malapena,4.0
Adv,a mano a mano,37.0
Conj,a meno che,1443.0
Prep,a meno dei,2.0
Prep,a meno del,46.0
Prep,a meno dell',5.0
Prep,a meno della,8.0
Prep,a meno delle,1.0
Prep,a meno dello,7.0
Prep,a meno dell’,4.0
Prep,a meno di,180.0
Conj,a patto che,74.0
Adv,a piacere,4.0
Adv,a poco a poco,5.0
Adv,a posteriori,364.0
Adv,a priori,121.0
Prep,a proposito,4.0
Prep,a proposito degli,8.0
Prep,a proposito dei,21.0
Prep,a proposito del,20.0
Prep,a proposito dell',11.0
Prep,a proposito della,25.0
Prep,a proposito delle,15.0
Prep,a proposito dello,1.0
Prep,a proposito dell’,6.0
Prep,a proposito di,22.0
Adv,a ridosso,2.0
Prep,a scapito degli,13.0
Prep,a scapito dei,24.0
Prep,a scapito del,13.0
Prep,a scapito dell',11.0
Prep,a scapito della,33.0
Prep,a scapito delle,37.0
Prep,a scapito dello,7.0
Prep,a scapito dell’,3.0
Prep,a scapito di,31.0
Adv,a sinistra,128.0
Adv,a tutt'oggi,47.0
Adv,a tutt’oggi,36.0
Adv,a volontà,5.0
Adv,ab intestato,4.0
Prep,accanto a,47.0
Prep,accanto ad,24.0
Prep,accanto agli,13.0
Prep,accanto ai,26.0
Prep,accanto al,72.0
Prep,accanto all',23.0
Prep,accanto alla,50.0
Prep,accanto alle,22.0
Prep,accanto allo,3.0
Prep,accanto all’,2.0
Adv,ad abundantiam,2.0
Prep,ad es.,308.0
Adv,ad esempio,2634.0
Adv,ad hoc,481.0
Adv,ad libitum,7.0
Adv,ad referendum,3.0
Adv,al contrario,276.0
Prep,al di fuori d',1.0
Prep,al di fuori da,2.0
Prep,al di fuori dagli,6.0
Prep,al di fuori dal,2.0
Prep,al di fuori dalla,3.0
Prep,al di fuori dalle,3.0
Prep,al di fuori degli,38.0
Prep,al di fuori dei,150.0
Prep,al di fuori del,416.0
Prep,al di fuori dell',168.0
Prep,al di fuori della,400.0
Prep,al di fuori delle,243.0
Prep,al di fuori dello,40.0
Prep,al di fuori dell’,66.0
Prep,al di fuori di,213.0
Prep,al di là degli,29.0
Prep,al di là dei,92.0
Prep,al di là del,139.0
Prep,al di là dell',37.0
Prep,al di là della,103.0
Prep,al di là delle,142.0
Prep,al di là dello,5.0
Prep,al di là dell’,14.0
Prep,al di là di,370.0
Prep,al di sopra degli,7.0
Prep,al di sopra dei,36.0
Prep,al di sopra del,164.0
Prep,al di sopra dell',12.0
Prep,al di sopra della,74.0
Prep,al di sopra delle,17.0
Prep,al di sopra dello,6.0
Prep,al di sopra dell’,2.0
Prep,al di sopra di,95.0
Prep,al di sotto degli,8.0
Prep,al di sotto dei,129.0
Prep,al di sotto del,361.0
Prep,al di sotto dell',46.0
Prep,al di sotto della,161.0
Prep,al di sotto delle,55.0
Prep,al di sotto dello,9.0
Prep,al di sotto dell’,8.0
Prep,al di sotto di,191.0
Conj,al fine di,5556.0
Prep,all'infuori di,7.0
Prep,all’infuori di,3.0
Conj,altrimenti che,10.0
Conj,ammesso che,85.0
Conj,anche se,1498.0
Prep,assieme a,41.0
Prep,assieme ad,45.0
Prep,assieme agli,22.0
Prep,assieme ai,37.0
Prep,assieme al,55.0
Prep,assieme all',12.0
Prep,assieme alla,58.0
Prep,assieme alle,41.0
Prep,assieme allo,2.0
Prep,assieme all’,6.0
Prep,attorno a,57.0
Prep,attorno ad,32.0
Prep,attorno agli,7.0
Prep,attorno ai,32.0
Prep,attorno al,87.0
Prep,attorno all',28.0
Prep,attorno alla,25.0
Prep,attorno alle,18.0
Prep,attorno allo,5.0
Prep,attorno all’,18.0
