unicode,euc,ibm,jis,pcibm
U+3000,A1A1,4040,2121,8140
U+3001,A1A2,4344,2122,8141
U+3002,A1A3,4341,2123,8142
U+FF0C,A1A4,426B,2124,8143
U+FF0E,A1A5,424B,2125,8144
U+3020,A1A6,4345,2126,8145
U+FF1A,A1A7,427A,2127,8146
U+FF1B,A1A8,425E,2128,8147
U+FF1F,A1A9,426F,2129,8148
U+FF01,A1AA,425A,212A,8149
U+3020,A1AB,43BE,212B,814A
U+3020,A1AC,43BF,212C,814B
U+00B4,A1AD,4450,212D,814C
U+FF40,A1AE,4279,212E,814D
U+00A8,A1AF,4460,212F,814E
U+FF3E,A1B0,4470,2130,814F
U+FF20,A1B1,42A1,2131,8150
U+FF3F,A1B2,426D,2132,8151
U+30FD,A1B3,43DC,2133,8152
U+30FE,A1B4,43DD,2134,8153
U+3020,A1B5,44DC,2135,8154
U+3020,A1B6,44DD,2136,8155
U+3003,A1B7,445B,2137,8156
U+4EDD,A1B8,445C,2138,8157
U+3005,A1B9,445D,2139,8158
U+3006,A1BA,445E,213A,8159
U+3007,A1BB,445F,213B,815A
U+3020,A1BC,4358,213C,815B
U+2015,A1BD,444A,213D,815C
U+2010,A1BE,445A,213E,815D
U+FF0F,A1BF,4261,213F,815E
U+005C,A1C0,4320,2140,815F
U+301C,A1C1,43A1,2141,8160
U+2016,A1C2,447C,2142,8161
U+FF5C,A1C3,424F,2143,8162
U+2026,A1C4,447F,2144,8163
U+2025,A1C5,447E,2145,8164
U+2018,A1C6,4461,2146,8165
U+2019,A1C7,4471,2147,8166
U+201C,A1C8,4462,2148,8167
U+201D,A1C9,4472,2149,8168
U+FF08,A1CA,424D,214A,8169
U+FF09,A1CB,425D,214B,816A
U+3014,A1CC,4463,214C,816B
U+3015,A1CD,4473,214D,816C
U+FF3B,A1CE,4444,214E,816D
U+FF3D,A1CF,4445,214F,816E
U+FF5B,A1D0,42C0,2150,816F
U+FF5D,A1D1,42D0,2151,8170
U+3008,A1D2,4464,2152,8171
U+3009,A1D3,4474,2153,8172
U+300A,A1D4,4465,2154,8173
U+300B,A1D5,4475,2155,8174
U+300C,A1D6,4342,2156,8175
U+300D,A1D7,4343,2157,8176
U+300E,A1D8,4442,2158,8177
U+300F,A1D9,4443,2159,8178
U+3010,A1DA,4466,215A,8179
U+3011,A1DB,4476,215B,817A
U+FF0B,A1DC,424E,215C,817B
U+2212,A1DD,4260,215D,817C
U+00B1,A1DE,444B,215E,817D
U+00D7,A1DF,447A,215F,817E
U+0020,A120,447B,2160,8180
U+FF1D,A120,427E,2161,8181
U+2260,A120,444C,2162,8182
U+FF1C,A120,424C,2163,8183
U+FF1E,A120,426E,2164,8184
U+2266,A120,4467,2165,8185
U+2267,A120,4477,2166,8186
U+221E,A120,444D,2167,8187
U+2234,A120,4468,2168,8188
U+2642,A120,4469,2169,8189
U+2640,A120,4479,216A,818A
U+00B0,A120,4420,216B,818B
U+2032,A120,4420,216C,818C
U+2033,A120,4420,216D,818D
U+2103,A120,444E,216E,818E
U+FF20,A120,425B,216F,818F
U+FF04,A120,4220,2170,8190
U+00A2,A120,434A,2171,8191
U+00A3,A120,424A,2172,8192
U+FF05,A120,426C,2173,8193
U+FF03,A120,427B,2174,8194
U+FF06,A120,4250,2175,8195
U+FF0A,A120,425C,2176,8196
U+FF20,A120,427C,2177,8197
U+00A7,A120,446A,2178,8198
U+2606,A120,4420,2179,8199
U+2605,A120,4420,217A,819A
U+25CB,A120,4420,217B,819B
U+25CF,A120,4420,217C,819C
U+25CE,A1FD,4420,217D,819D
U+25C7,A1FE,4420,217E,819E
U+25C6,A2A1,4420,2221,819F
U+25A1,A2A2,4420,2222,81A0
U+25A0,A2A3,4420,2223,81A1
U+25B3,A2A4,4420,2224,81A2
U+25B2,A2A5,4420,2225,81A3
U+25BD,A2A6,4420,2226,81A4
U+25BC,A2A7,4420,2227,81A5
U+203B,A2A8,446B,2228,81A6
U+3012,A2A9,446C,2229,81A7
U+2120,A2AA,4420,222A,81A8
U+2120,A2AB,4420,222B,81A9
U+2120,A2AC,4420,222C,81AA
U+2120,A2AD,4420,222D,81AB
U+3013,A2AE,447D,222E,81AC
U+2208,A2BA,4364,223A,81B8
U+220B,A2BB,4365,223B,81B9
U+2220,A2BC,4366,223C,81BA
U+2220,A2BD,4367,223D,81BB
U+2220,A2BE,4368,223E,81BC
U+2220,A2BF,4369,223F,81BD
U+222A,A2C0,436A,2240,81BE
U+2229,A2C1,436B,2241,81BF
U+2227,A2CA,436C,224A,81C8
U+2228,A2CB,436D,224B,81C9
U+21D2,A2CD,436E,224D,81CB
U+21D4,A2CE,436F,224E,81CC
U+2200,A2CF,4370,224F,81CD
U+2203,A2D0,4371,2250,81CE
U+2220,A2DC,434B,225C,81DA
U+22A5,A2DD,434C,225D,81DB
U+2312,A2DE,434D,225E,81DC
U+2202,A2DF,434E,225F,81DD
U+2207,A220,434F,2260,81DE
U+2261,A220,435B,2261,81DF
U+2252,A220,435C,2262,81E0
U+226A,A220,435D,2263,81E1
U+226B,A220,435E,2264,81E2
U+221A,A220,435F,2265,81E3
U+223D,A220,4360,2266,81E4
U+221D,A220,4361,2267,81E5
U+222B,A220,4362,2269,81E7
U+222C,A220,4363,226A,81E8
U+212B,A220,4372,2272,81F0
U+2030,A220,4373,2273,81F1
U+266F,A220,4374,2274,81F2
U+266D,A220,4375,2275,81F3
U+266A,A220,4376,2276,81F4
U+2020,A220,4377,2277,81F5
U+2021,A220,4378,2278,81F6
U+00B6,A220,4379,2279,81F7
U+2520,A2FE,437A,227E,81FC
