unicode,euc,ibm,pcibm
U+C90E,A1A0,4140,8140
U+3002,A1A3,4142,8142
U+00B7,A1A4,4143,8143
U+2025,A1A5,4144,8144
U+2026,A1A6,4145,8145
U+00A8,A1A7,4146,8146
U+3003,A1A8,4147,8147
U+00AD,A1A9,4148,8148
U+2015,A1AA,4149,8149
U+2225,A1AB,414A,814A
U+FF3C,A1AC,414B,814B
U+223C,A1AD,42A1,814C
U+2018,A1AE,414D,814D
U+2019,A1AF,414E,814E
U+201C,A1B0,414F,814F
U+201D,A1B1,4150,8150
U+3014,A1B2,4151,8151
U+3015,A1B3,4152,8152
U+3008,A1B4,4153,8153
U+3009,A1B5,4154,8154
U+300A,A1B6,4155,8155
U+300B,A1B7,4156,8156
U+300C,A1B8,4157,8157
U+300D,A1B9,4158,8158
U+300E,A1BA,4159,8159
U+300F,A1BB,415A,815A
U+3010,A1BC,415B,815B
U+3011,A1BD,415C,815C
U+00B1,A1BE,415D,815D
U+00D7,A1BF,415E,815E
U+0020,A1C0,415F,815F
U+221E,A1C4,4163,8163
U+2234,A1C5,4164,8164
U+00B0,A1C6,4165,8165
U+2032,A1C7,4166,8166
U+2033,A1C8,4167,8167
U+2103,A1C9,4168,8168
U+FF20,A1CB,424A,816A
U+FF20,A1CC,416B,816B
U+FF20,A1CD,416C,816C
U+00A7,A1D7,4176,8176
U+203B,A1D8,4177,8177
U+2606,A1D9,4178,8178
U+2605,A1DA,4179,8179
U+25CB,A1DB,417A,817A
U+25CF,A1DC,417B,817B
U+25CE,A1DD,417C,817C
U+25C7,A1DE,417D,817D
U+25C6,A1DF,417E,817E
U+25A1,A120,417F,8180
U+25A0,A120,4180,8181
U+25B3,A120,4120,8182
U+25B2,A120,4120,8183
U+25BD,A120,4120,8184
U+25BC,A120,4120,8185
U+2120,A120,4120,8186
U+2120,A120,4120,8187
U+2120,A120,4120,8188
U+2120,A120,4120,8189
U+2120,A120,4120,818A
U+3013,A120,4120,818B
U+FF20,A1FE,425F,818C
U+FF01,A3A1,425A,819F
U+FF02,A3A2,427F,81A0
U+FF03,A3A3,427B,81A1
U+FF04,A3A4,425B,81A2
U+FF05,A3A5,426C,81A3
U+FF06,A3A6,4250,81A4
U+FF08,A3A8,424D,81A6
U+FF09,A3A9,425D,81A7
U+FF0A,A3AA,425C,81A8
U+FF0B,A3AB,424E,81A9
U+FF0C,A3AC,426B,81AA
U+FF0D,A3AD,4260,81AB
U+FF0E,A3AE,424B,81AC
U+FF0F,A3AF,4261,81AD
U+FF10,A3B0,4220,81AE
U+FF11,A3B1,4220,81AF
U+FF12,A3B2,4220,81B0
U+FF13,A3B3,4220,81B1
U+FF14,A3B4,4220,81B2
U+FF15,A3B5,4220,81B3
U+FF16,A3B6,4220,81B4
U+FF17,A3B7,4220,81B5
U+FF18,A3B8,4220,81B6
U+FF19,A3B9,4220,81B7
U+FF1A,A3BA,427A,81B8
U+FF1B,A3BB,425E,81B9
U+FF1C,A3BC,424C,81BA
U+FF1D,A3BD,427E,81BB
U+FF1E,A3BE,426E,81BC
U+FF1F,A3BF,426F,81BD
U+FF20,A3C0,427C,81BE
U+FF21,A3C1,42C1,81BF
U+FF22,A3C2,42C2,81C0
U+FF23,A3C3,42C3,81C1
U+FF24,A3C4,42C4,81C2
U+FF25,A3C5,42C5,81C3
U+FF26,A3C6,42C6,81C4
U+FF27,A3C7,42C7,81C5
U+FF28,A3C8,42C8,81C6
U+FF29,A3C9,42C9,81C7
U+FF2A,A3CA,42D1,81C8
U+FF2B,A3CB,42D2,81C9
U+FF2C,A3CC,42D3,81CA
U+FF2D,A3CD,42D4,81CB
U+FF2E,A3CE,42D5,81CC
U+FF2F,A3CF,42D6,81CA
U+FF30,A3D0,42D7,81CE
U+FF31,A3D1,42D8,81CF
U+FF32,A3D2,42D9,81D0
U+FF33,A3D3,4220,81D1
U+FF34,A3D4,4220,81D2
U+FF35,A3D5,4220,81D3
U+FF36,A3D6,4220,81D4
U+FF37,A3D7,4220,81D5
U+FF38,A3D8,4220,81D6
U+FF39,A3D9,4220,81D7
U+FF3A,A3DA,4220,81D8
U+FF3B,A3DB,4120,81D9
U+FF20,A3DC,4220,81DA
U+FF3D,A3DD,4120,81DA
U+FF3E,A3DE,416A,81DC
U+FF3F,A3DF,426D,81DD
U+FF40,A320,4279,81DE
U+FF41,A320,4220,81DF
