Width,Length,Depth
0.0,0.0,0.0
0.0,0.5,0.0
0.0,1.0,0.0
0.0,1.5,-0.00597732638843
0.0,2.0,0.0
0.0,2.5,0.0
0.0,3.0,0.0
0.0,3.5,-0.21287013094691
0.0,4.0,0.0
0.0,4.5,0.0
0.0,5.0,0.0
0.0,5.5,-0.00298866319422
0.0,6.0,0.0
0.0,6.5,0.0
0.0,7.0,0.0
0.5,0.0,0.0
0.5,0.5,0.0
0.5,1.0,0.0
0.5,1.5,-0.02722860905551
0.5,2.0,0.0
0.5,2.5,0.0
0.5,3.0,0.0
0.5,3.5,-0.9696906607542
0.5,4.0,0.0
0.5,4.5,0.0
0.5,5.0,0.0
0.5,5.5,-0.01361430452775
0.5,6.0,0.0
0.5,6.5,0.0
0.5,7.0,0.0
1.0,0.0,0.0
1.0,0.5,0.0
1.0,1.0,0.0
1.0,1.5,0.0
1.0,2.0,0.0
1.0,2.5,-2.2808734979918
1.0,3.0,-5.0
1.0,3.5,-6.48761152136429
1.0,4.0,-5.0
1.0,4.5,-1.95101807307547
1.0,5.0,0.0
1.0,5.5,0.0
1.0,6.0,0.0
1.0,6.5,0.0
1.0,7.0,0.0
1.5,0.0,0.0
1.5,0.5,0.0
1.5,1.0,0.0
1.5,1.5,-3.79016511075346
1.5,2.0,-6.26698805992925
1.5,2.5,-5.92520795796423
1.5,3.0,-7.73584661756199
1.5,3.5,-9.00505921974968
1.5,4.0,-7.13210610517934
1.5,4.5,-4.38242942804079
1.5,5.0,-2.25448348546328
1.5,5.5,-0.30606340846083
1.5,6.0,0.0
1.5,6.5,0.0
1.5,7.0,0.0
2.0,0.0,0.0
2.0,0.5,0.0
2.0,1.0,0.0
2.0,1.5,-3.80839388449664
2.0,2.0,-9.99999999999999
2.0,2.5,-10.970846676945
2.0,3.0,-10.0
2.0,3.5,-10.7763414279666
2.0,4.0,-10.0
2.0,4.5,-7.54778410609067
2.0,5.0,-4.99999999999999
2.0,5.5,-1.98797241760023
2.0,6.0,0.0
2.0,6.5,0.0
2.0,7.0,0.0
2.5,0.0,0.0
2.5,0.5,0.0
2.5,1.0,0.0
2.5,1.5,0.0
2.5,2.0,-5.86964022805997
2.5,2.5,-10.625700546324
2.5,3.0,-12.6727619088283
2.5,3.5,-13.3705320599506
2.5,4.0,-12.4783544799753
2.5,4.5,-10.3558317874294
2.5,5.0,-7.91307923872134
2.5,5.5,-4.26197154443288
2.5,6.0,-0.81901554728276
2.5,6.5,-0.08894303582195
2.5,7.0,-0.02240515001507
3.0,0.0,0.0
3.0,0.5,0.0
3.0,1.0,0.0
3.0,1.5,0.0
3.0,2.0,-4.6629367034256e-15
3.0,2.5,-7.02249714275978
3.0,3.0,-15.0
3.0,3.5,-18.1555583355126
3.0,4.0,-15.0
3.0,4.5,-12.5777854495778
3.0,5.0,-10.0
3.0,5.5,-6.98179707504557
3.0,6.0,-2.99999999999999
3.0,6.5,-4.0245584642661003e-16
3.0,7.0,0.0
3.5,0.0,0.0
3.5,0.5,0.0
3.5,1.0,0.0
3.5,1.5,0.0
3.5,2.0,0.0
3.5,2.5,-7.04640362168884
3.5,3.0,-17.4329199300164
3.5,3.5,-21.3812113699796
3.5,4.0,-17.1998925699835
3.5,4.5,-15.037515781612
3.5,5.0,-11.135888549753
3.5,5.5,-11.9289621767173
3.5,6.0,-7.51801398100411
3.5,6.5,0.0
3.5,7.0,0.0
4.0,0.0,0.0
4.0,0.5,0.0
4.0,1.0,0.0
4.0,1.5,0.0
4.0,2.0,0.0
4.0,2.5,-9.21738984421429
4.0,3.0,-19.9999999999999
4.0,3.5,-24.917832598737
4.0,4.0,-19.9999999999999
4.0,4.5,-15.3967827416675
4.0,5.0,-10.0
4.0,5.5,-10.0838050001686
4.0,6.0,-9.99999999999999
4.0,6.5,0.0
4.0,7.0,-1.3146020782758e-15
4.5,0.0,0.0
4.5,0.5,0.0
4.5,1.0,0.0
4.5,1.5,-4.84899368383951
4.5,2.0,-7.44690423988476
4.5,2.5,-14.7445556957601
4.5,3.0,-23.584467810074
4.5,3.5,-30.5831970123217
4.5,4.0,-23.4710009399259
4.5,4.5,-12.9010160335291
4.5,5.0,-4.47351059971193
4.5,5.5,-3.49344287059555
4.5,6.0,-5.71040073811237
4.5,6.5,-0.60454970273984
4.5,7.0,0.0
5.0,0.0,0.0
5.0,0.5,0.0
5.0,1.0,0.0
5.0,1.5,-6.09560160972663
5.0,2.0,-14.9999999999999
5.0,2.5,-21.2781897877497
5.0,3.0,-27.0
5.0,3.5,-32.6933811767635
5.0,4.0,-27.0
5.0,4.5,-12.9696577089774
5.0,5.0,-7.7715611723761e-15
5.0,5.5,0.0
5.0,6.0,-8.881784197001201e-16
5.0,6.5,0.0
5.0,7.0,-1.0318518398888001e-16
5.5,0.0,0.0
5.5,0.5,0.0
5.5,1.0,0.0
5.5,1.5,-4.86224353162274
5.5,2.0,-16.6489454101975
5.5,2.5,-23.2714190654385
5.5,3.0,-28.9494189900905
5.5,3.5,-34.3737945059783
5.5,4.0,-29.0513622599094
5.5,4.5,-15.2190013880466
5.5,5.0,-0.91159670004115
5.5,5.5,0.0
5.5,6.0,0.0
5.5,6.5,-0.02734375
5.5,7.0,-4.7184478546569005e-16
6.0,0.0,0.0
6.0,0.5,0.0
6.0,1.0,0.0
6.0,1.5,-5.74600138198136
6.0,2.0,-16.9999999999999
6.0,2.5,-24.666021335953
6.0,3.0,-30.0
6.0,3.5,-35.3889836875554
6.0,4.0,-30.0
6.0,4.5,-17.3980908717377
6.0,5.0,-4.99999999999999
6.0,5.5,0.0
6.0,6.0,0.0
6.0,6.5,-1.7763568394002e-15
6.0,7.0,-3.1592672591871e-15
6.5,0.0,0.0
6.5,0.5,0.0
6.5,1.0,0.0
6.5,1.5,-10.6595484027899
6.5,2.0,-22.7387891601975
6.5,2.5,-27.7667162980736
6.5,3.0,-30.9825830200246
6.5,3.5,-34.3909634981345
6.5,4.0,-31.2236669799753
6.5,4.5,-20.5358537515648
6.5,5.0,-10.1263673503292
6.5,5.5,-3.63100702734592
6.5,6.0,-2.47559691246965
6.5,6.5,0.0
6.5,7.0,0.0
7.0,0.0,0.0
7.0,0.5,0.0
7.0,1.0,0.0
7.0,1.5,-9.99612539246901
7.0,2.0,-25.0
7.0,2.5,-29.282625018633
7.0,3.0,-30.0
7.0,3.5,-31.8866330023574
7.0,4.0,-30.0
7.0,4.5,-23.1832690669635
7.0,5.0,-14.9999999999999
