PROJECT,TITLE,DESCRIPT,FILE,KEYWORDS,LOCATION,TYPE
IMAGE MANAGEMENT PROJECT,Steve,"190x285 8-bit CMAP, 86 colormap entries",tf1111,Super systems developer joker,sashelp.imagapp,CATALOG
IMAGE MANAGEMENT PROJECT,John,"190x285 8-bit CMAP, 100 colormap entries",tf1234,male genius programmer,sashelp.imagapp,CATALOG
IMAGE MANAGEMENT PROJECT,Medical History,"627x818 8-bit CMAP, 16 colormap entries",gffkscan,medical patient,sashelp.imagapp,CATALOG
IMAGE MANAGEMENT PROJECT,Stuart,"253x381 8-bit CMAP, 128 colormap entries",gfjjons,male programmer manager,sashelp.imagapp,CATALOG
IMAGE MANAGEMENT PROJECT,Jones signature,"284x74 8-bit CMAP, 32 colormap entries",gfjjonss,signature jones male,sashelp.imagapp,CATALOG
IMAGE MANAGEMENT PROJECT,Ron,"253x381 8-bit CMAP, 128 colormap entries",gfjsmit,male programmer,sashelp.imagapp,CATALOG
IMAGE MANAGEMENT PROJECT,Smith signature,"280x65 8-bit CMAP, 32 colormap entries",gfjsmits,signature smith male,sashelp.imagapp,CATALOG
IMAGE MANAGEMENT PROJECT,Children,"414x639 8-bit CMAP, 128 colormap entries",gfkids,child,sashelp.imagapp,CATALOG
IMAGE MANAGEMENT PROJECT,Linda,"253x381 8-bit CMAP, 128 colormap entries",gfssmit,female manager,sashelp.imagapp,CATALOG
IMAGE MANAGEMENT PROJECT,Medical history,"627x818 8-bit CMAP, 16 colormap entries",gft0,medical patient,sashelp.imagapp,CATALOG
IMAGE MANAGEMENT PROJECT,Sarah,"191x314 8-bit CMAP, 128 colormap entries",tf1122,female developer,sashelp.imagapp,CATALOG
IMAGE MANAGEMENT PROJECT,Text - or color,"155x37 8-bit CMAP, 2 colormap entries",gftext9,text color,sashelp.imagapp,CATALOG
