MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
1.0,1,1.0,E,(_APPLY_CUT_) RLINK() FAILURE. REMOTE CONNECTION NOT AVAILABLE.,SASHELP.FSP.OK.SLIST
2.0,2,1.0,E,(_APPLY_CUT_) INVALID VALUE FOR 'APPLY_CUT_FLAG' IV,SASHELP.FSP.OK.SLIST
3.0,3,1.0,E,(_APPLY_CUT_) 'MAPVARS' METHOD CALLING FAILURE,SASHELP.FSP.OK.SLIST
4.0,4,1.0,E,(_APPLY_CUT_) REMOTE SUBMIT FAILURE,SASHELP.FSP.OK.SLIST
5.0,5,1.0,E,(_APPLY_CUT_) LOCAL SUBMIT FAILURE,SASHELP.FSP.OK.SLIST
6.0,6,1.0,E,(_APPLY_CUT_) PRECONDITION VIOLATION,SASHELP.FSP.OK.SLIST
7.0,7,1.0,E,(_CREATE_ENTIRE_VIEW_) 'CREATE_ENTIRE_VIEW_FLAG' = %1$ IS NOT VALID,SASHELP.FSP.OK.SLIST
8.0,8,1.0,E,(_FIND_MDDB_SERVER_) NO MDDB SERVER FOUND,SASHELP.FSP.OK.SLIST
9.0,9,1.0,E,(_GENERATE_DATA_HOLAP_SERVER_) 1ST CLEARLIST() FAILURE,SASHELP.FSP.OK.SLIST
10.0,10,1.0,E,(_CREATE_ENTIRE_VIEW_) PRECONDITION VIOLATION,SASHELP.FSP.OK.SLIST
11.0,11,1.0,E,(_CREATE_ENTIRE_VIEW_) RLINK() FAILURE. REMOTE CONNECTION NOT AVAILABLE.,SASHELP.FSP.OK.SLIST
12.0,12,1.0,E,(_CREATE_ENTIRE_VIEW_) REMOTE SUBMIT FAILURE,SASHELP.FSP.OK.SLIST
13.0,13,1.0,E,(_CREATE_ENTIRE_VIEW_) LOCAL SUBMIT FAILURE,SASHELP.FSP.OK.SLIST
14.0,14,1.0,E,(_GENERATE_DATA_HOLAP_SERVER_)  CLEARLIST() FAILURE,SASHELP.FSP.OK.SLIST
15.0,15,1.0,E,(_GENERATE_DATA_HOLAP_SERVER_) PRECONDITION VIOLATION,SASHELP.FSP.OK.SLIST
16.0,16,1.0,E,(_GENERATE_DATA_ONE_PLATFORM_) Precondition violation,SASHELP.FSP.OK.SLIST
17.0,17,1.0,E,(_LOAD_MDDB_) Precondition violation,SASHELP.FSP.OK.SLIST
18.0,18,1.0,E,(_LOAD_MDDB_) RLINK to %1$ failed,SASHELP.FSP.OK.SLIST
19.0,19,1.0,E,(_LOAD_MDDB_) INVALID 'RETURNED_DATA' VALUE.,SASHELP.FSP.OK.SLIST
20.0,20,1.0,E,(_LOAD_MDDB_) 'CLASS_LIST' NOT FOUND IN 'QUERY_LIST' IV,SASHELP.FSP.OK.SLIST
21.0,21,1.0,E,(_LOAD_MDDB_) 'SORT_LIST' NOT FOUND IN 'QUERY_LIST' IV,SASHELP.FSP.OK.SLIST
22.0,22,1.0,E,(_LOAD_MDDB_) REMOTE SUBMIT FAILURE,SASHELP.FSP.OK.SLIST
23.0,23,1.0,E,(_LOAD_MDDB_) LOCAL SUBMIT FAILURE,SASHELP.FSP.OK.SLIST
24.0,24,1.0,E,(_MOVE_DATA_TO_HOLAP_SERVER_) Precondition violation,SASHELP.FSP.OK.SLIST
25.0,25,1.0,E,(_MOVE_DATA_TO_HOLAP_SERVER_) RLINK to %1$ failed.,SASHELP.FSP.OK.SLIST
26.0,26,1.0,E,(_MOVE_DATA_TO_HOLAP_SERVER_) REMOTE SUBMIT FAILURE,SASHELP.FSP.OK.SLIST
27.0,27,1.0,E,(_MOVE_DATA_TO_HOLAP_SERVER_) LOCAL SUBMIT FAILURE (DATA STEP),SASHELP.FSP.OK.SLIST
28.0,28,1.0,E,(_MOVE_DATA_TO_HOLAP_SERVER_) LOCAL SUBMIT FAILURE (PROC COPY),SASHELP.FSP.OK.SLIST
29.0,29,1.0,E,(_MOVE_DATA_TO_HOLAP_SERVER_) LOCAL SUBMIT FAILURE (PROC DATASETS),SASHELP.FSP.OK.SLIST
30.0,30,1.0,E,(_MOVE_DATA_TO_MDDB_SERVER_) PRECONDITION VIOLATION,SASHELP.FSP.OK.SLIST
31.0,31,1.0,E,(_MOVE_DATA_TO_MDDB_SERVER_) RLINK to %1$ failed.,SASHELP.FSP.OK.SLIST
32.0,32,1.0,E,(_SORT_CUT_MDDB_TO_DS_) Precondition violation.,SASHELP.FSP.OK.SLIST
33.0,33,1.0,E,(_SORT_CUT_MDDB_TO_DS_) Invalid data_source_list,SASHELP.FSP.OK.SLIST
34.0,34,1.0,E,(_MOVE_DATA_TO_MDDB_SERVER_) REMOTE SUBMIT FAILURE (PROC UPLOAD),SASHELP.FSP.OK.SLIST
35.0,35,1.0,E,(_SWITCH_TO_DATASET_) SETNITEMC() FAILURE.,SASHELP.FSP.OK.SLIST
36.0,36,1.0,E,(_PROVIDE_DATA_) _NEW_DATASOURCE_ FAILURE.,SASHELP.FSP.OK.SLIST
37.0,37,1.0,E,(_GET_COMPUTED_COLUMNS_) Bad input list,SASHELP.FSP.OK.SLIST
38.0,38,1.0,E,(_GET_COMPUTED_COLUMN_) Unable to return column,SASHELP.FSP.OK.SLIST
39.0,39,1.0,E,(_GENERATE_DATA_ONE_PLATFORM_) SUBMIT ERROR (HCSTANDARD).,SASHELP.FSP.OK.SLIST
40.0,40,1.0,E,(_GET_METADATA_) Unable to retrieve HOLAP group.,SASHELP.FSP.OK.SLIST
41.0,41,1.0,E,(_GROUP_) GROUPING FORMAT NOT AVAILABLE FOR UPLOADING,SASHELP.FSP.OK.SLIST
42.0,42,1.0,E,(_GROUP_) GROUPING FORMAT NOT AVAILABLE FOR PROCESSING,SASHELP.FSP.OK.SLIST
43.0,43,1.0,E,(_GENERATEDATAONPLATFORM_) UNABLE TO GET REMOTE VIEW STRUCTURE,SASHELP.FSP.OK.SLIST
44.0,44,1.0,E,(_PROVIDEDATA) AT LEAST ONE CLASS VARIABLE REQUESTED.,SASHELP.FSP.OK.SLIST
47.0,47,1.0,E,(_SETUP_) UNABLE TO LOAD HCOMM CLASS,SASHELP.FSP.OK.SLIST
48.0,48,1.0,E,"(_PROVIDE_DATA_) BAD INPUT, CUT LIST ILL FORMED",SASHELP.FSP.OK.SLIST
49.0,49,1.0,E,(_GENERATE_MDDB_FROM_MDDB_) ERROR IN REMOTE PROCESSING,SASHELP.FSP.OK.SLIST
50.0,50,1.0,E,(LOAD MDDB) NO MEMORY,SASHELP.FSP.OK.SLIST
51.0,51,1.0,E,(LOAD MDDB) CORRUPTED INPUT LISTS,SASHELP.FSP.OK.SLIST
52.0,52,1.0,E,(COMPUTE_COLUMNS ) VALIDATION FAILED,SASHELP.FSP.OK.SLIST
53.0,53,1.0,E,( _APPLY_CUT_ ) BAD INPUT SORT LIST,SASHELP.FSP.OK.SLIST
54.0,54,1.0,E,(COMPUTE_COLUMNS) RLINK FAILURE,SASHELP.FSP.OK.SLIST
55.0,55,1.0,E,(COMPUTE_COLUMNS) SUBMISSION FAILED,SASHELP.FSP.OK.SLIST
56.0,56,1.0,E,(INIT) MESSAGE CLASS OR FILE BAD.,SASHELP.FSP.OK.SLIST
57.0,57,1.0,E,(SORT) VALIDATION FAILED,SASHELP.FSP.OK.SLIST
59.0,59,1.0,E,(SORT) RLINK FAILED,SASHELP.FSP.OK.SLIST
60.0,60,1.0,E,(SORT) SUBMISSION FAILED,SASHELP.FSP.OK.SLIST
61.0,61,1.0,E,(SORT) REMOTE SUBMISSION FAILED,SASHELP.FSP.OK.SLIST
62.0,62,1.0,E,(CREATE_DATASET) VALIDATION FAILURE,SASHELP.FSP.OK.SLIST
63.0,63,1.0,E,(CREATE_DATASET) DATA SOURCE INFO NOT FOUND,SASHELP.FSP.OK.SLIST
64.0,64,1.0,E,(CREATE_DATASET) INVALID DATA SOURCE TYPE %1S.,SASHELP.FSP.OK.SLIST
65.0,65,1.0,E,(CREATE_DATASET) MATERIALISE FAILED,SASHELP.FSP.OK.SLIST
66.0,66,1.0,E,(GET_DATA_SOURCE_CLASS) TYPE MISSING,SASHELP.FSP.OK.SLIST
67.0,67,1.0,E,(SUMMARY) Precondition violation,SASHELP.FSP.OK.SLIST
68.0,68,1.0,E,(_SORT_CUT_MDDB_TO_DS_) Data source type is not 'MDDB',SASHELP.FSP.OK.SLIST
69.0,69,1.0,E,(SUMMARY) Unable to open dataset %1$,SASHELP.FSP.OK.SLIST
70.0,70,1.0,E,(SUMMARY) RLINK FAILURE,SASHELP.FSP.OK.SLIST
71.0,71,1.0,E,(SUMMARY) UNABLE TO MAKE OUT DS STRUCTURE,SASHELP.FSP.OK.SLIST
72.0,72,1.0,E,(SUMMARY) GROUPING CLASS NOR FOUND IN DATA SET,SASHELP.FSP.OK.SLIST
73.0,73,1.0,E,(_SORT_CUT_MDDB_TO_DS_) class_list is empty,SASHELP.FSP.OK.SLIST
74.0,74,1.0,E,(VIEW TO DATASET) Precondition violation,SASHELP.FSP.OK.SLIST
75.0,75,1.0,E,(_VALIDATE_) Precondition violation,SASHELP.FSP.OK.SLIST
76.0,76,1.0,E,(_VALIDATE_) Unable to access metadata info to get data sources list,SASHELP.FSP.OK.SLIST
77.0,77,1.0,E,(_VALIDATE_) Unable to access data source info,SASHELP.FSP.OK.SLIST
78.0,78,1.0,E,(_VALIDATE_) %1$ data source validation failed.,SASHELP.FSP.OK.SLIST
79.0,79,1.0,E,(_ANY_COMPUTING_) Precondition violation,SASHELP.FSP.OK.SLIST
80.0,80,1.0,E,(_NEW_DATA_SOURCE_) Precondition violation,SASHELP.FSP.OK.SLIST
81.0,81,1.0,E,(_NEW_DATA_SOURCE_) _GET_DATA_SOURCE_CLASS_ method failed,SASHELP.FSP.OK.SLIST
83.0,83,1.0,E,(LOAD MDDB) NO MEMORY,SASHELP.FSP.OK.SLIST
84.0,84,1.0,E,(_LOAD_MDDB_) Unable to open dataset %1$,SASHELP.FSP.OK.SLIST
85.0,85,1.0,E,(SET COMPUTED COLUMN) VALIDATION FAILED,SASHELP.FSP.OK.SLIST
86.0,86,1.0,E,(DELETE COMPUTED COLUMN) VALIDATION FAILED,SASHELP.FSP.OK.SLIST
87.0,87,1.0,E,(DELETE COMPUTED COLUMN) NOT FOUND,SASHELP.FSP.OK.SLIST
88.0,88,1.0,E,(SET COMPUTED COLUMNS  ) VALIDATION FAILED,SASHELP.FSP.OK.SLIST
89.0,89,1.0,E,(COMPUTED COLUMNS  ) VALIDATION FAILED,SASHELP.FSP.OK.SLIST
90.0,90,1.0,E,(_SORT_CUT_MDDB_TO_DS_) UNABLE TO LOAD MDDB WRAPPER CLASS,SASHELP.FSP.OK.SLIST
91.0,91,1.0,W,WARNING: HOLAP permanent cache has been discarded.,SASHELP.FSP.OK.SLIST
92.0,92,1.0,E,(_ADDGHOSTS) SUBMISSION FAILED,SASHELP.FSP.OK.SLIST
93.0,93,1.0,E,(_ADDGHOSTS) REMOTE SUBMISSION  FAILED,SASHELP.FSP.OK.SLIST
