T,S391,S409,S418,S427,S436,S445,S454,S463,S472,S481,S490,S499,S508,S526,S544,S562,S571,S580,S589,S598,S607,S616,S625,S634,S643,S652,S661,S670,S688,S697,S706,S715,S733,S742,S751,S760,S769,S787,S796,S841,S850,S859,S868,S877,S904,S913,S931,S940,S958,S985,S994
1.0,117497.0,443.0,403.0,13224.0,2107.0,90000.0,2783.69921875,12344.0,2496.259765625,24.0,292.89990234375,780.0,13858.0,1759.8095703125,151.510986328125,7.5,23746.890625,12480.6953125,3986.0,140.0,90.0,1081.759765625,2478.619140625,5052.0,3718.0,0.85999965667724,2.64999961853027,0.73999977111816,603.0,984.0,10.359992980957,9.59999847412109,38.1999816894531,3362.0,12193.0,13871.0,613.83984375,60.0,0.27999997138977,3.79999923706054,170.0,2.86999893188476,128.0,67.0,96.0,2.61999893188476,14959.0,27.0599975585937,5447.0,159.0,23104.0
2.0,153276.0,469.0,372.0,14404.1953125,2097.0,87000.0,3746.939453125,13970.6953125,2485.048828125,77.0,297.89990234375,815.0,14919.0,1912.5595703125,148.883911132812,6.39999771118164,23746.890625,12285.0,4175.0,134.0,102.0,1080.109375,2404.62890625,5601.0,3476.0,2.08999824523925,2.34999847412109,1.4099998474121,577.0,980.0,10.2699966430664,9.29999542236328,74.3999633789062,3572.0,11439.0,13255.0,550.31982421875,63.0,0.27999997138977,2.9099998474121,102.0,3.06999969482421,134.0,73.0,97.0,3.07999992370605,18418.0,12.8099975585937,5412.0,194.0,30479.0
3.0,241443.0,251.0,381.0,17824.0,2135.0,111000.0,6404.37890625,13587.8984375,2639.58984375,54.0,351.39990234375,929.0,15451.0,2171.5390625,148.19189453125,7.0,27454.09375,12325.0,4175.0,144.0,99.0,1353.9296875,2413.12890625,7054.0,3557.0,2.05999946594238,2.5099983215332,1.48999977111816,575.0,987.0,10.8199996948242,15.0,102.599975585937,3718.0,12410.0,15013.0,636.8798828125,65.0,0.32999992370605,2.95999908447265,91.0,2.96999931335449,133.0,74.0,99.0,3.05999946594238,19865.0,13.3099975585937,5215.0,23.0,32670.0
4.0,218709.0,286.0,465.0,20295.0,2165.0,108000.0,5074.95703125,13109.5,2649.478515625,43.0,286.5,851.0,14760.0,2191.078125,144.458984375,6.69999694824218,23829.296875,12269.3984375,4500.0,140.0,108.0,1326.5595703125,2480.818359375,5293.0,5128.0,2.04999923706054,2.58999824523925,1.44999980926513,565.0,1000.0,12.1199951171875,15.099998474121,99.8999633789062,4174.0,13556.0,12413.0,812.31982421875,66.0,0.5,2.70999908447265,109.0,3.21999931335449,141.0,79.0,100.0,3.11999893188476,40349.0,14.1999969482421,4697.0,182.0,38568.0
5.0,202896.0,342.0,402.0,19384.0,2205.0,77000.0,4526.13671875,12152.59375,2313.728515625,14.0,293.5,921.0,16263.0,1804.5390625,146.739990234375,5.5,24712.59375,12327.1953125,4625.0,139.0,109.0,1406.01953125,2826.669921875,5216.0,5222.0,2.07999992370605,2.43999862670898,1.54999923706054,406.0,1005.0,11.7799987792968,15.2999954223632,102.0,4482.0,11063.0,12752.0,780.7197265625,66.0,0.44999980926513,4.12999725341796,103.0,2.8799991607666,134.0,84.0,102.0,3.53999900817871,16985.0,16.1799926757812,4344.0,160.0,57017.0
6.0,200064.0,585.0,535.0,19728.0,2272.0,71000.0,3061.169921875,13875.0,2666.5,37.0,363.7998046875,830.0,15619.0,1867.1591796875,140.863891601562,6.39999771118164,25393.6875,12411.796875,4625.0,136.0,110.0,1502.2998046875,2459.01953125,6013.0,3925.0,1.84999942779541,1.98999977111816,1.57999992370605,266.0,1043.0,12.2399978637695,11.2999954223632,79.5,4665.0,11799.0,16222.0,754.31982421875,66.0,0.59999990463256,3.45999908447265,113.0,3.15999984741211,142.0,85.0,106.0,3.08999824523925,36708.0,21.4599914550781,5426.0,229.0,40984.0
7.0,192762.0,510.0,397.0,22825.0,2284.0,93000.0,2715.099609375,10430.1953125,2169.55859375,55.0,253.199951171875,864.0,15365.0,1713.5595703125,147.465942382812,7.0,18497.09375,12476.296875,4625.0,121.0,80.0,1593.94921875,2686.859375,4916.0,2750.0,1.80999946594238,0.95999956130981,1.3799991607666,194.0,1074.0,13.4599990844726,14.6999969482421,96.0,4759.0,14497.0,13622.0,724.19970703125,63.0,0.61999988555908,3.31999969482421,115.0,2.41999816894531,143.0,77.0,102.0,2.98999977111816,40570.0,51.0,5173.0,168.0,48954.0
8.0,109974.0,535.0,369.0,23408.0,2252.0,36000.0,1304.7294921875,5837.05859375,1314.4296875,62.0,233.39990234375,868.0,15760.0,1299.19921875,147.880981445312,2.39999961853027,18498.6875,12614.1953125,4482.0,132.0,72.0,1642.419921875,1421.4892578125,6409.0,5117.0,1.92999935150146,1.77999973297119,1.5,290.0,1042.0,12.4899978637695,13.3999938964843,98.0,4469.0,14999.0,13193.0,648.6796875,53.0,0.56999969482421,3.92999839782714,103.0,2.9099998474121,136.0,76.0,80.0,2.29999923706054,40212.0,61.7799987792968,4857.0,181.0,76119.0
9.0,154109.0,511.0,322.0,19821.0,2267.0,96000.0,4594.109375,13013.796875,2331.0390625,32.0,346.39990234375,919.0,15038.0,1922.2099609375,141.485961914062,5.79999923706054,25134.0,12545.1953125,4527.0,132.0,105.0,1472.1298828125,2582.138671875,6725.0,5570.0,2.07999992370605,2.51999855041503,1.6599998474121,583.0,1110.0,14.1399993896484,21.7999877929687,104.799987792968,4497.0,15711.0,17201.0,565.4296875,69.0,0.58999967575073,2.88999938964843,100.0,3.29999923706054,108.0,81.0,104.0,2.16999816894531,31374.0,38.0099792480468,4658.0,249.0,30258.0
10.0,163650.0,993.0,510.0,18078.0,2261.0,105000.0,6783.796875,13013.796875,2386.009765625,72.0,288.89990234375,995.0,18666.0,1983.9892578125,137.268920898437,5.5,25490.09375,12282.6953125,4575.0,135.0,103.0,1394.6494140625,3248.228515625,3367.0,3812.0,1.97999954223632,1.8799991607666,1.27999973297119,625.0,1054.0,14.2799987792968,19.0,107.5,4103.0,12584.0,9455.0,658.44970703125,69.0,0.72999954223632,3.52999877929687,119.0,3.16999816894531,142.0,78.0,104.0,2.33999824523925,30416.0,32.0299987792968,4470.0,202.0,38394.0
11.0,129863.0,1147.0,403.0,16488.0,2230.0,106000.0,7315.30859375,13109.5,2286.83984375,61.0,350.599853515625,1035.0,18267.0,2053.078125,135.885986328125,5.89999771118164,26839.890625,12282.6953125,4731.0,132.0,103.0,1263.259765625,2646.458984375,5545.0,5917.0,2.0,2.30999946594238,1.4099998474121,654.0,1086.0,13.4199981689453,19.0999908447265,115.699951171875,4076.0,13036.0,11649.0,563.51953125,73.0,0.6599998474121,4.13999938964843,128.0,2.85999870300293,146.0,88.0,107.0,3.0099983215332,20733.0,26.969985961914,4266.0,195.0,36994.0
12.0,89690.0,977.0,416.0,16958.0,2266.0,105000.0,4601.73828125,12535.296875,2637.779296875,71.0,297.699951171875,991.0,18041.0,1866.9794921875,133.534912109375,5.5,30957.59375,12158.09375,4875.0,137.0,104.0,1274.1396484375,2636.21875,4809.0,5575.0,2.31999969482421,2.45999908447265,1.54999923706054,583.0,1054.0,14.4099960327148,17.2999877929687,113.199951171875,3801.0,15307.0,15269.0,756.7099609375,72.0,1.39999961853027,5.37999725341796,128.0,2.51999855041503,149.0,94.0,102.0,2.88999938964843,28874.0,52.8799743652343,4116.0,78.0,32761.0
13.0,127367.0,416.0,380.0,14808.0,2354.0,90000.0,4545.73828125,12918.09375,2548.458984375,42.0,265.5,1120.0,19566.0,1774.119140625,137.095947265625,4.79999923706054,23746.890625,12044.6953125,4875.0,143.0,104.0,1178.359375,2701.80859375,6226.0,5301.0,1.16999912261962,2.1299991607666,0.67999982833862,643.0,1022.0,13.9199981689453,6.59999847412109,49.0999755859375,3562.0,14136.0,10703.0,667.009765625,70.0,0.34999990463256,3.66999816894531,188.0,2.68999862670898,141.0,73.0,100.0,2.86999893188476,15141.0,25.7899932861328,4675.0,194.0,27747.0
14.0,147950.0,423.0,419.0,14884.59375,2361.0,105000.0,4996.296875,13683.59375,2596.048828125,58.0,259.39990234375,961.0,17198.0,1977.6298828125,129.870971679687,6.29999923706054,23746.890625,12049.09375,4875.0,132.0,104.0,1184.6298828125,2582.46875,4938.0,4991.0,1.66999912261962,2.27999877929687,1.29999923706054,625.0,1022.0,14.3799972534179,11.099998474121,60.1999816894531,4025.0,14060.0,10623.0,631.10986328125,73.0,0.33999991416931,3.69999885559082,120.0,2.66999816894531,156.0,77.0,107.0,2.64999961853027,19377.0,16.8699951171875,4845.0,135.0,27924.0
15.0,247927.0,384.0,404.0,18784.0,2392.0,131000.0,6816.25,13683.59375,2815.44921875,68.0,310.199951171875,1204.0,20364.0,2416.388671875,131.184936523437,5.89999771118164,27454.09375,12053.59375,4965.0,144.0,101.0,1350.7998046875,2561.478515625,6037.0,5014.0,2.18999862670898,2.64999961853027,1.25999927520751,649.0,1052.0,14.4299926757812,16.3999938964843,95.0999755859375,4100.0,13495.0,14171.0,798.65966796875,76.0,0.4799997806549,3.11999893188476,103.0,2.88999938964843,151.0,85.0,110.0,2.52999877929687,21460.0,19.8099975585937,4512.0,33.0,35267.0
16.0,184599.0,93.0,380.0,17783.0,2413.0,100000.0,6304.9765625,13492.1953125,2426.73828125,87.0,242.39990234375,994.0,19343.0,2085.228515625,132.601928710937,6.0,23829.296875,12053.59375,5172.0,143.0,95.0,1556.369140625,2910.708984375,6108.0,5907.0,3.03999900817871,2.2599983215332,1.25999927520751,624.0,1066.0,13.8699951171875,17.5,112.199951171875,4472.0,14160.0,11414.0,895.919921875,76.0,0.6599998474121,3.04999923706054,119.0,2.61999893188476,160.0,85.0,111.0,2.5099983215332,41091.0,18.0299987792968,4174.0,260.0,43071.0
17.0,213691.0,604.0,318.0,18851.0,2361.0,100000.0,7529.13671875,11195.6953125,2462.1484375,93.0,264.0,1050.0,20364.0,2159.099609375,136.818969726562,5.39999771118164,24712.59375,12129.1953125,5300.0,144.0,96.0,1507.0791015625,2478.169921875,8756.0,5954.0,2.85999870300293,2.33999824523925,1.25,524.0,1076.0,12.9299926757812,16.8999938964843,117.899963378906,4673.0,13225.0,12325.0,841.419921875,78.0,0.63999986648559,4.23999786376953,118.0,2.93999862670898,156.0,89.0,114.0,2.75,18565.0,25.0299987792968,3799.0,156.0,52122.0
18.0,204560.0,525.0,374.0,20510.0,2417.0,88000.0,6045.70703125,13970.6953125,2840.1796875,63.0,320.7998046875,984.0,21024.0,1696.75,130.181884765625,6.69999694824218,25393.6875,12253.796875,5075.0,142.0,95.0,1539.7197265625,2556.87890625,7207.0,3854.0,2.31999969482421,1.76999950408935,0.97999954223632,352.0,1067.0,14.6199951171875,12.1999969482421,84.8999633789062,4820.0,14755.0,15902.0,841.53955078125,80.0,0.81999969482421,3.5,132.0,2.86999893188476,160.0,88.0,113.0,2.79999923706054,33319.0,29.5299987792968,4847.0,211.0,39736.0
19.0,157170.0,436.0,318.0,22815.0,2452.0,76000.0,2889.978515625,11674.09375,2425.369140625,101.0,205.199951171875,888.0,19106.0,1974.189453125,135.436889648437,6.09999847412109,18497.09375,12471.796875,4787.0,126.0,71.0,1839.419921875,2705.869140625,5902.0,3195.0,2.71999931335449,1.1299991607666,1.16999912261962,240.0,1109.0,13.9299926757812,16.5,112.699951171875,4988.0,15687.0,13305.0,833.5498046875,76.0,0.86999988555908,3.64999961853027,126.0,2.16999816894531,161.0,78.0,109.0,2.31999969482421,42823.0,68.25,4550.0,151.0,54942.0
