Date,ProductGroup,SalesRegion,SalesOffice,SalesInUsd,SalesCost,QuantityInvoiced,SKU
2001-01-01,Electrical,East,Buffalo,975.175721692362,1015.80771103404,432.0,CPR 00108N 0400RI
2001-02-01,Electrical,East,Buffalo,324.198037235409,341.199702559624,432.0,CPR 00108N 0400RI
2001-03-01,Electrical,East,Buffalo,1948.74412900731,2047.1424171821,,CPR 00108N 0400RI
2001-04-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2001-05-01,Electrical,East,Buffalo,342.117652205189,348.40282580235,432.0,CPR 00108N 0400RI
2001-06-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2001-07-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2001-08-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2001-09-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2001-10-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2001-11-01,Electrical,East,Buffalo,525.14995848951,539.715915290797,718.893988002951,CPR 00108N 0400RI
2001-12-01,Electrical,East,Buffalo,281.391193109322,324.36,432.0,CPR 00108N 0400RI
2002-01-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2002-02-01,Electrical,East,Buffalo,250.872,324.930327660729,432.0,CPR 00108N 0400RI
2002-03-01,Electrical,East,Buffalo,630.17989548641,673.012925575562,,CPR 00108N 0400RI
2002-04-01,Electrical,East,Buffalo,315.171083562947,343.409960462149,432.0,CPR 00108N 0400RI
2002-05-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2002-06-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2002-07-01,Electrical,East,Buffalo,768.773749447888,730.987427111597,,CPR 00108N 0400RI
2002-08-01,Electrical,East,Buffalo,767.98892486437,732.320850560419,,CPR 00108N 0400RI
2002-09-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2002-10-01,Electrical,East,Buffalo,,,,CPR 00108N 0400RI
2002-11-01,Electrical,East,Buffalo,384.335218056584,329.255416753128,432.0,CPR 00108N 0400RI
