CLASNAME,OBJNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,PREDCLAS,PREDROLE,SUCCCLAS,SUCCROLE,VERB,PREDCARD,SUCCCARD
OMSassocmgr,DELETED *** LIBRARY CONTAINS TABLE,1283357743.00604,,,,A0000001.A4000001,This association template has been deleted,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.LIBRARY,LOCATION,SASHELP.MDCLASS.TABLE,DATAFILE,DELETED,0:m,0:1
OMSassocmgr,DELETED *** TABLE IS_COMPOSED_OF COLUMN,1283357743.16667,,,,A0000001.A4000002,This association template has been deleted,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.TABLE,TABLE,SASHELP.MDCLASS.COLUMN,COLUMN,DELETED,1:m,1:1
OMSassocmgr,DELETED *** LIBRARY CONTAINS TABLE,1283357743.29128,,,,A0000001.A4000003,This association template has been deleted,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.LIBRARY,LOCATION,SASHELP.MDCLASS.TABLE,COPY,DELETED,0:m,0:1
OMSassocmgr,DELETED *** REPOSITORY USES REPOSITORY,1283357743.42387,,,,A0000001.A4000004,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.OBJPOOL.RPOSCTRL,INTERNAL REFERENCE,SASHELP.OBJPOOL.RPOSCTRL,EXTERNAL REFERENCE,DELETED,0:m,0:m
OMSassocmgr,DELETED *** COLUMN USES SUBSET,1285523425.90424,,,,A0000001.A4000005,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.COLUMN,INPUT SOURCE,SASHELP.MDCLASS.SUBSET,TARGET,DELETED,0:m,0:m
OMSassocmgr,DELETED *** COLUMN USES INDEX,1285523427.57239,,,,A0000001.A4000006,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.COLUMN,COLUMN,SASHELP.MDCLASS.INDEX,TARGET,DELETED,0:m,0:m
OMSassocmgr,DELETED *** CONNECT CONTAINS P_TABLE,1285523428.51033,,,,A0000001.A4000007,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.CONNECT,CONNECT,SASHELP.MDCLASS.P_TABLE,CONNECTION,DELETED,0:m,0:1
OMSassocmgr,DELETED *** TABLE CONTAINS TABLE,1285523428.59335,,,,A0000001.A4000008,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.TABLE,PARENT,SASHELP.MDCLASS.TABLE,CHILD,DELETED,0:m,0:1
OMSassocmgr,DELETED *** TABLE USES TABLE,1285523428.6763,,,,A0000001.A4000009,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.TABLE,INPUT SOURCE,SASHELP.MDCLASS.TABLE,TARGET,DELETED,0:m,0:m
OMSassocmgr,DELETED *** LIBRARY CONTAINS P_TABLE,1285523428.75933,,,,A0000001.A400000A,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.LIBRARY,LIBRARY,SASHELP.MDCLASS.P_TABLE,DATAFILE,DELETED,0:m,0:1
OMSassocmgr,DELETED *** P_TABLE CONTAINS TABLE,1285523428.84223,,,,A0000001.A400000B,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.P_TABLE,STORE,SASHELP.MDCLASS.TABLE,LEVEL,DELETED,0:m,0:1
OMSassocmgr,DELETED *** P_TABLE CONTAINS TBLSECUR,1285523429.37396,,,,A0000001.A400000C,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.P_TABLE,OBJECT,SASHELP.MDCLASS.TBLSECUR,SECURITY,DELETED,0:m,1:1
OMSassocmgr,DELETED *** P_TABLE CONTAINS INDEX,1285523429.45689,,,,A0000001.A400000D,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.P_TABLE,TABLE,SASHELP.MDCLASS.INDEX,INDEX,DELETED,0:m,1:1
OMSassocmgr,DELETED *** PERSON CONTAINS TABLE,1285523429.76365,,,,A0000001.A400000E,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.PERSON,CUSTODIAN,SASHELP.MDCLASS.TABLE,OBJECT,DELETED,0:m,0:1
OMSassocmgr,DELETED *** PERSON CONTAINS TABLE,1285523429.84663,,,,A0000001.A400000F,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.PERSON,OWNER,SASHELP.MDCLASS.TABLE,OBJECT,DELETED,0:m,0:1
OMSassocmgr,DELETED *** PERSON USES REMOTE,1285523429.92997,,,,A0000001.A400000G,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.PERSON,PERSON,SASHELP.MDCLASS.REMOTE,HOST,DELETED,0:m,0:m
OMSassocmgr,DELETED *** PERSON USES CONNECT,1285523430.01268,,,,A0000001.A400000H,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.PERSON,PERSON,SASHELP.MDCLASS.CONNECT,DBMS,DELETED,0:m,0:m
OMSassocmgr,DELETED *** PROCESS CONTAINS TABLE,1285523430.25329,,,,A0000001.A400000I,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.PROCESS,PROCESS,SASHELP.MDCLASS.TABLE,OUTPUT_DATA,DELETED,0:m,0:1
OMSassocmgr,DELETED *** PROCESS CONTAINS PROCESS,1285523430.33621,,,,A0000001.A400000J,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.PROCESS,POSTPROCESS,SASHELP.MDCLASS.PROCESS,PREPROCESS,DELETED,0:m,0:1
OMSassocmgr,DELETED *** PROCESS CONTAINS SRCCODE,1285523430.6102,,,,A0000001.A400000K,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.PROCESS,PROCESS,SASHELP.MDCLASS.SRCCODE,SRCCODE,DELETED,0:m,0:1
OMSassocmgr,DELETED *** PROCESS CONTAINS SUBSET,1285523430.69317,,,,A0000001.A400000L,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.PROCESS,PROCESS,SASHELP.MDCLASS.SUBSET,SUBSET,DELETED,0:m,0:1
OMSassocmgr,DELETED *** PROCESS CONTAINS TRNSFORM,1285523430.93413,,,,A0000001.A400000M,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.PROCESS,PROCESS,SASHELP.MDCLASS.TRNSFORM,TRANSFORM,DELETED,0:m,0:1
OMSassocmgr,DELETED *** REMOTE CONTAINS P_TABLE,1285523431.01688,,,,A0000001.A400000N,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.REMOTE,HOST,SASHELP.MDCLASS.P_TABLE,FILE,DELETED,0:m,0:1
OMSassocmgr,DELETED *** REMOTE CONTAINS TABLE,1285523431.09992,,,,A0000001.A400000O,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.REMOTE,HOST,SASHELP.MDCLASS.TABLE,FILE,DELETED,0:m,0:1
OMSassocmgr,DELETED *** REMOTE CONTAINS PROCESS,1285523431.18334,,,,A0000001.A400000P,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.REMOTE,HOST,SASHELP.MDCLASS.PROCESS,FILE,DELETED,0:m,0:1
OMSassocmgr,DELETED *** TRNSFORM USES COLUMN,1285523431.26589,,,,A0000001.A400000Q,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.TRNSFORM,INPUT SOURCE,SASHELP.MDCLASS.COLUMN,TARGET,DELETED,0:m,0:m
OMSassocmgr,DELETED *** TRNSFORM USES COLUMN,1285523431.34897,,,,A0000001.A400000R,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.MDCLASS.TRNSFORM,TARGET,SASHELP.MDCLASS.COLUMN,INPUT SOURCE,DELETED,0:m,0:m
OMSassocmgr,DELETED *** COMMONMD HAS NOTE,1285523431.58964,,,,A0000001.A400000S,This association template has been deleted.,2.0,0.0,0.0,2.0,SASHELP.OBJPOOL.COMMONMD,OBJECT,SASHELP.MDCLASS.NOTE,NOTE,DELETED,0:m,1:1
OMSassocmgr,,1285538520.02694,1357142923.82,,,A0000001.A400000T,,2.0,0.0,0.0,2.0,,,,,VERSION NUMBER,005.4,
OMSassocmgr,DELETED *** Group USES Root,1286210512.81551,,,,A0000001.A400000U,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSgroup,GROUPLIST,OMSroot,MEMBERLIST,DELETED,0:m,0:m
OMSassocmgr,DELETED *** JobFlow USES JobFlow,1290438856.02717,,,,A0000001.A400000V,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSjobflow,JOBFLOWSOURCELIST,OMSjobflow,JOBFLOWTARGETLIST,DELETED,0:m,0:m
OMSassocmgr,DELETED *** WColumn HAS DataFile,1290438856.02728,,,,A0000001.A400000W,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSwcolumn,COLUMNLIST,OMSdatafile,TABLE,DELETED,1:1,0:m
