CLASNAME,OBJNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,PREDCARD,SUCCCARD,VERB
OMSverbmgr,HAS_A,1283426652.48148,1283426652.48148,,HAS_A,A0000001.A3000001,Verb HAS_A,1.0,0.0,0.0,2.0,1:1,0:m,HAS_A
OMSverbmgr,EXTENDS,1283426652.74952,1283426652.74952,,EXTENDS,A0000001.A3000002,Verb EXTENDS,1.0,0.0,0.0,2.0,0:1,1:1,EXTENDS
OMSverbmgr,IS_RELATED_TO_0_1,1283426652.96231,1283426652.96231,,IS_RELATED_TO_0_1,A0000001.A3000003,Verb IS_RELATED_TO_0_1,1.0,0.0,0.0,2.0,0:1,0:1,IS_RELATED_TO_0_1
OMSverbmgr,IS_RELATED_TO_0_N,1283426653.18297,1283426653.18297,,IS_RELATED_TO_0_N,A0000001.A3000004,Verb IS_RELATED_TO_0_N,1.0,0.0,0.0,2.0,0:1,0:m,IS_RELATED_TO_0_N
OMSverbmgr,IS_RELATED_TO_1,1283426653.40817,1283426653.40817,,IS_RELATED_TO_1,A0000001.A3000005,Verb IS_RELATED_TO_1,1.0,0.0,0.0,2.0,0:1,1:1,IS_RELATED_TO_1
OMSverbmgr,IS_RELATED_TO_1_N,1283426653.63905,1283426653.63905,,IS_RELATED_TO_1_N,A0000001.A3000006,Verb IS_RELATED_TO_1_N,1.0,0.0,0.0,2.0,0:1,1:m,IS_RELATED_TO_1_N
OMSverbmgr,CONTAINS,1283426653.83885,1283426653.83885,,CONTAINS,A0000001.A3000007,Verb CONTAINS,1.0,0.0,0.0,2.0,0:m,0:1,CONTAINS
OMSverbmgr,USES,1283426654.08814,1283426654.08814,,USES,A0000001.A3000008,Verb USES,1.0,0.0,0.0,2.0,0:m,0:m,USES
OMSverbmgr,HAS,1283426654.3203,1283426654.3203,,HAS,A0000001.A3000009,Verb HAS,1.0,0.0,0.0,2.0,0:m,1:1,HAS
OMSverbmgr,HAS_1_N_OF,1283426654.51178,1283426654.51178,,HAS_1_N_OF,A0000001.A300000A,Verb HAS_1_N_OF,1.0,0.0,0.0,2.0,0:m,1:m,HAS_1_N_OF
OMSverbmgr,IS_CONTAINED_IN_0_1,1283426656.10016,1283426656.10016,,IS_CONTAINED_IN_0_1,A0000001.A300000B,Verb IS_CONTAINED_IN_0_1,1.0,0.0,0.0,2.0,1:1,0:1,IS_CONTAINED_IN_0_1
OMSverbmgr,IS_CONTAINED_IN_0_N,1283426656.26522,1283426656.26522,,IS_CONTAINED_IN_0_N,A0000001.A300000C,Verb IS_CONTAINED_IN_0_N,1.0,0.0,0.0,2.0,1:1,0:m,IS_CONTAINED_IN_0_N
OMSverbmgr,IS_CONTAINED_IN_1,1283426656.38806,1283426656.38806,,IS_CONTAINED_IN_1,A0000001.A300000D,Verb IS_CONTAINED_IN_1,1.0,0.0,0.0,2.0,1:1,1:1,IS_CONTAINED_IN_1
OMSverbmgr,IS_CONTAINED_IN_1_N,1283426656.60455,1283426656.60455,,IS_CONTAINED_IN_1_N,A0000001.A300000E,Verb IS_CONTAINED_IN_1_N,1.0,0.0,0.0,2.0,1:1,1:m,IS_CONTAINED_IN_1_N
OMSverbmgr,IS_COMPOSED_OF_0_1,1283426654.72223,1283426654.72223,,IS_COMPOSED_OF_0_1,A0000001.A300000F,Verb IS_COMPOSED_OF_0_1,1.0,0.0,0.0,2.0,1:m,0:1,IS_COMPOSED_OF_0_1
OMSverbmgr,IS_COMPOSED_OF_0_N,1283426654.8729,1283426654.8729,,IS_COMPOSED_OF_0_N,A0000001.A300000G,Verb IS_COMPOSED_OF_0_N,1.0,0.0,0.0,2.0,1:m,0:m,IS_COMPOSED_OF_0_N
OMSverbmgr,IS_COMPOSED_OF_1,1283426655.73479,1283426655.73479,,IS_COMPOSED_OF_1,A0000001.A300000H,Verb IS_COMPOSED_OF_1,1.0,0.0,0.0,2.0,1:m,1:1,IS_COMPOSED_OF_1
OMSverbmgr,IS_COMPOSED_OF,1283426655.9752,1283426655.9752,,IS_COMPOSED_OF,A0000001.A300000I,Verb IS_COMPOSED_OF,1.0,0.0,0.0,2.0,1:m,1:m,IS_COMPOSED_OF
OMSverbmgr,VERSION NUMBER,1283426655.9752,1283426655.9752,,VERSION NUMBER,A0000001.A300000J,VERSION NUMBER special record,1.0,0.0,0.0,2.0,002.0,,VERSION NUMBER
