Year,Quarter,Product_Line,Product_Category,Product_Group,Quantity,Profit,Total_Retail_Price
1999.0,1999Q1,Children,Children Sports,"A-Team, Kids",286.0,4980.14999999999,8990.9
1999.0,1999Q1,Children,Children Sports,"Bathing Suits, Kids",98.0,1479.95,2560.39999999999
1999.0,1999Q1,Children,Children Sports,"Eclipse, Kid's Clothes",588.0,9348.95,18768.8
1999.0,1999Q1,Children,Children Sports,"Eclipse, Kid's Shoes",334.0,7136.8,14337.2
1999.0,1999Q1,Children,Children Sports,"Lucky Guy, Kids",303.0,7163.00000000001,12996.1999999999
1999.0,1999Q1,Children,Children Sports,"N.D. Gear, Kids",755.0,19153.0499999999,34250.4999999999
1999.0,1999Q1,Children,Children Sports,"Olssons, Kids",209.0,1975.35,3339.29999999999
1999.0,1999Q1,Children,Children Sports,Orion Kid's Clothes,14.0,288.8,580.4
1999.0,1999Q1,Children,Children Sports,"Osprey, Kids",454.0,7334.69999999999,13219.5999999999
1999.0,1999Q1,Children,Children Sports,Tracker Kid's Clothes,1243.0,21847.85,40049.4999999999
1999.0,1999Q1,Children,Children Sports,"Ypsilon, Kids",139.0,3020.84999999999,5354.7
1999.0,1999Q1,Clothes & Shoes,Clothes,Eclipse Clothing,2938.0,84982.5,170206.1
1999.0,1999Q1,Clothes & Shoes,Clothes,Green Tomato,171.0,4706.85,7846.2
1999.0,1999Q1,Clothes & Shoes,Clothes,Knitwear,1554.0,79951.69,140077.939999999
1999.0,1999Q1,Clothes & Shoes,Clothes,LSF,335.0,16878.0,32535.5
1999.0,1999Q1,Clothes & Shoes,Clothes,Leisure,312.0,14394.2999999999,26047.1999999999
1999.0,1999Q1,Clothes & Shoes,Clothes,Massif,25.0,3767.9,7192.1
1999.0,1999Q1,Clothes & Shoes,Clothes,Orion,793.0,38066.35,72236.4999999997
1999.0,1999Q1,Clothes & Shoes,Clothes,Orion Clothing,460.0,11650.25,22294.2999999999
1999.0,1999Q1,Clothes & Shoes,Clothes,Osprey,266.0,9218.75,15712.7999999999
1999.0,1999Q1,Clothes & Shoes,Clothes,Shorts,150.0,2278.65,4063.0
1999.0,1999Q1,Clothes & Shoes,Clothes,Stockings & Socks,237.0,2099.55,3564.9
1999.0,1999Q1,Clothes & Shoes,Clothes,Street Wear,408.0,15325.3,26391.8
1999.0,1999Q1,Clothes & Shoes,Clothes,T-Shirts,362.0,5829.1,10497.1
1999.0,1999Q1,Clothes & Shoes,Clothes,Tracker Clothes,2624.0,69039.1999999998,127046.799999999
1999.0,1999Q1,Clothes & Shoes,Clothes,Twain,71.0,9522.575,18878.325
1999.0,1999Q1,Clothes & Shoes,Shoes,Eclipse Shoes,4121.0,205449.95,413796.399999998
1999.0,1999Q1,Clothes & Shoes,Shoes,Shoes,1905.0,98815.5500000001,183279.199999999
1999.0,1999Q1,Clothes & Shoes,Shoes,Tracker Shoes,2179.0,92492.5499999996,170200.4
1999.0,1999Q1,Outdoors,Outdoors,Anoraks & Parkas,3139.0,236288.94,420621.539999999
1999.0,1999Q1,Outdoors,Outdoors,Backpacks,607.0,43060.0499999999,81268.5
1999.0,1999Q1,Outdoors,Outdoors,Gloves & Mittens,251.0,5756.9,9900.80000000001
1999.0,1999Q1,Outdoors,Outdoors,Knitted Accessories,405.0,4104.43,7135.58
1999.0,1999Q1,Outdoors,Outdoors,Outdoor Gear,1898.0,85201.7999999998,150492.7
1999.0,1999Q1,Outdoors,Outdoors,Sleepingbags,1643.0,74168.0499999998,146132.8
1999.0,1999Q1,Outdoors,Outdoors,Tents,705.0,123546.999999999,251163.800000001
1999.0,1999Q1,Sports,Assorted Sports Articles,Assorted Sports articles,4220.0,146611.2,266024.149999999
1999.0,1999Q1,Sports,Assorted Sports Articles,Darts,1108.0,20224.1999999999,34454.2000000001
1999.0,1999Q1,Sports,Assorted Sports Articles,Petanque - Boule,376.0,8991.85,16225.2999999999
1999.0,1999Q1,Sports,Assorted Sports Articles,Skates,1980.0,187259.0,384963.299999999
1999.0,1999Q1,Sports,Golf,Golf,1456.0,76791.65,159190.7
1999.0,1999Q1,Sports,Golf,Golf Clothes,502.0,41045.45,57055.1999999998
1999.0,1999Q1,Sports,Indoor Sports,Fitness,647.0,60817.6499999998,121856.999999999
1999.0,1999Q1,Sports,Indoor Sports,Gymnastic Clothing,358.0,9569.26,17024.36
1999.0,1999Q1,Sports,Indoor Sports,Top Trim,340.0,39674.61,71773.2599999999
1999.0,1999Q1,Sports,Racket Sports,Badminton,125.0,13498.75,18203.8
1999.0,1999Q1,Sports,Racket Sports,Racket Sports,529.0,44820.1,76510.4
1999.0,1999Q1,Sports,Racket Sports,Tennis,554.0,13944.5999999999,23950.2999999999
1999.0,1999Q1,Sports,Running - Jogging,Jogging,1321.0,46763.6,81657.7999999997
1999.0,1999Q1,Sports,Running - Jogging,Running Clothes,2106.0,52840.6499999999,95139.8000000003
1999.0,1999Q1,Sports,Swim Sports,Bathing Suits,1262.0,25863.8,44130.7999999999
1999.0,1999Q1,Sports,Team Sports,American Football,431.0,5990.33000000003,10608.8599999999
1999.0,1999Q1,Sports,Team Sports,Baseball,381.0,3604.8,6444.69999999998
1999.0,1999Q1,Sports,Team Sports,Basket Ball,232.0,2853.19999999999,4617.64999999999
1999.0,1999Q1,Sports,Team Sports,Soccer,1065.0,19317.55,36927.0
1999.0,1999Q1,Sports,Winter Sports,Ski Dress,1527.0,213396.5,377411.349999999
1999.0,1999Q1,Sports,Winter Sports,Winter Sports,2590.0,138916.24,247872.789999999
1999.0,1999Q2,Children,Children Sports,"A-Team, Kids",601.0,10243.6499999999,18499.0999999999
1999.0,1999Q2,Children,Children Sports,"Bathing Suits, Kids",183.0,3217.10999999999,5552.66
1999.0,1999Q2,Children,Children Sports,"Eclipse, Kid's Clothes",1068.0,17268.75,34688.1999999999
1999.0,1999Q2,Children,Children Sports,"Eclipse, Kid's Shoes",662.0,13860.84,28052.4399999999
1999.0,1999Q2,Children,Children Sports,"Lucky Guy, Kids",566.0,13148.95,23871.0999999999
1999.0,1999Q2,Children,Children Sports,"N.D. Gear, Kids",1586.0,41117.88,73708.2799999999
1999.0,1999Q2,Children,Children Sports,"Olssons, Kids",445.0,4180.45,7018.29999999999
1999.0,1999Q2,Children,Children Sports,Orion Kid's Clothes,19.0,344.799999999999,693.4
1999.0,1999Q2,Children,Children Sports,"Osprey, Kids",1031.0,15763.2,28603.6
1999.0,1999Q2,Children,Children Sports,Tracker Kid's Clothes,2458.0,44840.28,82469.8299999997
1999.0,1999Q2,Children,Children Sports,"Ypsilon, Kids",250.0,5289.84999999999,9378.6
1999.0,1999Q2,Clothes & Shoes,Clothes,Eclipse Clothing,5658.0,156126.529999999,313701.980000002
1999.0,1999Q2,Clothes & Shoes,Clothes,Green Tomato,324.0,9264.64999999999,15443.8
1999.0,1999Q2,Clothes & Shoes,Clothes,Knitwear,894.0,43345.25,75620.2999999998
1999.0,1999Q2,Clothes & Shoes,Clothes,LSF,601.0,31183.95,59883.4999999999
1999.0,1999Q2,Clothes & Shoes,Clothes,Leisure,584.0,26349.3999999999,47715.8000000001
1999.0,1999Q2,Clothes & Shoes,Clothes,Massif,78.0,11770.8999999999,22468.0
1999.0,1999Q2,Clothes & Shoes,Clothes,Orion,1397.0,65043.2899999999,124513.29
1999.0,1999Q2,Clothes & Shoes,Clothes,Orion Clothing,864.0,23831.66,45875.1099999999
1999.0,1999Q2,Clothes & Shoes,Clothes,Osprey,470.0,16426.85,28081.7999999999
1999.0,1999Q2,Clothes & Shoes,Clothes,Shorts,258.0,3866.85,6897.7
1999.0,1999Q2,Clothes & Shoes,Clothes,Stockings & Socks,406.0,3703.15,6306.89999999999
1999.0,1999Q2,Clothes & Shoes,Clothes,Street Wear,847.0,33972.55,58897.3
1999.0,1999Q2,Clothes & Shoes,Clothes,T-Shirts,639.0,9721.42999999999,17852.43
1999.0,1999Q2,Clothes & Shoes,Clothes,Tracker Clothes,4815.0,126424.969999999,233424.419999999
1999.0,1999Q2,Clothes & Shoes,Clothes,Twain,96.0,12789.55,25292.35
1999.0,1999Q2,Clothes & Shoes,Shoes,Eclipse Shoes,6853.0,340341.14,686906.589999999
1999.0,1999Q2,Clothes & Shoes,Shoes,Shoes,3050.0,159684.089999999,296426.49
1999.0,1999Q2,Clothes & Shoes,Shoes,Tracker Shoes,3927.0,160034.649999999,294621.7
1999.0,1999Q2,Outdoors,Outdoors,Anoraks & Parkas,2060.0,162450.51,291965.709999998
1999.0,1999Q2,Outdoors,Outdoors,Backpacks,1497.0,102754.449999999,197134.25
1999.0,1999Q2,Outdoors,Outdoors,Gloves & Mittens,234.0,5557.94999999999,9617.00000000001
1999.0,1999Q2,Outdoors,Outdoors,Knitted Accessories,166.0,2012.49999999999,3441.8
1999.0,1999Q2,Outdoors,Outdoors,Outdoor Gear,4488.0,192599.91,342417.709999999
1999.0,1999Q2,Outdoors,Outdoors,Sleepingbags,3980.0,181599.499999999,357953.700000001
1999.0,1999Q2,Outdoors,Outdoors,Tents,1699.0,300826.0,606290.999999998
1999.0,1999Q2,Sports,Assorted Sports Articles,Assorted Sports articles,6837.0,237328.184999999,430240.384999999
1999.0,1999Q2,Sports,Assorted Sports Articles,Darts,1094.0,20502.9499999999,34922.3000000001
1999.0,1999Q2,Sports,Assorted Sports Articles,Petanque - Boule,1041.0,25301.0999999999,45565.9999999999
1999.0,1999Q2,Sports,Assorted Sports Articles,Skates,4825.0,444409.070000001,940072.820000001
1999.0,1999Q2,Sports,Golf,Golf,3469.0,180709.21,376437.36
1999.0,1999Q2,Sports,Golf,Golf Clothes,1068.0,84713.9499999999,116364.499999999
1999.0,1999Q2,Sports,Indoor Sports,Fitness,334.0,24463.6499999999,49631.6999999999
