COUNTRY,STATE,COUNTY,ACTUAL,PREDICT,PRODTYPE,PRODUCT,YEAR,QUARTER,MONTH,MONYR
U.S.A.,California,,987.36,692.24,FURNITURE,SOFA,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,1782.96,568.48,FURNITURE,SOFA,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,32.64,16.32,FURNITURE,SOFA,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,1825.12,756.16,FURNITURE,SOFA,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,750.72,723.52,FURNITURE,SOFA,1995.0,2.0,1993-05-01,1995-05-01
U.S.A.,California,,2426.24,2428.96,FURNITURE,SOFA,1995.0,2.0,1993-06-01,1995-06-01
U.S.A.,California,,1791.12,2250.8,FURNITURE,SOFA,1995.0,3.0,1993-07-01,1995-07-01
U.S.A.,California,,2282.08,350.88,FURNITURE,SOFA,1995.0,3.0,1993-08-01,1995-08-01
U.S.A.,California,,2518.72,1736.72,FURNITURE,SOFA,1995.0,3.0,1993-09-01,1995-09-01
U.S.A.,California,,1436.16,2167.84,FURNITURE,SOFA,1995.0,4.0,1993-10-01,1995-10-01
U.S.A.,California,,2314.72,62.56,FURNITURE,SOFA,1995.0,4.0,1993-11-01,1995-11-01
U.S.A.,California,,1410.32,1670.08,FURNITURE,SOFA,1995.0,4.0,1993-12-01,1995-12-01
U.S.A.,California,,369.92,1365.44,FURNITURE,BED,1995.0,1.0,1993-01-01,1995-01-01
U.S.A.,California,,2014.16,2358.24,FURNITURE,BED,1995.0,1.0,1993-02-01,1995-02-01
U.S.A.,California,,85.68,2594.88,FURNITURE,BED,1995.0,1.0,1993-03-01,1995-03-01
U.S.A.,California,,2694.16,1403.52,FURNITURE,BED,1995.0,2.0,1993-04-01,1995-04-01
U.S.A.,California,,2014.16,707.2,FURNITURE,BED,1995.0,2.0,1993-05-01,1995-05-01
