COUNTRY,STATE,COUNTY,ACTUAL,PREDICT,PRODTYPE,PRODUCT,YEAR,QUARTER,MONTH,DATE
U.S.A.,California,,726.0,509.0,FURNITURE,SOFA,1997.0,1.0,1993-01-01,1997-01-01
U.S.A.,California,,1311.0,418.0,FURNITURE,SOFA,1997.0,1.0,1993-02-01,1997-02-01
U.S.A.,California,,24.0,12.0,FURNITURE,SOFA,1997.0,1.0,1993-03-01,1997-03-01
U.S.A.,California,,1342.0,556.0,FURNITURE,SOFA,1997.0,2.0,1993-04-01,1997-04-01
U.S.A.,California,,552.0,532.0,FURNITURE,SOFA,1997.0,2.0,1993-05-01,1997-05-01
U.S.A.,California,,1784.0,1786.0,FURNITURE,SOFA,1997.0,2.0,1993-06-01,1997-06-01
U.S.A.,California,,1317.0,1655.0,FURNITURE,SOFA,1997.0,3.0,1993-07-01,1997-07-01
U.S.A.,California,,1678.0,258.0,FURNITURE,SOFA,1997.0,3.0,1993-08-01,1997-08-01
U.S.A.,California,,1852.0,1277.0,FURNITURE,SOFA,1997.0,3.0,1993-09-01,1997-09-01
U.S.A.,California,,1056.0,1594.0,FURNITURE,SOFA,1997.0,4.0,1993-10-01,1997-10-01
U.S.A.,California,,1702.0,46.0,FURNITURE,SOFA,1997.0,4.0,1993-11-01,1997-11-01
U.S.A.,California,,1037.0,1228.0,FURNITURE,SOFA,1997.0,4.0,1993-12-01,1997-12-01
U.S.A.,California,,1923.9,222.2,FURNITURE,SOFA,1998.0,1.0,1994-01-01,1998-01-01
U.S.A.,California,,975.7,990.0,FURNITURE,SOFA,1998.0,1.0,1994-02-01,1998-02-01
U.S.A.,California,,973.5,949.3,FURNITURE,SOFA,1998.0,1.0,1994-03-01,1998-03-01
U.S.A.,California,,566.5,902.0,FURNITURE,SOFA,1998.0,2.0,1994-04-01,1998-04-01
U.S.A.,California,,1456.4,1710.5,FURNITURE,SOFA,1998.0,2.0,1994-05-01,1998-05-01
