ACTUAL,PREDICT,COUNTRY,REGION,DIVISION,PRODTYPE,PRODUCT,QUARTER,YEAR,MONTH
925.0,850.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,1.0,1993.0,1993-01-01
999.0,297.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,1.0,1993.0,1993-02-01
608.0,846.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,1.0,1993.0,1993-03-01
642.0,533.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,2.0,1993.0,1993-04-01
656.0,646.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,2.0,1993.0,1993-05-01
948.0,486.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,2.0,1993.0,1993-06-01
612.0,717.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,3.0,1993.0,1993-07-01
114.0,564.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,3.0,1993.0,1993-08-01
685.0,230.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,3.0,1993.0,1993-09-01
657.0,494.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,4.0,1993.0,1993-10-01
608.0,903.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,4.0,1993.0,1993-11-01
353.0,266.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,4.0,1993.0,1993-12-01
107.0,190.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,1.0,1994.0,1994-01-01
354.0,139.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,1.0,1994.0,1994-02-01
101.0,217.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,1.0,1994.0,1994-03-01
553.0,560.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,2.0,1994.0,1994-04-01
877.0,148.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,2.0,1994.0,1994-05-01
431.0,762.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,2.0,1994.0,1994-06-01
511.0,457.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,3.0,1994.0,1994-07-01
157.0,532.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,3.0,1994.0,1994-08-01
520.0,629.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,3.0,1994.0,1994-09-01
114.0,491.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,4.0,1994.0,1994-10-01
277.0,0.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,4.0,1994.0,1994-11-01
561.0,979.0,CANADA,EAST,EDUCATION,FURNITURE,SOFA,4.0,1994.0,1994-12-01
220.0,585.0,CANADA,EAST,EDUCATION,FURNITURE,BED,1.0,1993.0,1993-01-01
444.0,267.0,CANADA,EAST,EDUCATION,FURNITURE,BED,1.0,1993.0,1993-02-01
178.0,487.0,CANADA,EAST,EDUCATION,FURNITURE,BED,1.0,1993.0,1993-03-01
756.0,764.0,CANADA,EAST,EDUCATION,FURNITURE,BED,2.0,1993.0,1993-04-01
329.0,312.0,CANADA,EAST,EDUCATION,FURNITURE,BED,2.0,1993.0,1993-05-01
910.0,531.0,CANADA,EAST,EDUCATION,FURNITURE,BED,2.0,1993.0,1993-06-01
530.0,536.0,CANADA,EAST,EDUCATION,FURNITURE,BED,3.0,1993.0,1993-07-01
101.0,773.0,CANADA,EAST,EDUCATION,FURNITURE,BED,3.0,1993.0,1993-08-01
515.0,143.0,CANADA,EAST,EDUCATION,FURNITURE,BED,3.0,1993.0,1993-09-01
730.0,126.0,CANADA,EAST,EDUCATION,FURNITURE,BED,4.0,1993.0,1993-10-01
993.0,862.0,CANADA,EAST,EDUCATION,FURNITURE,BED,4.0,1993.0,1993-11-01
954.0,754.0,CANADA,EAST,EDUCATION,FURNITURE,BED,4.0,1993.0,1993-12-01
267.0,410.0,CANADA,EAST,EDUCATION,FURNITURE,BED,1.0,1994.0,1994-01-01
347.0,701.0,CANADA,EAST,EDUCATION,FURNITURE,BED,1.0,1994.0,1994-02-01
991.0,204.0,CANADA,EAST,EDUCATION,FURNITURE,BED,1.0,1994.0,1994-03-01
923.0,509.0,CANADA,EAST,EDUCATION,FURNITURE,BED,2.0,1994.0,1994-04-01
437.0,378.0,CANADA,EAST,EDUCATION,FURNITURE,BED,2.0,1994.0,1994-05-01
737.0,507.0,CANADA,EAST,EDUCATION,FURNITURE,BED,2.0,1994.0,1994-06-01
104.0,49.0,CANADA,EAST,EDUCATION,FURNITURE,BED,3.0,1994.0,1994-07-01
840.0,876.0,CANADA,EAST,EDUCATION,FURNITURE,BED,3.0,1994.0,1994-08-01
704.0,66.0,CANADA,EAST,EDUCATION,FURNITURE,BED,3.0,1994.0,1994-09-01
889.0,819.0,CANADA,EAST,EDUCATION,FURNITURE,BED,4.0,1994.0,1994-10-01
107.0,351.0,CANADA,EAST,EDUCATION,FURNITURE,BED,4.0,1994.0,1994-11-01
571.0,201.0,CANADA,EAST,EDUCATION,FURNITURE,BED,4.0,1994.0,1994-12-01
688.0,209.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,1.0,1993.0,1993-01-01
544.0,51.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,1.0,1993.0,1993-02-01
954.0,135.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,1.0,1993.0,1993-03-01
445.0,47.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,2.0,1993.0,1993-04-01
829.0,379.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,2.0,1993.0,1993-05-01
464.0,758.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,2.0,1993.0,1993-06-01
968.0,475.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,3.0,1993.0,1993-07-01
842.0,343.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,3.0,1993.0,1993-08-01
721.0,507.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,3.0,1993.0,1993-09-01
966.0,269.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,4.0,1993.0,1993-10-01
332.0,699.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,4.0,1993.0,1993-11-01
328.0,824.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,4.0,1993.0,1993-12-01
355.0,497.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,1.0,1994.0,1994-01-01
506.0,44.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,1.0,1994.0,1994-02-01
585.0,522.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,1.0,1994.0,1994-03-01
634.0,378.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,2.0,1994.0,1994-04-01
662.0,689.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,2.0,1994.0,1994-05-01
783.0,90.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,2.0,1994.0,1994-06-01
786.0,720.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,3.0,1994.0,1994-07-01
710.0,343.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,3.0,1994.0,1994-08-01
950.0,457.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,3.0,1994.0,1994-09-01
274.0,947.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,4.0,1994.0,1994-10-01
406.0,834.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,4.0,1994.0,1994-11-01
515.0,71.0,CANADA,EAST,EDUCATION,OFFICE,TABLE,4.0,1994.0,1994-12-01
35.0,282.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,1.0,1993.0,1993-01-01
995.0,538.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,1.0,1993.0,1993-02-01
670.0,679.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,1.0,1993.0,1993-03-01
406.0,601.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,2.0,1993.0,1993-04-01
825.0,577.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,2.0,1993.0,1993-05-01
467.0,908.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,2.0,1993.0,1993-06-01
709.0,819.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,3.0,1993.0,1993-07-01
522.0,687.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,3.0,1993.0,1993-08-01
688.0,157.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,3.0,1993.0,1993-09-01
956.0,111.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,4.0,1993.0,1993-10-01
129.0,31.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,4.0,1993.0,1993-11-01
687.0,790.0,CANADA,EAST,EDUCATION,OFFICE,CHAIR,4.0,1993.0,1993-12-01
