T,S0184,S0185,S0188,S0189,S0191,S0192,S0195,S0196,S0199,S0205,S0206,S0207,S0212,S0213,S0217,S0219,S0224,S0225,S0226,S0228,S0229,S0230,S0231,S0233,S0234,S0235,S0236,S0237,S0238,S0240,S0266,S0267,S0270,S0276,S0277,S0278,S0280,S0285,S0286,S0287,S0289,S0290,S0292,S0293,S0296,S0297,S0301,S0307,S0308,S0317,S0318,S0322,S0323,S0324,S0325,S0326,S0328,S0329,S0330,S0332,S0333,S0335,S0336,S0337,S0338,S0344,S0345,S0351,S0352,S0360,S0361,S0363,S0364,S0365,S0366,S0367,S0368,S0369,S0370,S0371,S0374,S0375,S0376,S0378,S0380,S0381,S0382,S0383,S0384
1.0,94.0,9366.3671875,13.2999954223632,30.1887969970703,5666.0,29.0,17050.0,65896.0,68462.0,1299.0,960.0,960.0,34.0,290.4599609375,2334.0,2310.0,1440.0,41.0,31.0,52.0,82.0,77.0,14.6999969482421,7.0,14.0,34.0,59.0,309.0,65.0999755859375,585.640625,81.0,48.0,72.0,23.5999908447265,36.7999877929687,157.799926757812,133.699951171875,77.0,100.0,64.0,81.0,682.0,108.0,1026.0,2892.0,65.0,63.0,7.08999633789062,63.0,160.0,83.7999877929687,81.0,55.0,71.0,64.0,85.0,83.7999877929687,81.7999877929687,82.0,82.8999633789062,84.3999633789062,2.6599998474121,60.0,54.0999755859375,63.0,77.0,75.0,99.0,94.699951171875,16.3099975585937,4.55999755859375,3.5,6903.0,1.02999973297119,82.0,43.0,313.0,37.1999816894531,2.09999847412109,29.0,102.0,561.0,87.2999877929687,197.0,1184.0,71.0,40.7999877929687,659.0,6.41999816894531
2.0,132.0,9169.5546875,33.8999938964843,38.5166931152343,5405.0,37.0,18408.0,63922.0,63023.0,1212.0,923.0,923.0,92.0,292.329833984375,2598.0,4190.0,1436.0,41.0,40.0,67.0,81.0,88.0,15.0,7.0,15.0,35.0,63.0,341.0,65.8999633789062,590.40283203125,91.0,51.0,76.0,30.3999938964843,50.2999877929687,209.099975585937,194.39990234375,78.0,100.0,55.0,79.0,673.0,103.0,1134.0,3206.0,71.0,63.0,8.45999908447265,67.0,161.0,90.699951171875,82.0,58.0,74.0,63.0,73.0,90.699951171875,85.0,84.699951171875,84.7999877929687,90.699951171875,3.65999984741211,62.0,59.5,67.0,78.0,74.0,99.3999633789062,96.8999633789062,16.719985961914,3.55999946594238,1.79999923706054,7047.0,1.03999996185302,85.0,63.0,321.0,15.6999969482421,3.89999961853027,30.0999908447265,102.0,373.0,90.0999755859375,348.0,1196.0,50.8999938964843,36.8999938964843,660.0,6.15999984741211
3.0,131.0,7776.83984375,19.5999908447265,43.7216796875,5001.0,42.0,18540.0,76160.0,71918.0,1031.0,777.0,777.0,76.0,262.369873046875,3067.0,10735.0,1358.0,38.0,40.0,61.0,66.0,64.0,11.8999938964843,7.0,15.0,30.0,55.0,339.0,65.7999877929687,495.1767578125,100.0,47.0,65.0,29.0,47.0,193.099975585937,186.89990234375,76.0,97.0,53.0,81.0,667.0,102.0,1078.0,2867.0,70.0,61.0,8.6199951171875,70.0,147.0,80.5999755859375,65.0,50.0,73.0,61.0,58.0,80.5999755859375,86.7999877929687,86.0,86.5,81.0999755859375,3.26999855041503,60.0,56.5,70.0,65.0,61.0,100.599975585937,100.599975585937,16.8399963378906,3.3799991607666,1.79999923706054,7162.0,1.06999969482421,33.0,74.0,325.0,11.0,2.89999961853027,30.5999908447265,100.0,282.0,92.8999633789062,360.0,1209.0,40.0,44.1999816894531,661.0,6.29999923706054
4.0,127.0,11186.296875,14.1999969482421,46.8445739746093,4688.0,45.0,20505.0,77622.0,81403.0,1118.0,956.0,956.0,85.0,299.719970703125,3318.0,4009.0,1525.0,44.0,44.0,64.0,85.0,90.0,15.6999969482421,8.0,14.0,32.0,66.0,380.0,73.5999755859375,616.58984375,92.0,51.0,80.0,27.7999877929687,50.0999755859375,211.099975585937,189.89990234375,91.0,108.0,60.0,86.0,786.0,130.0,1226.0,3446.0,74.0,60.0,9.37999725341797,71.0,139.0,84.2999877929687,83.0,60.0,72.0,60.0,57.0,84.2999877929687,86.3999633789062,85.5999755859375,86.2999877929687,84.699951171875,2.57999992370605,64.0,63.8999938964843,71.0,84.0,80.0,100.599975585937,102.799987792968,16.8299865722656,3.45999908447265,1.89999961853027,7250.0,1.05999946594238,44.0,64.0,324.0,26.5999908447265,2.5,31.2999877929687,104.0,346.0,91.5,668.0,1216.0,43.0,62.0999755859375,673.0,7.57999801635742
5.0,77.0,11710.6953125,18.3999938964843,36.4346923828125,5492.0,35.0,18523.0,78125.0,80790.0,1248.0,1140.0,1140.0,77.0,286.559814453125,2710.0,4134.0,1559.0,45.0,32.0,61.0,82.0,71.0,15.2999954223632,8.0,12.0,26.0,52.0,386.0,65.0,602.3056640625,87.0,50.0,78.0,30.5999908447265,43.8999938964843,191.699951171875,184.099975585937,91.0,106.0,75.0,86.0,793.0,87.0,1087.0,3320.0,69.0,58.0,8.05999755859375,69.0,149.0,92.699951171875,83.0,61.0,70.0,58.0,59.0,92.699951171875,86.0999755859375,88.3999633789062,88.5,91.0,2.48999977111816,60.0,57.7999877929687,69.0,84.0,83.0,99.3999633789062,104.099975585937,16.9399871826171,4.05999755859375,2.39999961853027,7269.0,1.06999969482421,47.0,70.0,325.0,28.8999938964843,3.19999885559082,33.1999816894531,100.0,546.0,91.5,630.0,1242.0,51.8409729003906,57.0999755859375,686.0,7.86999893188476
6.0,103.0,11641.0,46.1999816894531,43.7216796875,5231.0,42.0,20076.0,75453.0,86546.0,1235.0,1003.0,1194.0,104.0,298.179931640625,3075.0,5513.0,1492.0,45.0,41.0,73.0,92.0,93.0,15.5,10.0,15.0,30.0,62.0,406.0,67.5999755859375,597.544921875,97.0,55.0,83.0,37.5,56.6999816894531,241.299926757812,216.299926757812,87.0,98.0,61.0,90.0,791.0,106.0,1230.0,3402.0,71.0,62.0,9.71999359130859,75.0,163.0,89.0999755859375,85.0,62.0,72.0,62.0,69.0,89.0999755859375,88.3999633789062,88.5,88.8999633789062,88.7999877929687,3.38999938964843,67.0,62.0,75.0,85.0,81.0,100.0,106.599975585937,16.8499908447265,3.71999931335449,1.39999961853027,7418.0,1.06999969482421,22.0,95.0,331.0,12.0,5.19999694824218,34.8999938964843,106.0,372.0,94.7999877929687,553.0,1247.0,41.5999755859375,46.7999877929687,688.0,7.69999694824218
7.0,103.0,9061.46875,35.0999755859375,44.7626953125,4813.0,43.0,21073.0,84528.0,96206.0,1045.0,788.0,788.0,83.0,262.769775390625,3847.0,12130.0,1355.0,41.0,39.0,67.0,71.0,85.0,12.0,10.0,17.0,31.0,63.0,402.0,69.2999877929687,497.556884765625,113.0,51.0,72.0,38.1999816894531,51.1999816894531,331.199951171875,235.199951171875,82.0,101.0,58.0,86.0,814.0,98.0,1184.0,3144.0,66.0,63.0,9.06999969482422,80.0,159.0,83.199951171875,67.0,54.0,74.0,63.0,68.0,83.199951171875,88.0,87.5,88.5,84.5,3.33999824523925,64.0,58.5,80.0,70.0,63.0,101.399963378906,110.799987792968,16.8599853515625,3.63999938964843,0.89999961853027,7538.0,1.08999919891357,20.0,109.0,335.0,6.59999847412109,4.29999923706054,36.0999755859375,98.0,272.0,97.7999877929687,786.0,1245.0,37.6999816894531,48.2999877929687,688.0,7.52999877929687
8.0,113.0,11688.5,14.099998474121,46.8445739746093,4780.0,45.0,21822.0,88997.0,96669.0,1166.0,1014.0,1014.0,79.0,335.75,3969.0,9232.0,1452.0,47.0,47.0,69.0,96.0,93.0,16.6999969482421,13.0,19.0,36.0,73.0,411.0,77.7999877929687,630.87353515625,104.0,56.0,87.0,34.2999877929687,43.0999755859375,410.5,293.89990234375,96.0,109.0,69.0,91.0,958.0,142.0,1412.0,3976.0,69.0,65.0,9.89999389648437,79.0,168.0,83.5,85.0,62.0,76.0,66.0,73.0,83.5,87.0,87.3999633789062,88.5999755859375,83.7999877929687,2.96999931335449,69.0,65.0,79.0,91.0,88.0,101.399963378906,112.899963378906,16.5399932861328,3.98999977111816,1.29999923706054,7633.0,1.09999942779541,27.0,95.0,333.0,20.8999938964843,3.09999847412109,37.0999755859375,109.0,305.0,97.5999755859375,356.0,1244.0,49.8999938964843,61.6999816894531,700.0,8.63999938964843
9.0,86.0,10494.796875,18.0,38.5166931152343,4611.0,37.0,20979.0,91926.0,93260.0,1300.0,979.0,979.0,60.0,351.169921875,3258.0,14056.0,1449.0,49.0,36.0,61.0,97.0,88.0,18.0,12.0,16.0,33.0,53.0,413.0,69.2999877929687,642.77685546875,97.0,56.0,87.0,38.2999877929687,50.0999755859375,354.199951171875,292.699951171875,101.0,109.0,74.0,91.0,848.0,87.0,1231.0,4099.0,64.0,66.0,7.71999740600586,74.0,184.0,79.7999877929687,85.0,65.0,73.0,66.0,81.0,79.7999877929687,85.2999877929687,85.0,85.199951171875,81.699951171875,2.6299991607666,66.0,59.5999755859375,74.0,92.0,93.0,99.3999633789062,112.299987792968,15.9299926757812,5.46999740600586,1.69999980926513,7648.0,1.08999919891357,31.0,98.0,333.0,23.5,3.79999923706054,37.0,108.0,463.0,97.5999755859375,735.0,1254.0,67.5,49.0,711.0,8.46999359130859
10.0,133.0,8230.1328125,39.2999877929687,46.8445739746093,5201.0,45.0,21948.0,99877.0,101145.0,1247.0,997.0,997.0,74.0,361.539794921875,3939.0,8035.0,1456.0,48.0,39.0,76.0,101.0,100.0,17.7999877929687,13.0,18.0,40.0,69.0,398.0,72.2999877929687,538.02783203125,109.0,59.0,89.0,46.5,59.0999755859375,410.199951171875,403.7998046875,99.0,114.0,66.0,91.0,848.0,95.0,1401.0,3900.0,71.0,68.0,9.06999969482422,80.0,201.0,86.0,86.0,66.0,76.0,68.0,75.0,86.0,89.5,87.8999633789062,88.699951171875,87.7999877929687,3.46999931335449,70.0,63.5999755859375,80.0,92.0,90.0,99.7999877929687,114.899963378906,16.1599884033203,4.95999908447265,1.19999980926513,7752.0,1.08999919891357,13.0,125.0,339.0,8.5,6.29999923706054,39.0,106.0,326.0,100.799987792968,1207.0,1257.0,57.3999938964843,35.0999755859375,713.0,7.60999679565429
