T,S184,S229,S238,S292,S301,S328,S337,S364,S382
1.0,94.0,82.0,65.0999755859375,108.0,63.0,83.7999877929687,54.0999755859375,6903.0,40.7999877929687
2.0,132.0,81.0,65.8999633789062,103.0,63.0,90.699951171875,59.5,7047.0,36.8999938964843
3.0,131.0,66.0,65.7999877929687,102.0,61.0,80.5999755859375,56.5,7162.0,44.1999816894531
4.0,127.0,85.0,73.5999755859375,130.0,60.0,84.2999877929687,63.8999938964843,7250.0,62.0999755859375
5.0,77.0,82.0,65.0,87.0,58.0,92.699951171875,57.7999877929687,7269.0,57.0999755859375
6.0,103.0,92.0,67.5999755859375,106.0,62.0,89.0999755859375,62.0,7418.0,46.7999877929687
7.0,103.0,71.0,69.2999877929687,98.0,63.0,83.199951171875,58.5,7538.0,48.2999877929687
8.0,113.0,96.0,77.7999877929687,142.0,65.0,83.5,65.0,7633.0,61.6999816894531
9.0,86.0,97.0,69.2999877929687,87.0,66.0,79.7999877929687,59.5999755859375,7648.0,49.0
10.0,133.0,101.0,72.2999877929687,95.0,68.0,86.0,63.5999755859375,7752.0,35.0999755859375
11.0,146.0,80.0,72.2999877929687,128.0,67.0,85.8999633789062,60.3999938964843,7768.0,37.6999816894531
12.0,156.0,101.0,83.0999755859375,133.0,68.0,92.0999755859375,66.2999877929687,7751.0,52.7999877929687
13.0,104.0,104.0,73.8999633789062,94.0,69.0,93.199951171875,60.5999755859375,7752.0,43.7999877929687
14.0,146.0,101.0,77.199951171875,108.0,72.0,95.699951171875,66.7999877929687,7802.0,32.6999816894531
15.0,150.0,74.0,77.699951171875,99.0,71.0,92.7999877929687,63.1999816894531,7822.0,32.0999755859375
16.0,148.0,89.0,86.7999877929687,127.0,73.0,97.0,71.0,7810.0,41.6999816894531
17.0,92.0,83.0,78.5999755859375,100.0,74.0,97.0,66.5,7725.0,40.0
18.0,150.0,96.0,79.7999877929687,120.0,77.0,102.0,72.0,7768.0,30.2999877929687
19.0,165.0,76.0,79.8999633789062,101.0,76.0,97.7999877929687,67.7999877929687,7755.0,33.8999938964843
20.0,104.0,105.0,88.5999755859375,139.0,78.0,103.099975585937,75.5999755859375,7739.0,44.0999755859375
21.0,113.0,103.0,78.0,93.0,81.0,104.0,69.199951171875,7695.0,41.8999938964843
22.0,173.0,105.0,78.0,105.0,83.0,108.699951171875,74.0999755859375,7791.0,35.2999877929687
23.0,173.0,83.0,78.699951171875,82.0,83.0,106.0,70.699951171875,7841.0,42.5
24.0,199.0,109.0,91.3999633789062,133.0,86.0,110.399963378906,77.7999877929687,7890.0,57.2999877929687
25.0,136.0,106.0,75.0999755859375,85.0,88.0,115.5,72.2999877929687,7896.0,59.1999816894531
26.0,201.0,110.0,83.0999755859375,115.0,92.0,120.0,78.0999755859375,8002.0,44.5999755859375
27.0,214.0,85.0,83.7999877929687,108.0,91.0,116.899963378906,72.3999633789062,8024.0,43.2999877929687
28.0,221.0,110.0,98.7999877929687,109.0,93.0,124.399963378906,82.5999755859375,8023.0,56.5999755859375
29.0,153.0,110.0,88.0999755859375,140.0,92.0,128.799926757812,72.8999633789062,7966.0,51.5999755859375
30.0,232.0,110.0,91.5,92.0,93.0,133.799926757812,79.5,8017.0,34.1999816894531
31.0,240.0,88.0,93.3999633789062,132.0,92.0,130.39990234375,72.5999755859375,7985.0,34.5999755859375
32.0,226.0,113.0,105.899963378906,124.0,95.0,136.699951171875,82.7999877929687,7830.0,43.0
33.0,176.0,,93.5,144.0,96.0,131.799926757812,76.0,7573.0,35.2999877929687
34.0,256.0,,98.7999877929687,104.0,99.0,132.39990234375,85.0999755859375,7443.0,26.0999908447265
35.0,271.0,,98.0999755859375,125.0,98.0,127.699951171875,80.5,7429.0,28.7999877929687
36.0,265.0,,109.399963378906,100.0,101.0,134.0,89.0999755859375,7414.0,39.5999755859375
37.0,180.0,,96.199951171875,130.0,102.0,,84.7999877929687,,52.8999938964843
38.0,282.0,,96.3999633789062,104.0,104.0,,94.199951171875,,52.0999755859375
39.0,294.0,,95.8999633789062,,103.0,,89.5,,69.0999755859375
40.0,268.0,,109.599975585937,,104.0,,99.2999877929687,,81.8999633789062
41.0,208.0,,98.0999755859375,,101.0,,93.0999755859375,,
42.0,297.0,,100.899963378906,,102.0,,103.5,,
43.0,286.0,,101.599975585937,,100.0,,96.3999633789062,,
44.0,275.0,,116.099975585937,,98.0,,107.199951171875,,
45.0,190.0,,105.599975585937,,99.0,,101.699951171875,,
46.0,264.0,,104.599975585937,,102.0,,109.5,,
47.0,247.0,,104.699951171875,,100.0,,101.299987792968,,
48.0,258.0,,115.399963378906,,101.0,,112.599975585937,,
49.0,,,104.5,,103.0,,105.5,,
50.0,,,105.199951171875,,108.0,,115.399963378906,,
51.0,,,101.599975585937,,109.0,,108.0,,
52.0,,,107.699951171875,,113.0,,129.89990234375,,
53.0,,,94.2999877929687,,115.0,,112.399963378906,,
54.0,,,95.5,,119.0,,123.599975585937,,
55.0,,,94.5,,119.0,,114.899963378906,,
56.0,,,104.299987792968,,120.0,,131.0,,
57.0,,,98.8999633789062,,,,,,
