SALES,DATE,YEAR,MONTH,DAY
220.0,1980-01-01,1980.0,1.0,1.0
257.0,1980-04-01,1980.0,4.0,1.0
258.0,1980-07-01,1980.0,7.0,1.0
295.0,1980-10-01,1980.0,10.0,1.0
247.0,1981-01-01,1981.0,1.0,1.0
292.0,1981-04-01,1981.0,4.0,1.0
286.0,1981-07-01,1981.0,7.0,1.0
323.0,1981-10-01,1981.0,10.0,1.0
284.0,1982-01-01,1982.0,1.0,1.0
307.0,1982-04-01,1982.0,4.0,1.0
318.0,1982-07-01,1982.0,7.0,1.0
343.0,1982-10-01,1982.0,10.0,1.0
299.0,1983-01-01,1983.0,1.0,1.0
351.0,1983-04-01,1983.0,4.0,1.0
359.0,1983-07-01,1983.0,7.0,1.0
384.0,1983-10-01,1983.0,10.0,1.0
342.0,1984-01-01,1984.0,1.0,1.0
388.0,1984-04-01,1984.0,4.0,1.0
385.0,1984-07-01,1984.0,7.0,1.0
413.0,1984-10-01,1984.0,10.0,1.0
337.0,1985-01-01,1985.0,1.0,1.0
399.0,1985-04-01,1985.0,4.0,1.0
412.0,1985-07-01,1985.0,7.0,1.0
448.0,1985-10-01,1985.0,10.0,1.0
419.0,1986-01-01,1986.0,1.0,1.0
472.0,1986-04-01,1986.0,4.0,1.0
490.0,1986-07-01,1986.0,7.0,1.0
541.0,1986-10-01,1986.0,10.0,1.0
484.0,1987-01-01,1987.0,1.0,1.0
543.0,1987-04-01,1987.0,4.0,1.0
542.0,1987-07-01,1987.0,7.0,1.0
595.0,1987-10-01,1987.0,10.0,1.0
546.0,1988-01-01,1988.0,1.0,1.0
607.0,1988-04-01,1988.0,4.0,1.0
616.0,1988-07-01,1988.0,7.0,1.0
643.0,1988-10-01,1988.0,10.0,1.0
594.0,1989-01-01,1989.0,1.0,1.0
666.0,1989-04-01,1989.0,4.0,1.0
662.0,1989-07-01,1989.0,7.0,1.0
670.0,1989-10-01,1989.0,10.0,1.0
606.0,1990-01-01,1990.0,1.0,1.0
674.0,1990-04-01,1990.0,4.0,1.0
705.0,1990-07-01,1990.0,7.0,1.0
749.0,1990-10-01,1990.0,10.0,1.0
703.0,1991-01-01,1991.0,1.0,1.0
709.0,1991-04-01,1991.0,4.0,1.0
728.0,1991-07-01,1991.0,7.0,1.0
807.0,1991-10-01,1991.0,10.0,1.0
692.0,1992-01-01,1992.0,1.0,1.0
797.0,1992-04-01,1992.0,4.0,1.0
826.0,1992-07-01,1992.0,7.0,1.0
889.0,1992-10-01,1992.0,10.0,1.0
758.0,1993-01-01,1993.0,1.0,1.0
909.0,1993-04-01,1993.0,4.0,1.0
920.0,1993-07-01,1993.0,7.0,1.0
991.0,1993-10-01,1993.0,10.0,1.0
876.0,1994-01-01,1994.0,1.0,1.0
998.0,1994-04-01,1994.0,4.0,1.0
