Term,Role
a,Det
a,Prep
acel,Det
acela,Det
acelaşi,Adj
acelaşi,Pron
acest,Det
acesta,Det
ai,Det
al,Det
ale,Det
alei,Det
alor,Det
alt,Adj
altceva,Pron
altcineva,Pron
altul,Pron
alui,Det
ambii,Adj
ambii,Pron
amândoi,Adj
amândoi,Pron
anumit,Adj
apud,Prep
are,Adj
asupra,Prep
atare,Adj
atât,Adj
atât,Pron
avea,Verb
aş,Interj
bez,Prep
care,Adj
care,Pron
careva,Pron
ce,Pron
cea,Det
cei,Det
cel,Det
cele,Det
celei,Det
celor,Det
celui,Det
celălalt,Pron
ceva,Pron
ci,Conj
cinci,Num
cincisprezece,Num
cincizeci,Num
cine,Pron
cineva,Pron
contra,Prep
contrar,Prep
cu,Prep
cui,Pron
cât,Det
cât,Pron
câte,Det
câte,Pron
câtora,Det
câtora,Pron
câtva,Adj
câtva,Pron
câtă,Det
câtă,Pron
câţi,Det
câţi,Pron
că,Conj
căci,Conj
cărei,Adj
căreia,Adj
căreia,Pron
căror,Adj
cărora,Adj
cărora,Pron
cărui,Adj
căruia,Adj
căruia,Pron
cătora,Det
cătora,Pron
către,Prep
dacă,Conj
dar,Conj
darămite,Conj
datorită,Prep
de,Prep
deci,Conj
dedesubtul,Prep
deoarece,Conj
despre,Prep
deşi,Conj
di,Interj
dimprejurul,Prep
din,Prep
dinaintea,Prep
dinapoia,Prep
dindărătul,Prep
dinspre,Prep
dintre,Prep
dintru,Prep
dinăuntrul,Prep
doi,Num
doilea,Adj
doisprezece,Num
douăzeci,Num
dumitale,Pron
dumneaei,Pron
dumnealor,Pron
dumnealui,Pron
dumneata,Pron
dumneavoastră,Pron
după,Prep
dănsa,Pron
dănsei,Pron
dănsele,Pron
dănselor,Pron
dănsul,Pron
dănsului,Pron
dănşii,Pron
dănşilor,Pron
ea,Pron
ei,Adj
ei,Pron
el,Pron
ele,Pron
eu,Pron
fi,Verb
fiecare,Adj
fiecare,Pron
fiindcă,Conj
fără,Prep
graţie,Prep
hai,Interj
hei,Interj
i,Pron
iar,Conj
iată,Interj
il,Pron
la,Prep
le,Pron
lor,Adj
lor,Pron
lui,Adj
lui,Pron
lângă,Prep
mata,Pron
matale,Pron
mea,Adj
mea,Pron
mei,Adj
mei,Pron
mele,Adj
mele,Pron
meu,Adj
meu,Pron
mi,Pron
mie,Pron
mine,Pron
mult,Adj
mulţumită,Prep
mă,Pron
na,Interj
ne,Pron
necum,Conj
nici,Conj
niciun,Adj
niciun,Pron
nimeni,Pron
nimic,Pron
noastre,Adj
noastre,Pron
noastră,Adj
noastră,Pron
noi,Pron
nostru,Adj
nostru,Pron
noua,Num
nouă,Pron
nouăsprezece,Num
nouăzeci,Num
noştri,Adj
noştri,Pron
o,Pron
oarecare,Adj
oarecare,Pron
ok,Interj
opt,Num
optsprezece,Num
optzeci,Num
or,Conj
ori,Conj
oricare,Adj
oricare,Pron
orice,Pron
oricine,Pron
oricât,Adj
oricât,Pron
paisprezece,Num
patru,Num
patruzeci,Num
pe,Prep
pentru,Prep
per,Prep
peste,Prep
precum,Conj
primprejurul,Prep
prin,Prep
printre,Prep
printru,Prep
pro,Prep
putea,Verb
puţin,Adj
până,Conj
sa,Adj
sa,Pron
sale,Adj
sale,Pron
sau,Conj
sieşi,Pron
sine,Pron
spre,Prep
sub,Prep
să,Conj
său,Adj
său,Pron
ta,Adj
ta,Pron
tale,Adj
tale,Pron
te,Pron
ti,Interj
tine,Pron
tot,Adj
tot,Pron
totuşi,Conj
trei,Num
treisprezece,Num
treizeci,Num
tu,Pron
tăi,Adj
tăi,Pron
tău,Adj
tău,Pron
un,Det
unsprezece,Num
unu,Num
unul,Pron
via,Prep
voastre,Adj
voastre,Pron
voastră,Adj
voastră,Pron
voi,Pron
voi,Verb
vostru,Adj
vostru,Pron
vouă,Pron
voştri,Adj
voştri,Pron
vreun,Adj
vreunul,Pron
vă,Pron
za,Prep
zece,Num
îi,Pron
îl,Pron
îmi,Pron
împotriva,Prep
împrejurul,Prep
în,Prep
înaintea,Prep
înapoia,Prep
încât,Conj
îndărătul,Prep
însele,Pron
înselor,Pron
însene,Pron
însevă,Pron
înseşi,Pron
însumi,Pron
însuşi,Pron
însuţi,Pron
însă,Conj
însămi,Pron
însăşi,Pron
însăţi,Pron
întrucât,Conj
întâiul,Adj
înăuntrul,Prep
înşine,Pron
înşivă,Pron
înşişi,Pron
îînde,Prep
îînspre,Prep
îîntre,Prep
îîntru,Prep
îşi,Pron
îţi,Pron
ăla,Pron
ăsta,Pron
şaisprezece,Num
şaizeci,Num
şapte,Num
şaptesprezece,Num
şaptezeci,Num
şase,Num
şi,Conj
ţie,Pron
