Term,Role
АН,Conj
а,Conj
абы,Interj
авось,Part
ага,Interj
агу,Interj
аж,Interj
ай,Interj
айда,Interj
але,Interj
али,Conj
алло,Interj
аллё,Interj
алё,Interj
ам,Interj
ан,Conj
апчхи,Interj
асса,Interj
ассалам,Interj
атас,Interj
ау,Interj
ах,Interj
ахах,Interj
ахти,Interj
ахты,Interj
б,Part
ба,Interj
бай,Interj
банзай,Interj
баста,Interj
бах,Interj
бац,Interj
без,Prep
бишь,Interj
благодаря,Prep
близ,Prep
бля,Interj
бо,Conj
брысь,Interj
будто,Conj
бултых,Interj
буль-буль,Interj
бульк,Interj
бы,Part
в,Prep
ваш,Pron
вблизи,Prep
ввиду,Prep
вдоль,Prep
ведь,Interj
весь,Pron
взамен,Prep
виват,Interj
видимо,Part
вишь,Interj
включая,Prep
вместо,Prep
вне,Prep
внутри,Prep
внутрь,Prep
во,Prep
вовсе,Part
возле,Prep
вокруг,Prep
вон,Interj
вообще-то,Part
вопреки,Prep
восемнадцать,Num
восемь,Num
восемьдесят,Num
восемьсот,Num
вот,Interj
впрочем,Conj
вроде,Prep
все,Pron
все-все,Pron
все-таки,Conj
все-таки,Part
вслед,Prep
вследствие,Prep
всякий,Pron
всяческий,Pron
всёх,Pron
где,Adv
гм,Interj
гоп,Interj
господи,Interj
грох,Interj
гы,Interj
да,Conj
дабы,Conj
даже,Interj
дак,Conj
далее,Part
два,Num
двадцать,Num
двенадцать,Num
двести,Num
де,Interj
девяносто,Num
девятнадцать,Num
девять,Num
девятьсот,Num
дескать,Part
десять,Num
для,Prep
до,Prep
его,Pron
едва,Conj
ежели,Conj
если,Conj
ето,Pron
её,Pron
ж,Conj
же,Part
за,Prep
зато,Conj
здорово,Interj
здравствуйте,Interj
и,Conj
ибо,Conj
иже,Conj
из,Prep
из-за,Prep
из-под,Prep
изо,Prep
или,Conj
иль,Conj
иной,Pron
итак,Conj
их,Pron
ишь,Part
к,Prep
кабы,Conj
каждый,Pron
как,Conj
какой,Det
какой,Pron
какой-нибудь,Pron
квак,Interj
ко,Prep
когда,Conj
кое,Pron
коий,Pron
кой,Pron
коли,Conj
коль,Conj
который,Det
кроме,Prep
кто,Pron
кто-нибудь,Pron
ли,Part
либо,Conj
ль,Conj
м-м,Interj
м-м-м,Interj
меж,Prep
между,Prep
миллион,Num
мимо,Prep
можно,Adv
мой,Pron
на,Prep
наверное,Part
навстречу,Prep
над,Prep
надо,Adv
накануне,Prep
наперекор,Prep
наподобие,Prep
например,Part
напротив,Prep
насчет,Prep
нате,Part
наш,Pron
не,Part
не-ет,Interj
небось,Part
невесть,Part
нежели,Conj
некий,Pron
некоторый,Pron
некто,Pron
нельзя,Adv
несмотря,Prep
неужели,Part
неужто,Part
нечего,Pron
нечто,Pron
ни,Conj
никакой,Pron
никто,Pron
ничего,Pron
ничей,Pron
ничто,Pron
но,Conj
ну,Interj
ну-ка,Part
