MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
17.0,IN_VERIFY_DELETE,1.0,Q,Are you sure you want to delete %$?,SASHELP.FSP.YN.SLIST
19.0,IO_DS_NOT_EXIST,1.0,E,%lData set %1$ does not exist,SASHELP.FSP.OK.SLIST
29.0,IN_FETCH_MESSAGE_FAILED,1.0,E,%LAttempt to fetch message: %$ failed.,SASHELP.FSP.OK.SLIST
78.0,IO_TABLE_NOT_EXIST,1.0,E,%l %1$ either does not exist or is damaged%N,SASHELP.FSP.OK.SLIST
78.0,IO_TABLE_NOT_EXIST,2.0,E,and cannot be opened.,SASHELP.FSP.OK.SLIST
98.0,DI_ENTRY_EXISTS,1.0,E,%lEntry %1$ already exists.,SASHELP.FSP.OK.SLIST
100.0,IO_CANNOT_READ_ENTRY,1.0,E,%lEntry %1$ does not exist or could not be read.,SASHELP.FSP.OK.SLIST
120.0,IO_NOT_IMPLEMENTED,1.0,E,%1$ is not yet implemented.,SASHELP.FSP.OK.SLIST
447.0,IN_INVALID_VAR_NAME,1.0,E,%1$ is not a valid SAS name.  Valid names begin with a letter or an underscore and,SASHELP.FSP.OK.SLIST
447.0,IN_INVALID_VAR_NAME,2.0,E,cannot contain blanks or special characters.,SASHELP.FSP.OK.SLIST
1012.0,IN_FIELD_IS_IN_ERROR,1.0,E,At least one field is in error.  Correct the error.,SASHELP.FSP.OK.SLIST
1025.0,IN_ITEM_REQUIRED,1.0,E,%1$ is required.,SASHELP.FSP.OK.SLIST
1043.0,CL_EXPAND,1.0,O,Expand,SASHELP.FSP.OK.SLIST
1044.0,CL_COLLAPSE,1.0,O,Collapse,SASHELP.FSP.OK.SLIST
1073.0,IO_EXPORT_REQ_SAS_FILE,1.0,E,Export requires an input SAS file.,SASHELP.FSP.OK.SLIST
1074.0,IO_EXT_FILE_REQUIRED,1.0,E,External filename is required.,SASHELP.FSP.OK.SLIST
1075.0,IO_SAS_FILE_NOT_FOUND,1.0,E,SAS file not found.,SASHELP.FSP.OK.SLIST
1076.0,IO_NO_VARS_IN_SAS_DS,1.0,E,No variables in SAS data set.,SASHELP.FSP.OK.SLIST
1077.0,DI_IDENTIFY_VAR,1.0,E,Begin and/or End is required to identify variable.,SASHELP.FSP.OK.SLIST
1079.0,IO_SAS_DS_NOT_SAVED,1.0,W,SAS data set has not been saved.,SASHELP.FSP.DCS.SLIST
1080.0,IO_EXT_FILE_NOT_SAVED,1.0,W,External file has not been saved.,SASHELP.FSP.DCS.SLIST
1082.0,DI_VAR_LENGTH_LIMIT,1.0,E,Variable length is limited to 32767 characters.,SASHELP.FSP.OK.SLIST
1083.0,DI_VAR_EXISTS_CHOOSE_NEW_NAME,1.0,E,Variable %$ exists. Choose another name.,SASHELP.FSP.OK.SLIST
1084.0,DI_VAR_NOT_FOUND,1.0,E,Variable %$ not found.,SASHELP.FSP.OK.SLIST
1085.0,DI_VAR_NOT_AT_POS,1.0,E,Variable does not exist at position %#.,SASHELP.FSP.OK.SLIST
1086.0,DI_NO_VARS_EXIST_TO_SELECT,1.0,E,No variables exist to select.,SASHELP.FSP.OK.SLIST
1087.0,DI_SELECT_VAR_POS,1.0,E,Select position for variable.,SASHELP.FSP.OK.SLIST
1088.0,DI_SPECIFY_VAR_POS,1.0,E,Specify beginning position for variable.,SASHELP.FSP.OK.SLIST
1089.0,DI_FORMAT_DATA_TYPE_MISMATCH,1.0,E,Format does not match data type. Enter valid format.,SASHELP.FSP.OK.SLIST
