Term,Role
a,Conj
a,Part
aba,Interj
aba,Part
abo,Conj
abraka,Interj
abrakadabraka,Interj
absolútne,Part
aby,Conj
aby,Part
abyže,Part
ach,Interj
achacha,Interj
achachachá,Interj
achbože,Interj
achbožemôj,Interj
achtak,Part
ad,Prep
adie,Interj
adieu,Interj
adié,Interj
ah,Interj
aha,Interj
ahahaha,Interj
ahm,Interj
ahoj,Interj
ahojko,Interj
ahojte,Interj
ahojček,Interj
ahá,Interj
ahááá,Interj
aj,Conj
aj,Interj
aj,Part
ajaj,Interj
ajajaj,Interj
ajajáj,Interj
ajhľa,Interj
ajvaj,Interj
ajáj,Interj
ak,Conj
ak,Part
akiste,Part
ako,Conj
ako,Part
akoby,Conj
akoby,Part
akokoľvek,Conj
akokoľvek,Part
akonáhle,Conj
akosi,Part
akože,Conj
akože,Part
akurát,Part
akurátne,Part
aký,Pron
akýkoľvek,Pron
akýsi,Pron
akýže,Pron
akže,Conj
al,Part
ale,Conj
ale,Interj
ale,Part
aleba,Part
alebo,Conj
aleže,Part
alias,Part
amendolores,Interj
amenglória,Interj
amenmária,Interj
ani,Conj
ani,Part
anibohovi,Part
aport,Interj
apropo,Part
arivederči,Interj
arrivederci,Interj
asi,Part
aspoň,Part
aspoňže,Part
au,Interj
ausgerechnet,Part
ave,Interj
avšak,Conj
azapád,Interj
azaňád,Interj
azaňát,Interj
azaňďalát,Interj
azda,Part
až,Conj
až,Part
ba,Conj
ba,Part
bac,Interj
bach,Interj
bacha,Interj
baj,Interj
bam,Interj
basom,Interj
basordyka,Interj
basorkáňoš,Interj
basta,Interj
bastriguli,Interj
beda,Interj
behom,Prep
beli,Interj
beliže,Interj
beniky,Interj
betónovo,Part
bez,Prep
bezmála,Part
bezpochyby,Part
beztak,Part
beztoho,Part
biliarda,Num
bilión,Num
bim,Interj
bisťu,Interj
bisťubohu,Interj
bla,Interj
blk,Interj
blízko,Part
blízko,Prep
blízo,Prep
bo,Conj
bodaj,Part
bodajže,Part
bohchráň,Part
bohdaj,Part
bohdá,Part
bohuchovaj,Part
bohuotcu,Interj
bohuotcu,Part
bohuotcuprisahám,Part
bohuotcuprisám,Part
bohuprisahám,Interj
bohuprisahám,Part
bohuprisám,Interj
bohuprisám,Part
bohužiaľ,Part
bohvie,Part
bohvieaký,Pron
bohviekoľko,Pron
bohviekoľký,Pron
bohviekto,Pron
bohviečo,Pron
bohviečí,Pron
bohyňu,Part
bohzná,Part
boháča,Part
bokom,Prep
bom,Interj
bože,Interj
božechráň,Part
božedaj,Part
božemôj,Interj
božeuchovaj,Part
br,Interj
bravo,Interj
bravó,Interj
brekeke,Interj
brink,Interj
brnk,Interj
brr,Interj
brrum,Interj
brum,Interj
bu,Interj
bububu,Interj
buc,Interj
buch,Interj
buj,Interj
bum,Interj
bums,Interj
bumta,Interj
bumtarata,Interj
buď,Conj
buďto,Conj
by,Part
byľku,Num
byľu,Num
byť,Verb
bzik,Interj
bzz,Interj
bzzz,Interj
bzí,Interj
bác,Interj
bár,Conj
bár,Part
báraký,Pron
bárkoľko,Pron
bárkto,Pron
bárs,Conj
bárs,Part
bársaj,Part
bársako,Part
bársaký,Pron
bárskoľko,Pron
bárskto,Pron
bársčo,Pron
bárčo,Pron
bé,Interj
béé,Interj
bú,Interj
bŕ,Interj
bŕŕ,Interj
cc,Interj
ccc,Interj
celkom,Part
ceng,Interj
cerus,Interj
cestou,Prep
cez,Prep
cezeň,Pron
cha,Interj
chacha,Interj
chcieť,Verb
che,Interj
cheche,Interj
chi,Interj
chichi,Interj
chlop,Interj
cho,Interj
chocho,Interj
chrst,Interj
chrum,Interj
chráňboh,Part
chráňbože,Part
chvalabohu,Part
chňap,Interj
ci,Interj
cic,Interj
cici,Interj
cililing,Interj
ciling,Interj
cimpr,Interj
cin,Interj
cing,Interj
cingi,Interj
cingilingi,Interj
cink,Interj
cip,Interj
circa,Part
cirka,Part
cmuk,Interj
coky,Interj
cucu,Interj
cukrú,Interj
cup,Interj
cupi,Interj
cupilupy,Interj
cupy,Interj
curk,Interj
cvak,Interj
cvrnk,Interj
cvŕk,Interj
cáp,Interj
cérus,Interj
dabra,Interj
dajaký,Pron
dajboh,Part
dajbože,Part
dajsamibože,Interj
dajsamisvete,Interj
dakoľko,Pron
dakto,Pron
daktorý,Pron
dačo,Pron
dačí,Pron
deciliarda,Num
decilión,Num
desatina,Num
desatoraký,Num
desatoro,Num
desať,Num
desaťnásobný,Num
desaťtisíc,Num
desaťtisíci,Num
desaťtisícnásobný,Num
desiaty,Num
deviaty,Num
devätina,Num
devätnástina,Num
devätnásty,Num
devätnásť,Num
devätnásťnásobný,Num
devätoraký,Num
devätoro,Num
deväť,Num
