Term,Role
a,Conj
ah,Interj
aha,Interj
ahči,Interj
aja,Interj
ajej,Interj
ako,Conj
akoprav,Conj
akoravno,Conj
ala,Prep
ali,Conj
ali,Part
alo,Interj
amen,Interj
ampak,Conj
and,Conj
av,Interj
ačih,Interj
baje,Part
baš,Part
bilijardti,Adj
bilijonti,Adj
bin,Prep
biti,Verb
bla,Interj
blizu,Part
blizu,Prep
bliže,Prep
bližje,Prep
bljak,Interj
bodi,Conj
bodisi,Conj
bojda,Part
bravo,Interj
brez,Prep
bržda,Part
bržkone,Part
bržčas,Part
bumf,Interj
c,Num
ca.,Part
cc,Num
cca,Part
cca.,Part
ccc,Num
ccci,Num
cccii,Num
ccciii,Num
ccciv,Num
cccix,Num
cccl,Num
cccli,Num
ccclii,Num
cccliii,Num
cccliv,Num
ccclix,Num
ccclv,Num
ccclvi,Num
ccclvii,Num
ccclviii,Num
ccclx,Num
ccclxi,Num
ccclxii,Num
ccclxiii,Num
ccclxiv,Num
ccclxix,Num
ccclxv,Num
ccclxvi,Num
ccclxvii,Num
ccclxviii,Num
ccclxx,Num
ccclxxi,Num
ccclxxii,Num
ccclxxiii,Num
ccclxxiv,Num
ccclxxix,Num
ccclxxv,Num
ccclxxvi,Num
ccclxxvii,Num
ccclxxviii,Num
ccclxxx,Num
ccclxxxi,Num
ccclxxxii,Num
ccclxxxiii,Num
ccclxxxiv,Num
ccclxxxix,Num
ccclxxxv,Num
ccclxxxvi,Num
ccclxxxvii,Num
ccclxxxviii,Num
cccv,Num
cccvi,Num
cccvii,Num
cccviii,Num
cccx,Num
cccxc,Num
cccxci,Num
cccxcii,Num
cccxciii,Num
cccxciv,Num
cccxcix,Num
cccxcv,Num
cccxcvi,Num
cccxcvii,Num
cccxcviii,Num
cccxi,Num
cccxii,Num
cccxiii,Num
cccxiv,Num
cccxix,Num
cccxl,Num
cccxli,Num
cccxlii,Num
cccxliii,Num
cccxliv,Num
cccxlix,Num
cccxlv,Num
cccxlvi,Num
cccxlvii,Num
cccxlviii,Num
cccxv,Num
cccxvi,Num
cccxvii,Num
cccxviii,Num
cccxx,Num
cccxxi,Num
cccxxii,Num
cccxxiii,Num
cccxxiv,Num
cccxxix,Num
cccxxv,Num
cccxxvi,Num
cccxxvii,Num
cccxxviii,Num
cccxxx,Num
cccxxxi,Num
cccxxxii,Num
cccxxxiii,Num
cccxxxiv,Num
cccxxxix,Num
cccxxxv,Num
cccxxxvi,Num
cccxxxvii,Num
cccxxxviii,Num
cci,Num
ccii,Num
cciii,Num
cciv,Num
ccix,Num
ccl,Num
ccli,Num
cclii,Num
ccliii,Num
ccliv,Num
cclix,Num
cclv,Num
cclvi,Num
cclvii,Num
cclviii,Num
cclx,Num
cclxi,Num
cclxii,Num
cclxiii,Num
cclxiv,Num
cclxix,Num
cclxv,Num
cclxvi,Num
cclxvii,Num
cclxviii,Num
cclxx,Num
cclxxi,Num
cclxxii,Num
cclxxiii,Num
cclxxiv,Num
cclxxix,Num
cclxxv,Num
cclxxvi,Num
cclxxvii,Num
cclxxviii,Num
cclxxx,Num
cclxxxi,Num
cclxxxii,Num
